Name,Gender
1972 visit by Richard Nixon to China,Unknown
AK Abdul Momen,Unknown
"A World Restored: Metternich, Castlereagh and the Problems of Peace, 1812–22",Unknown
Abdurrahman Wahid,Male
Abel P. Upshur,Male
Abiy Ahmed,Unknown
Able Archer 83,Unknown
Addie L. Wyatt,Female
Adolf Hitler,Male
Adolf Hitler's rise to power,Male
Ahmed Hassan al-Bakr,Male
Al-Wathbah uprising,Unknown
Al Gore,Male
Albert Luthuli,Male
Albert Schweitzer,Male
Alcora Exercise,Unknown
Alex von Tunzelmann,Male
Alexander Haig,Male
Alexander Wendt,Male
Alexis Papahelas,Male
Alfonso García Robles,Male
Alfred Hermann Fried,Male
Alison Cheek,Female
Andrei Sakharov,Male
Andrew Grove,Male
Andrew Marr Show,Male
Andrew Thorpe,Male
André Fontaine,Male
Angela Merkel,Female
Anne L. Armstrong,Female
Anneli Ute Gabanyi,Female
Anthony Bourdain,Male
Anthony Lake,Male
Antony Blinken,Male
Anwar Sadat,Male
Apartheid,Unknown
Arcade Publishing,Male
Archer K. Blood,Unknown
Archie Brown (historian),Male
Arnold J. Toynbee,Male
Arthur F. Burns,Male
Arthur Henderson,Male
Arthur M. Schlesinger Jr.,Male
Assassination of John F. Kennedy,Unknown
Athan Theoharis,Unknown
Augusto Pinochet,Male
Aung San Suu Kyi,Unknown
Austen Chamberlain,Male
Avraham Sela,Male
Bainbridge Colby,Unknown
Bandung Conference,Unknown
Barack Obama,Male
Barbara Jordan,Female
Battle of Dien Bien Phu,Unknown
Bavarian Maximilian Order for Science and Art,Unknown
Ben Bernanke,Male
Ben Kiernan,Male
Benjamin Netanyahu,Male
Berlin Wall,Unknown
Bernard Kalb,Male
Bernie Sanders,Female
Bertha von Suttner,Female
Betty Ford,Female
Betty Williams,Female
Bill Clinton,Male
Bill Gates,Male
Bob Barney,Male
Bob Woodward,Male
Bono,Male
Boris Johnson,Male
Brent Scowcroft,Male
Brezhnev Doctrine,Unknown
Brian Josephson,Male
Bronze Star,Unknown
Bryce Harlow,Male
Buenos Aires,Unknown
Camp Ritchie,Unknown
Capital Gazette shooting,Unknown
Carl von Ossietzky,Male
Carla Anderson Hills,Female
Carlos Filipe Ximenes Belo,Male
Carlos Saavedra Lamas,Male
Carol Sutton (journalist),Female
Carter Doctrine,Male
Carter administration,Male
Caspar Weinberger,Male
Chancellor of the College of William and Mary,Unknown
Charles Albert Gobat,Male
Charles Evans Hughes,Male
Charles G. Dawes,Male
Charles H. Townes,Male
Charles Kupperman,Male
Charles Lindbergh,Male
Charles Michel,Male
Charles Stark Draper,Male
Charles W. Robinson,Male
Charles Yost,Male
Charles de Gaulle,Male
Charlie Rose,Male
Chiang Ching-kuo,Unknown
Chiang Kai-shek,Unknown
Christian Herter,Male
Christopher Hitchens,Male
Cindy McCain,Female
Claude Brinegar,Male
Clifford M. Hardin,Male
Coleen Rowley,Female
Colin Powell,Male
Conan O'Brien,Male
Condoleezza Rice,Unknown
Condoleezza Rice's tenure as Secretary of State,Unknown
Corazon Aquino,Female
Cynthia Cooper (accountant),Female
Cynthia Enloe,Female
César Augusto Guzzetti,Male
Củ Chi tunnels,Unknown
Dag Hammarskjöld,Male
Daniel Deudney,Male
Daniel Patrick Moynihan,Male
Daniel Webster,Male
David Cameron,Male
David E. Sanger,Male
David Greenberg (historian),Male
David Harsanyi,Male
David Ho,Male
David M. Kennedy (politician),Male
David Rothkopf,Male
David Runciman,Male
David S. Painter,Male
David Trimble,Male
Dean Acheson,Male
Dean Burch,Male
Dean Rusk,Male
Death and state funeral of Gerald Ford,Unknown
Deng Xiaoping,Unknown
Denis Mukwege,Male
Der Bundespräsident,Unknown
Desmond Tutu,Male
Dick Cheney,Male
Dillon Anderson,Male
Diplomacy (Kissinger book),Unknown
Diplomatic History (journal),Unknown
Dominique Pire,Unknown
Donald A. Glaser,Male
Donald Rumsfeld,Male
Donald Trump,Male
"Duncan Campbell (journalist, born 1944)",Male
Dwight D. Eisenhower,Male
Détente,Unknown
E. H. Carr,Unknown
Earl Butz,Male
Edmund Muskie,Male
Edmund Randolph,Male
Edward Everett,Male
Edward H. Levi,Male
Edward Livingston,Male
Edward Luce,Male
Edward Mills Purcell,Male
Edward Stettinius Jr.,Male
Edward Teller,Male
Eisaku Satō,Unknown
Eisenhower Fellowships,Unknown
Elie Wiesel,Male
Elihu B. Washburne,Male
Elizabeth II,Female
Ellen Johnson Sirleaf,Female
Ellen Schrecker,Female
Elliot Richardson,Male
Ellsworth Bunker,Male
Emilio Segrè,Male
Ernesto Teodoro Moneta,Male
Ernst Otto Fischer,Male
Estado Novo (Portugal),Unknown
F. David Mathews,Unknown
F. W. de Klerk,Unknown
Faisal of Saudi Arabia,Male
Fidel Castro,Male
Foreign policy of the Jimmy Carter administration,Unknown
Frank B. Kellogg,Male
Frank Borman,Male
Frank Carlucci,Male
Franklin D. Roosevelt,Male
Frederick B. Dent,Male
Frederick T. Frelinghuysen,Male
Fredrik Bajer,Male
Fridtjof Nansen,Male
Fritz G. A. Kraemer,Male
Gabriel Boric,Male
Gabriel Gorodetsky,Male
Gabriel Kolko,Male
Gar Alperovitz,Male
Geir Lundestad,Male
Geoffrey Wilkinson,Male
George Beadle,Male
George C. Marshall,Male
George H. W. Bush,Male
George Shultz,Male
George W. Bush,Male
George W. Bush administration,Male
George W. Romney,Male
George Washington High School (New York City),Male
Georges Jean Raymond Pompidou,Male
Gera Demands,Male
Gerald Ford,Male
Gerald R. Ford,Male
Gerry Connolly,Male
Gestapo,Unknown
Giles Scott-Smith,Male
Golda Meir,Female
Gordon Dean (lawyer),Male
Gordon Gray (politician),Male
Gouzenko Affair,Unknown
Graham Allison,Male
Greg Casar,Male
Greg Grandin,Male
Greta Thunberg,Female
Gustav Stresemann,Male
H.R. Haldeman,Unknown
H. R. Haldeman,Unknown
H. R. McMaster,Unknown
Hafez al-Assad,Male
Haile Selassie,Male
Hallstein Doctrine,Male
Hamilton Fish,Male
Hans Morgenthau,Male
Harlem Globetrotters,Unknown
Harry Hopkins,Male
Harry S. Truman,Male
Harry W. Shlaudeman,Male
Hedley Bull,Male
Helmut Schmidt,Male
Henri La Fontaine,Male
Henry A. Grunwald,Male
Henry Cabot Lodge Jr.,Male
Henry Clay,Male
Henry Dunant,Male
Henry Fonda,Male
Henry Kissinger and the Vietnam War,Male
Henry L. Stimson,Male
Herbert Feis,Male
Hillary Clinton,Female
Hillary Clinton's tenure as Secretary of State,Female
History of Libya under Muammar Gaddafi,Unknown
Hitler Youth,Unknown
Hjalmar Branting,Male
Ho Chi Minh Thought,Male
Ho Chi Minh trail,Male
Hugh S. Johnson,Male
Ian Smith,Male
Ian Thorpe,Male
Immanuel Wallerstein,Male
Indira Gandhi,Female
Ingeborg Bachmann,Female
Irwin Abrams,Male
Isidor Isaac Rabi,Male
Ismail Fahmi,Male
Ivar Giaever,Male
J. Ann Tickner,Unknown
Jack F. Matlock Jr.,Male
Jackie Chan,Unknown
Jacobin (magazine),Unknown
Jake Sullivan,Male
James Baker,Male
James Buchanan,Male
James Day Hodgson,Male
James F. Byrnes,Male
James Fearon,Male
James G. Blaine,Male
James L. Jones,Male
James Madison,Male
James Monroe,Male
