Name,Gender
A. Paul Alivisatos,Unknown
APA Award for Lifetime Contributions to Psychology,Unknown
Aaron Sloman,Male
Abel Wolman,Male
Abhijit Banerjee,Unknown
Abraham Charnes,Male
Abraham Maslow,Male
Adi Shamir,Male
Adrian Lewis (mathematician),Male
Alan J. Hoffman,Male
Alan Kay,Male
Alan Perlis,Male
Albert Ando,Male
Albert Bandura,Male
Albert O. Hirschman,Male
Albert Overhauser,Male
Albert Sabin,Male
Albert W. Tucker,Male
Alberto Calderón,Male
Alexander Rich,Male
Alexander Schrijver,Male
Alexander Shapiro,Male
Alexandre Chorin,Male
Alfred Aho,Male
Alfred Sturtevant,Male
Alfred Y. Cho,Male
Allan McLeod Cormack,Male
Allan R. Sandage,Male
Allen J. Bard,Male
Allen Newell,Male
Alvin E. Roth,Male
Amartya Sen,Unknown
Amir Pnueli,Male
Amnon Yariv,Male
Amos Tversky,Male
Andrew Viterbi,Male
Andrew Yao,Male
Angela Belcher,Female
Angus Deaton,Male
Ann Graybiel,Female
Anne Anastasi,Female
Anne Treisman,Female
Anthony Fauci,Male
Antoni Zygmund,Male
Anwar Sadat,Male
Ariel Kalil,Male
Arkadi Nemirovski,Male
Armen Alchian,Male
Armin Falk,Male
Arnold O. Beckman,Male
"Arthur F. Veinott, Jr.",Male
Arthur Kornberg,Male
Arthur L. Schawlow,Male
Avi Wigderson,Male
Avner Greif,Male
B. A.,Unknown
B. F. Skinner,Unknown
Barbara Liskov,Female
Barbara McClintock,Female
Barry Barish,Male
Barry Mazur,Male
Ben Bernanke,Male
Bengt Holmström,Male
Bernard Brodie (biochemist),Male
Bernard M. Oliver,Male
Berni Alder,Male
Bert W. O'Malley,Male
Berta Scharrer,Female
Bertil Ohlin,Male
Bill Hewlett,Male
Bonnie Bassler,Female
Bradley Efron,Male
Brigitte C. Madrian,Female
Bruce Alberts,Male
Bruce Ames,Male
Bruce McEwen,Male
Bruno B. Rossi,Male
Burton Richter,Male
Butler Lampson,Unknown
C. B. van Niel,Unknown
C. Kumar N. Patel,Unknown
Calvin F. Quate,Male
Calyampudi Radhakrishna Rao,Unknown
Carl Djerassi,Male
Carl Jung,Male
Carl R. de Boor,Male
Carl Rogers,Male
Carl S. Marvel,Male
Carl Woese,Male
Carlo Trigilia,Male
Carlton E. Lemke,Male
Catherine C. Eckel,Female
Charles A. Holt,Male
Charles Bachman,Male
Charles Edward Merriam,Male
Charles H. Townes,Male
Charles Keeling,Male
Charles Merriam,Male
Charles P. Thacker,Male
Charles Pence Slichter,Male
Charles S. Draper,Male
Charles Yanofsky,Male
Chien-Shiung Wu,Unknown
Christopher A. Pissarides,Male
Christopher A. Sims,Male
Christos Papadimitriou,Male
Chu Ching-wu,Unknown
Clarence L. Johnson,Male
Clark L. Hull,Male
Claude E. Shannon,Male
Claude Ménard (economist),Male
Colin Camerer,Male
Craig Venter,Male
Cynthia Dwork,Female
D. Allan Bromley,Unknown
Dale T. Mortensen,Male
Dan Ariely,Male
Dana Scott,Female
Daniel Bromley,Male
Daniel C. Drucker,Male
Daniel E. Koshland Jr.,Male
Daniel I. Arnon,Male
Daniel Kahneman,Male
Daniel Kleppner,Male
Daniel McFadden,Male
Daniel Nathans,Male
Darleane C. Hoffman,Unknown
Daron Acemoglu,Male
David B. Mumford,Male
David Baltimore,Male
David Blackwell,Male
David Bree,Male
David Card,Male
David Cesarini,Male
David G. Nathan,Male
David Gale,Male
David Halpern (psychologist),Male
David Hawkins (philosopher),Male
David J. Wineland,Male
David McClelland,Male
David Patterson (computer scientist),Male
David Ryan Just,Male
Dennis Ritchie,Male
Dennis Sullivan,Male
Detlev Bronk,Male
Dimitri Bertsekas,Male
Dimitris Bertsimas,Male
Djuradj Caranovic,Unknown
Don L. Anderson,Male
Donald Angus MacKenzie,Male
Donald C. Spencer,Male
Donald Goldfarb,Male
Donald Henderson,Male
Donald J. Cram,Male
Donald Knuth,Male
Donald L. Iglehart,Male
Donald L. Katz,Male
Donald O. Hebb,Male
Donald T. Campbell,Male
Donald Van Slyke,Male
Douglas Bernheim,Male
Douglas Diamond,Male
