Name,Gender
Alexander Bogdanov,Male
Alexander Lerner,Male
Alexander Rosenberg,Male
Alfred I. Tauber,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Barbara J. Grosz,Female
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Carla Fehr,Female
Charles A. S. Hall,Male
Charles Darwin,Male
Charles François (systems scientist),Male
Claude Bernard,Male
Claude Shannon,Male
Daniel Dennett,Male
David Hull (philosopher),Male
Denis Noble,Male
Donella Meadows,Female
E. O. Wilson,Unknown
Edsger W. Dijkstra,Unknown
Edward Norton Lorenz,Male
Elliott Sober,Male
Eric Trist,Male
Erich von Holst,Male
Ernst Mayr,Male
Ernst von Glasersfeld,Male
Faina Mihajlovna Kirillova,Female
Fernando Flores,Male
Francis Heylighen,Male
Francisco J. Ayala,Male
Francisco Varela,Male
François Jacob,Male
Fred Emery,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George B. Chapman,Male
George Dantzig,Male
George Klir,Male
Gerard Verschuuren,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hans Jonas,Male
Heinz von Foerster,Male
Helen Longino,Female
Herbert Brün,Male
Howard T. Odum,Male
I. A. Richards,Unknown
Igor Aleksander,Male
J. Z. Young,Unknown
Jacque Fresco,Female
Jacques Monod,Male
Jakob Johann von Uexküll,Male
Jakob von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
James R. Griesemer,Male
Jane Maienschein,Female
Jared Diamond,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
Joan Roughgarden,Female
John Beatty (philosopher),Male
John Dupré,Male
John Maynard Smith,Male
John N. Warfield,Male
John Seddon,Male
Jonas Salk,Male
Julio Olalla,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kim Sterelny,Female
Konrad Lorenz,Male
Lindley Darden,Male
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marjorie Grene,Female
Marx W. Wartofsky,Unknown
Mary Cartwright,Female
Michael Ghiselin,Male
Michael Ruse,Male
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Patrick Bateson,Male
Paul E. Griffiths,Male
Peter Godfrey-Smith,Male
Peter Senge,Male
Petro Grigorenko,Male
Philip Kitcher,Male
Pille Bunnell,Female
Qian Xuesen,Unknown
Radhika Nagpal,Female
Rafael E. Núñez,Male
Ranulph Glanville,Unknown
Richard Dawkins,Male
Richard E. Bellman,Male
Richard Lewontin,Male
Robert Trappl,Male
Roberta Millstein,Female
Rolf Sattler,Male
Russell L. Ackoff,Male
Sandra Mitchell,Female
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stephanie Forrest,Female
Stephen Jay Gould,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Susan Oyama,Female
Synergetics (Haken),Unknown
Tim Lewens,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
Vittorio Guidano,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William C. Wimsatt,Male
William Grey Walter,Male
William Ross Ashby,Male
