Name,Gender
Abram Besicovitch,Male
Alan Turing,Male
Bibcode (identifier),Unknown
Colin Howson,Male
Conel Hugh O'Donel Alexander,Unknown
Dan van der Vat,Male
David E. H. Jones,Male
Donald Michie,Male
Doron Zeilberger,Male
Fast Fourier transform,Unknown
G. H. Hardy,Unknown
German battleship Bismarck,Male
Graphcore,Unknown
Harry Golombek,Male
James Barrat,Male
James Macrae Aitken,Male
"Jesus College, Cambridge",Male
Joan Clarke,Female
Manchester Mark 1,Unknown
Max Newman,Male
OpenAI Codex,Unknown
Robert Kass,Male
Robert Robinson (organic chemist),Male
Stanley Kubrick,Male
Virginia Tech,Female
