Name,Gender
Alan Musgrave,Male
Alexander Tarasov-Rodionov,Male
Alfred North Whitehead,Male
Bas van Fraassen,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Charles Darwin,Male
Charles Sanders Peirce,Male
David Hume,Male
Donald A. Gillies,Male
Edmund F. Robertson,Male
Edward N. Zalta,Male
Francis Bacon,Male
George Pólya,Male
György Lukács,Male
Hans Reichenbach,Male
Henri Poincaré,Male
Hungarian Working People's Party,Unknown
Ian Hacking,Male
Immanuel Velikovsky,Male
Isaac Newton,Male
John Oulton Wisdom,Male
John W. N. Watkins,Male
John Worrall (philosopher),Male
Joseph Agassi,Male
Karl Marx,Male
Karl Pearson,Male
Karl Popper,Male
Larry Laudan,Male
Michael Polanyi,Male
Mill's Methods,Unknown
Nicholas Maxwell,Male
Niels Bohr,Male
Otto Neurath,Male
Pierre Duhem,Male
Ptolemaic system,Unknown
R. B. Braithwaite,Unknown
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Sofya Yanovskaya,Female
Thomas Kuhn,Male
Thomas Samuel Kuhn,Male
Vladimir Lenin,Male
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
Árpád Szabó (classicist),Male
