Name,Gender
A. E. van Vogt,Unknown
A Canticle for Leibowitz,Unknown
Abbie Hoffman,Female
Abelard-Schuman,Unknown
Adrift Just Off the Islets of Langerhans,Unknown
Agatha Christie,Female
Alaya Dawn Johnson,Unknown
Alec Nevala-Lee,Male
Alex Proyas,Male
Alfred Bester,Male
Alfred Hitchcock's Mystery Magazine,Male
Aliette de Bodard,Female
Allen Steele,Male
Amal El-Mohtar,Female
Andre Norton,Male
Andy Duncan (writer),Male
Ann Leckie,Female
Anne McCaffrey,Female
Antonio Lara de Gavilán,Male
Arkady Darell,Male
Arkady Martine,Male
Arthur C. Clarke,Male
Arthur Conan Doyle,Male
Arthur Obermayer,Male
Asimov,Unknown
Asimov's Guide to Shakespeare,Unknown
Asimov (crater),Unknown
Asimov (disambiguation),Unknown
Autobiographies of Isaac Asimov,Unknown
Avon Books,Female
Azazel (Asimov),Unknown
Bantam Books,Unknown
Barrayar,Unknown
Barry Morse,Male
Bel Riose,Female
Bertrand Russell,Male
Bibcode (identifier),Unknown
Bicentennial Man (film),Unknown
Bikini Atoll,Unknown
Bill Johnson (author),Male
Bill Moyers,Male
Black Friar of the Flame,Unknown
Brian Aldiss,Male
Brooke Bolander,Female
Bruce Holland Rogers,Male
Buy Jupiter and Other Stories,Unknown
C. J. Cherryh,Unknown
Caitlín R. Kiernan,Female
Calvin Trillin,Male
Carl Freedman (writer),Male
Carl Sagan,Male
Catherine Asaro,Female
Charles L. Grant,Male
Charles Sheffield,Male
Charles Stross,Male
Charlie Jane Anders,Male
Cherie Priest,Female
Chris Columbus (filmmaker),Male
Cixin Liu,Unknown
Clifford D. Simak,Male
Connie Willis,Female
Cyril M. Kornbluth,Male
Damon Knight,Male
Damon Knight Memorial Grand Master Award,Male
Dan Simmons,Male
Daniel Keyes,Male
Danny Goes to Mars,Male
Darwin's Radio,Unknown
David Brin,Male
David Frost,Male
David Gerrold,Male
David S. Goyer,Male
"David Starr, Space Ranger",Male
Don Juan (Byron),Male
Donald Kingsbury,Male
Donald Wollheim,Male
Downbelow Station,Unknown
Dudley Moore,Male
EBSCOhost (identifier),Unknown
Eando Binder,Unknown
Earth's Moon (Asimov),Unknown
Ed Emshwiller,Male
Edward E. Smith Memorial Award,Male
Edward L. Ferman,Male
Edwin Newman,Male
Elizabeth Ann Scarborough,Female
Elizabeth Bear,Female
Elizabeth Moon,Female
Ellen Klages,Female
Emily Tesh,Female
Encyclopedia Galactica,Unknown
Eric Asimov,Male
Eric James Stone,Male
Eugie Foster,Unknown
Evidence (Asimov),Unknown
Fawcett Crest,Unknown
Floyd C. Gale,Male
Folding Beijing,Unknown
Foundation (Asimov novel),Unknown
Foundation (Isaac Asimov novel),Unknown
Frank Herbert,Male
Frank Riley (author),Male
Fred Pohl,Male
Frederik Pohl,Male
Gaal Dornick,Unknown
Gandahar (film),Unknown
Gareth Stevens,Male
Gene Roddenberry,Male
Gene Wolfe,Male
Geoff Ryman,Male
George Alec Effinger,Male
George McGovern,Male
George Orwell,Male
George R. R. Martin,Male
Gerald Ford,Male
Gilbert and Sullivan,Male
Goat Song (novelette),Unknown
Gordon Eklund,Male
Gordon R. Dickson,Male
Greg Bear,Male
Gregory Benford,Male
Gwyneth Gibby,Female
H. G. Wells,Unknown
Hai Ya,Unknown
Hal Clement,Male
Hao Jingfang,Unknown
