Name,Gender
1 John 5:7,Unknown
A. Rupert Hall,Unknown
Aaron Guerdon,Male
Aaron Klug,Male
Abraham de Moivre,Male
Abraham de la Pryme,Male
Abu Bakr al-Razi,Male
Adam Ferguson,Male
Adam Smith,Male
Adam Weishaupt,Male
Adam and Charles Black,Male
Adamantios Korais,Male
Adriaan Koerbagh,Male
Adrian Smith (statistician),Male
Al-Jildaki,Unknown
Al-Simawi,Unknown
Al-Tughrai,Unknown
Al-Zahrawi,Unknown
Alan Lloyd Hodgkin,Male
Albert Einstein,Male
"Alexander Baring, 1st Baron Ashburton",Male
Alexander Graham Bell,Male
Alexander Pope,Male
Alexander R. Todd,Male
Alexander Radishchev,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Rupert Hall,Male
Algernon Sidney,Unknown
Alvin Plantinga,Male
Anders Jonas Ångström,Male
Andreas Libavius,Male
Andrew Huxley,Male
Angstrom,Unknown
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
Anthony Collins (philosopher),Male
Anthony Hammond,Male
Anthony Storr,Male
Anthony Wagner,Male
Antiochus Kantemir,Unknown
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Archibald Geikie,Male
Arithmetica Universalis,Unknown
"Arthur Annesley, 5th Earl of Anglesey",Male
Arthur Schopenhauer,Male
Asoke Nath Mitra,Unknown
Astronomer Royal,Unknown
Athanasian Creed,Unknown
Aurora consurgens,Female
Avram Mrazović,Male
Balthasar Bekker,Male
Bas van Fraassen,Male
Basil Valentine,Male
Benjamin Franklin,Male
Benjamin Pulleyn,Male
Bernard Bolzano,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bernard Trevisan,Male
Bernhardus Varenius,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Boyle's law,Unknown
Bézout's theorem,Unknown
C. D. Broad,Unknown
Carl Friedrich Gauss,Male
Carl Gustav Hempel,Male
Carl Jung,Male
Carl Sagan,Male
Catherine Barton,Female
Catherine the Great,Female
Centimetre–gram–second system of units,Unknown
Cesare Beccaria,Male
Charles-Augustin de Coulomb,Unknown
Charles Babbage,Male
Charles Bathurst,Male
Charles Bonnet,Male
"Charles Cadogan, 1st Earl Cadogan",Male
Charles Duncombe (English banker),Male
Charles Duncombe (Lord Mayor of the City of London),Male
Charles Hutton,Male
Charles III of Spain,Male
Charles II of England,Male
Charles Marie de La Condamine,Male
"Charles Montagu, 1st Earl of Halifax",Male
"Charles Perceval, 2nd Baron Arden",Male
Charles Sanders Peirce,Male
Charles Scott Sherrington,Male
Charles Scribner's Sons,Male
Charlotte M. Yonge,Female
Christiaan Huygens,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christoph Martin Wieland,Male
Christopher Wren,Male
Chymical Wedding of Christian Rosenkreutz,Unknown
Claude Adrien Helvétius,Male
Cleopatra the Alchemist,Female
Colin Pask,Male
Cranbury Park,Unknown
Cyril Norman Hinshelwood,Male
Dalton (unit),Male
Daniel Gabriel Fahrenheit,Male
David Brewster,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
De Alchemia,Unknown
Denis Diderot,Male
Denis Fonvizin,Male
Derek Parfit,Male
Dimitrie Cantemir,Male
Donald Davidson (philosopher),Male
Dositej Obradović,Unknown
Dugald Stewart,Male
E. T. Whittaker,Unknown
Early life of Isaac Newton,Unknown
"Edgar Adrian, 1st Baron Adrian",Male
Edmond Halley,Male
Edmund Burke,Male
Edward Andrade,Male
Edward Finch (composer),Male
Edward Gibbon,Male
Edward Villiers (Master of the Mint),Male
Edward Waring,Male
Elkhonon Goldberg,Unknown
Emerald Tablet,Female
Eric Temple Bell,Male
Ernest Rutherford,Male
Evangelista Torricelli,Female
F. J. Duarte,Unknown
Ferdinando Galiani,Male
Firmin Abauzit,Male
Francesco Mario Pagano,Male
Francis Bacon,Male
Francis Hutcheson (philosopher),Male
Francisco Suárez,Male
François Quesnay,Male
Frater Albertus,Unknown
Frederick Gowland Hopkins,Male
Friedrich Nietzsche,Male
Friedrich Schiller,Male
Fritjof Capra,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel Bonnot de Mably,Male
Geographia Generalis,Unknown
Georg Christoph Lichtenberg,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Biddell Airy,Male
"George Eden, 1st Earl of Auckland",Male
George Herbert,Male
George Mason,Male
"George Parker, 2nd Earl of Macclesfield",Male
George Porter,Male
George Ripley (alchemist),Male
George Starkey,Male
George Tierney,Male
"George Townshend, 2nd Marquess Townshend",Male
"Georges-Louis Leclerc, Comte de Buffon",Unknown
Gerhard Dorn,Male
Gheorghe Șincai,Male
Giambattista Vico,Male
Gilbert (unit),Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giovanni Mercurio da Correggio,Male
Godfrey Kneller,Male
Gottfried Wilhelm Leibniz,Male
Grantham Guildhall,Unknown
Gregorian Calendar,Male
Hans Christian Ørsted,Male
Hans Reichenbach,Male
Hans Sloane,Male
Henri Becquerel,Male
Henri Bergson,Male
Henri Poincaré,Male
Henry (unit),Male
"Henry Bathurst, 3rd Earl Bathurst",Male
"Henry Boyle, 1st Baron Carleton",Male
Henry Hallett Dale,Male
"Henry Labouchere, 1st Baron Taunton",Male
Henry More,Male
Henry Slingsby (Master of the Mint),Male
Herman Goldstine,Male
Hermann Lotze,Male
Historic England,Unknown
Howard Florey,Male
Hugh Blair,Male
Hugh Chisholm,Male
Hugo Kołłątaj,Male
I. Bernard Cohen,Unknown
Ian Hacking,Male
Ibn Arfa' Ra's,Unknown
Ibn Umayl,Unknown
Ibn Wahshiyya,Unknown
Immanuel Kant,Male
Imre Lakatos,Male
Institute of Physics Isaac Newton Medal,Unknown
Isaac Barrow,Male
Isaac Milner,Male
Isaac Newton's apple tree,Male
Isaac Newton's occult studies,Male
Isaac Newton (disambiguation),Male
Isaac Newton Gargoyle,Male
Isaac Newton Telescope,Male
Isaac Newton in popular culture,Male
Ivor Grattan-Guinness,Male
J. J. Thomson,Unknown
Jabir ibn Hayyan,Unknown
"James Abercromby, 1st Baron Dunfermline",Male
James Beattie (poet),Male
James Boswell,Male
"James Burnett, Lord Monboddo",Male
James Burrow,Male
James Clerk Maxwell,Male
"James Douglas, 14th Earl of Morton",Male
James Harrington (author),Male
James Hoare (gold merchant),Male
James Hutton,Male
James Jeans,Male
James Lighthill,Male
James Madison,Male
James Mill,Male
James Prescott Joule,Male
James R. Newman,Male
James Stirling (mathematician),Male
James Watt,Male
James West (antiquary),Male
Jan Baptist van Helmont,Male
Jan Swammerdam,Male
Jean-Jacques Burlamaqui,Unknown
Jean-Jacques Rousseau,Unknown
Jean-Paul Sartre,Male
