Name,Gender
A. J. Ayer,Unknown
Abraham Campion,Male
Alan Turing,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alfred Jules Ayer,Male
Alfred Tarski,Male
Alice Crary,Female
Aloysius Martinich,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Andrew Crispe,Male
Andy Clark,Male
Anthony Price (philosopher),Male
Arif Ahmed (philosopher),Male
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Taylor (philosopher),Male
Charles William Stocker,Male
Christine Korsgaard,Female
Chrysippus,Unknown
Clarendon Press,Unknown
Claude Lancelot,Male
Cora Diamond,Female
Croix de Guerre,Unknown
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Sosa,Male
Derek Parfit,Male
Die Grundlagen der Arithmetik,Unknown
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Edmund Gettier,Male
Edmund Husserl,Male
Edward Copley,Male
Edward Fulham,Male
Edward Sapir,Male
Edward Thwaytes,Male
Ernest Nagel,Male
Ernest Sosa,Male
Francis Howell (philosopher),Male
Francis Palmer (academic),Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Frederick Sontag,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
G. J. Warnock,Unknown
Geoffrey Warnock,Male
George Berkeley,Male
George Gisbey,Male
George Henry Sacheverell Johnson,Male
Gilbert Ryle,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
H. A. Prichard,Unknown
H. H. Price,Unknown
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Harold Arthur Prichard,Male
Helen Muspratt,Female
Henri Bergson,Male
Henry George Liddell,Male
Henry Wilkinson (dean),Male
Herbert James Paton,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Isaiah Berlin,Male
J. J. C. Smart,Unknown
J. L. Mackie,Unknown
J. O. Urmson,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Griffin (philosopher),Male
Jane Austen,Female
Jeff McMahan (philosopher),Male
Jerry Fodor,Male
Johann Gottfried Herder,Male
John Alexander Stewart (philosopher),Male
John Berkenhead,Male
John Broome (philosopher),Male
John Cook Wilson,Male
John Dupré,Male
John Locke,Male
John Matthias Wilson,Male
John McDowell,Male
John Rawls,Male
John Richard Turner Eaton,Male
John Searle,Male
John Wilkins,Male
Julius Moravcsik,Male
Karl Popper,Male
Keith Donnellan,Male
Kurt Gödel,Male
Leonard Bloomfield,Male
Lettice Ramsey,Unknown
Lev Vygotsky,Male
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Michael Dummett,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nathaniel Hodges,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Philosophy Bites,Unknown
R. M. Hare,Unknown
Renn Dickson Hampden,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Fogelin,Male
Robert Maximilian de Gaynesford,Male
Robert Nozick,Male
Roderick Chisholm,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Sense and Sensibilia (Austin),Unknown
Shoshana Felman,Female
Sidney Morgenbesser,Male
St Andrews,Unknown
Stephen Yablo,Male
Susan Haack,Female
T. H. Green,Unknown
Thomas Aquinas,Male
Thomas Ballow,Male
Thomas Hobbes,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Timothy Williamson,Male
Vienna Circle,Female
W. D. Ross,Unknown
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William Carpender,Male
William James,Male
William James Lectures,Male
William Kneale,Male
William Lane Craig,Male
William Mills (academic),Male
William Price (academic),Male
William Sewell (author),Male
William Wallace (Scottish philosopher),Male
Zhuang Zhou,Unknown
