Name,Gender
Ahti Heinla,Male
Bill Joy,Male
Cari Tuna,Female
Dan Hendrycks,Male
Derek Parfit,Male
Doing Good Better,Unknown
Dustin Moskovitz,Male
Eliezer Yudkowsky,Male
"Famine, Affluence, and Morality",Unknown
Fistula Foundation,Unknown
Frank Wilczek,Male
GPT-4,Unknown
Geoffrey Hinton,Male
Hilary Greaves,Female
Holden Karnofsky,Male
K. Eric Drexler,Unknown
Liv Boeree,Female
Martin Rees,Male
Max Tegmark,Male
MetaMed,Unknown
Nick Bostrom,Male
Niklas Zennström,Male
Paul Christiano (researcher),Male
Peter Singer,Male
Peter Thiel,Male
Priit Kasesalu,Male
Roman Yampolskiy,Male
Sam Altman,Male
Sam Bankman-Fried,Male
Sam Harris,Male
Stephen Hawking,Male
Steve Omohundro,Male
Stuart J. Russell,Male
Toby Ord,Male
William MacAskill,Male
Yoshua Bengio,Unknown
