Name,Gender
Albert Einstein,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anthony Wilden,Male
Buckminster Fuller,Unknown
Charles Darwin,Male
Charles François (systems scientist),Male
Claude Bernard,Male
Doug Drexler,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Forrest J Ackerman,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hans-Ulrich Obrist,Unknown
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacques Robert Fresco,Male
Jakob Johann von Uexküll,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
Ken Keyes Jr.,Male
Kevin Warwick,Male
Ku Klux Klan,Unknown
Madman Muntz,Unknown
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Miami Herald,Unknown
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Paul G. Hewitt,Male
Peter Joseph,Male
Petro Grigorenko,Male
Pietro Belluschi,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert P. Murphy,Male
Robert Trappl,Male
Sephardi Jews,Unknown
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Thorstein Veblen,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter B. Cannon,Male
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Wilbur Wright Field,Male
William Gazecki,Male
William Grey Walter,Male
Zeitgeist Addendum,Unknown
