Name,Gender
Alexander Rudolf Karl von Uexküll,Male
Alfred Rosenberg,Male
Alfred Russel Wallace,Male
Algirdas Julien Greimas,Male
Ambulacraria,Unknown
Augusto Ponzio,Male
Carl Arvid von Klingspor,Male
Carl Linnaeus,Male
Carl Schmitt,Male
Carl Wolmar Jakob von Uexküll,Male
Charles Darwin,Male
Charles Sanders Peirce,Male
Charles W. Morris,Male
Desmond Morris,Male
Dian Fossey,Female
Donald Broom,Male
E. O. Wilson,Unknown
Ed Yong,Male
Ernst Cassirer,Male
Félix Guattari,Male
Georges Canguilhem,Male
Georges Cuvier,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Hans Frank,Male
Heini Hediger,Female
Houston Stewart Chamberlain,Male
Humberto Maturana,Male
Irenäus Eibl-Eibesfeldt,Male
Isaac Newton,Male
Jakob von Uexkull,Male
Jakob von Uexküll,Male
Jakob von Uexküll Centre,Male
Jane Goodall,Female
John B. Calhoun,Male
John Deely,Male
John of St. Thomas,Male
José Ortega y Gasset,Male
Julian Huxley,Male
Juri Lotman,Male
Kalevi Kull,Male
Karl Ernst von Baer,Male
Karl von Frisch,Male
Keblaste Manor,Unknown
Konrad Lorenz,Male
Louis Hjelmslev,Male
Marc Bekoff,Male
Marcel Danesi,Male
Marian Dawkins,Male
Martin Heidegger,Male
Maurice Merleau-Ponty,Male
Max Scheler,Male
Michael Silverstein,Male
Michel Foucault,Male
N. Katherine Hayles,Unknown
Nikolaas Tinbergen,Male
Otto Cohnheim,Male
Paolo Fabbri (semiotician),Male
Patrick Bateson,Male
Peter Høeg,Male
Peter Wessel Zapffe,Male
Richard Dawkins,Male
Roberta Kevelson,Female
Roland Barthes,Male
Roman Jakobson,Male
Semiotic theory of Charles Sanders Peirce,Unknown
Solly Zuckerman,Unknown
Stuart Hall (cultural theorist),Male
Susan Petrilli,Female
Thomas Say,Male
Thomas Sebeok,Male
Thure von Uexküll,Male
Tick,Unknown
Uexküll,Unknown
"Victoria, Lady Welby",Unknown
Vladimir Toporov,Male
Vyacheslav Ivanov (philologist),Male
William Homan Thorpe,Male
William Kirby (entomologist),Male
Wolfgang Wickler,Male
Talk:Jakob Johann von Uexküll,Unknown
