Name,Gender
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anthony Wilden,Male
Buckminster Fuller,Unknown
Charles François (systems scientist),Male
Claude Bernard,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Francis Heylighen,Male
Francisco Varela,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Washington University,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
Kevin Warwick,Male
Maleyka Abbaszadeh,Unknown
Mao Zedong,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Ranulph Glanville,Unknown
Robert Trappl,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
"Trappl, Robert",Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
