Name,Gender
Albert W. Hull,Male
Alexander Bogdanov,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Barbara J. Grosz,Female
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Charles A. S. Hall,Male
Charles François (systems scientist),Male
Charles H. Townes,Male
Claude Bernard,Male
Claude Shannon,Male
Dennis Gabor,Male
Dennis Meadows,Male
Donella Meadows,Female
Edsger W. Dijkstra,Unknown
Edward Ginzton,Male
Edward Norton Lorenz,Male
Emory Leon Chaffee,Male
Eric Trist,Male
Erich von Holst,Male
Ernst Guillemin,Male
Ernst von Glasersfeld,Male
Eta Kappa Nu,Female
Faina Mihajlovna Kirillova,Female
Forrester (surname),Unknown
Francis Heylighen,Male
Francisco Varela,Male
Fred Emery,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Clark Southworth,Male
George Dantzig,Male
George Klir,Male
Gordon Kidd Teal,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Harald T. Friis,Male
Harold Alden Wheeler,Male
Harry Nyquist,Male
Heinz von Foerster,Male
Howard T. Odum,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
Jason Jixuan Hu,Male
Jennifer Wilby,Female
John Bardeen,Male
John F. Collins,Male
John Hays Hammond Jr.,Male
John Milton Miller,Male
John N. Warfield,Male
John R. Pierce,Male
John Seddon,Male
John Vincent Lawless Hogan,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mary Cartwright,Female
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Peter Senge,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Radhika Nagpal,Female
Ranulph Glanville,Unknown
Richard E. Bellman,Male
Robert Trappl,Male
Roger Sisson,Male
Rudolf E. Kálmán,Male
Rudolf Kompfner,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stephanie Forrest,Female
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
Vladimir K. Zworykin,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Walter Ransom Gail Baker,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
William Littell Everitt,Male
William Nordhaus,Male
William Ross Ashby,Male
