Name,Gender
Ada Lovelace (microarchitecture),Female
Bill Dally,Male
Bill Whitaker (journalist),Male
Blackwell (microarchitecture),Unknown
Busboy,Unknown
Charles Liang,Male
Chris Malachowsky,Male
Cooley LLP,Unknown
Cumulus Networks,Unknown
David Kirk (scientist),Male
Don Valentine,Male
Encyclopedia Britannica,Unknown
Fei-Fei Li,Unknown
Geoffrey E. Hinton,Male
Geoffrey Hinton,Male
Hanyu Pinyin,Unknown
Huang's law,Unknown
Huang (surname),Unknown
Jeremy Lin,Male
John Hopfield,Male
Kelvin (microarchitecture),Male
Kepler (microarchitecture),Unknown
Lisa Su,Female
Mark Zuckerberg,Male
Morris Chang,Male
Narendra Modi,Unknown
Nintendo Switch,Unknown
Nvidia Tesla,Unknown
OptiX,Unknown
Paetongtarn Shinawatra,Unknown
Queen Elizabeth Prize for Engineering,Female
Ray tracing (graphics),Male
Rubin (microarchitecture),Male
Sutter Hill Ventures,Unknown
Taylor Swift,Male
Tom's Hardware,Unknown
Unified Shader Model,Unknown
W. W. Norton & Company,Unknown
Wilfred Corrigan,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
