Name,Gender
A. J. Ayer,Unknown
Alan Turing,Male
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Arif Ahmed (philosopher),Male
Barry Stroud,Male
Bas van Fraassen,Male
Bernard Hollander,Male
Bernard Williams,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Biolinguistics,Unknown
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Darwin,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Cora Diamond,Female
Dan Sperber,Male
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Edmund Gettier,Male
Edmund Husserl,Male
Ernest Lepore,Male
Ernest Nagel,Male
Ernest Sosa,Male
Fiona Cowie,Female
Frank Cameron Jackson,Male
Frank Jackson (philosopher),Male
Frank P. Ramsey,Male
Franz Brentano,Male
Franz Joseph Gall,Male
Fred Dretske,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
George Berkeley,Male
Georges Rey,Male
Gilbert Ryle,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Henry Plotkin,Male
Ian Hacking,Male
Immanuel Kant,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Pustejovsky,Male
Janet Dean Fodor,Female
Jean Nicod Prize,Male
Jerrold Katz,Male
Jerry Coyne,Male
John Dupré,Male
John Locke,Male
John Locke Lectures,Male
John McDowell,Male
John Perry (philosopher),Male
John Rawls,Male
John Searle,Male
Karl Popper,Male
"Kegan Paul, Trench, Trubner & Co",Male
Keith Donnellan,Male
Kent Bach,Male
Kurt Gödel,Male
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
Mary Midgley,Female
Massimo Piattelli-Palmarini,Male
Maurice Merleau-Ponty,Male
Michael Dummett,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Peter Forbes (author),Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Sidney Morgenbesser,Male
Simon Blackburn,Male
Stephen Yablo,Male
Steven Pinker,Male
Susan Haack,Female
Thomas Aquinas,Male
Thomas Bever,Male
Thomas Kuhn,Male
Thomas Nagel,Male
Timothy Williamson,Male
Vienna Circle,Female
W.V.O. Quine,Unknown
What Darwin Got Wrong,Unknown
Willard Van Orman Quine,Male
William James,Male
William Lane Craig,Male
Zhuang Zhou,Unknown
