Name,Gender
A Time to Kill (Grisham novel),Unknown
Alberto Bevilacqua,Male
Alessandra Appiano,Female
Alex Haley,Male
Andrea Camilleri,Female
Andrea Vitali,Female
André Schwarz-Bart,Male
Antonio Spinosa,Male
Bill Moyers Journal,Male
Biloxi,Unknown
Bonaventura Tecchi,Male
Boris Pasternak,Male
Bruno Vespa,Male
Calico Joe,Unknown
Carlo Cassola,Male
Cesare Marchi,Male
Charlie Rose (TV series),Male
Cornelius Ryan,Male
Dan Brown,Male
Ed Harris,Male
Elizabeth Strout,Female
Enzo Biagi,Male
Ernest Hemingway,Male
Federico Audisio,Male
Frank Muller,Male
Frank Schätzing,Male
Gary Jennings (author),Male
Giampaolo Pansa,Male
Gianrico Carofiglio,Unknown
Giorgio Saviane,Male
Giovannino Guareschi,Male
Giulio Andreotti,Male
Giulio Bedeschi,Male
Giuseppe Berto,Male
Gray Mountain (Grisham novel),Male
Gray Mountain (John Grisham novel),Male
Greg Davis (Mississippi politician),Male
Greg Iles,Male
Grisham,Unknown
Grisham (disambiguation),Unknown
Grisham (surname),Unknown
Harry Connick Jr.,Male
Heinrich Gerlach,Male
Helmerich Award,Unknown
Hervé Le Boterf,Male
Hillary Clinton 2016 presidential campaign,Female
Indro Montanelli,Male
Isaac Bashevis Singer,Male
J. K. Rowling,Unknown
James Eastland,Male
Joel Schumacher,Male
John Steinbeck,Male
John le Carré,Male
Jostein Gaarder,Male
Julia Roberts,Female
Ken Follett,Male
Luciano De Crescenzo,Male
Luigi Preti,Male
Marcello Simoni,Male
Margherita Oggero,Female
Massimo Grillandi,Male
Maurice Denuzière,Male
Mauro Corona,Male
Michael Connelly,Male
Michela Marzano,Female
Mickey (2004 film),Male
Mitch McDeere,Male
Motoko Rich,Female
Oriana Fallaci,Female
Paolo Caccia Dominioni,Male
Pasquale Festa Campanile,Male
Pat Conroy,Unknown
Peter Colosimo,Male
Peter Straub,Male
Premio Bancarella,Unknown
Renato Barneschi,Male
Roberto Gervaso,Male
Rogue Lawyer,Unknown
Ronald Williamson,Male
Sara Rattaro,Female
Senatobia,Unknown
Sergio Zavoli,Male
Stephen King,Male
Susan Sarandon,Female
Susanna Agnelli,Female
The Brethren (Grisham novel),Female
The Chamber (1996 film),Female
The Guardians (Grisham novel),Female
The King of Torts,Female
The Partner (Grisham novel),Female
The Reckoning (Grisham novel),Female
The Summons (Grisham novel),Female
The Testament (John Grisham novel),Female
The Whistler (novel),Female
Theodore Boone,Male
Theodore Boone: Kid Lawyer,Male
Theodore Boone: The Abduction,Male
Theodore Boone: The Accused,Male
Theodore Boone: The Activist,Male
Theodore Boone: The Fugitive,Male
Theodore Boone: The Scandal,Male
Tom Clancy,Male
Tom Cruise,Male
Tommy Lee Jones,Male
Vittorio Sgarbi,Male
Werner Keller (writer),Male
Template:John Grisham,Unknown
Template talk:John Grisham,Unknown
