Name,Gender
Abdus Salam,Unknown
Ada Yonath,Female
Adam Riess,Male
Ahmed Zewail,Male
Albert A. Michelson,Male
Albert Einstein,Male
Albert Einstein World Award of Science,Male
Albert Fert,Male
Albert Overhauser,Male
Albert W. Hull,Male
Alec Jeffreys,Male
Alexander Prokhorov,Male
Alfred Kastler,Male
Ali Javan,Male
Anderson impurity model,Male
Andre Geim,Male
Andrea M. Ghez,Female
Andrew Sessler,Male
Anne L'Huillier,Female
Anthony James Leggett,Male
Anton Zeilinger,Male
Arthur Ashkin,Male
Arthur B. McDonald,Male
Arthur Bienenstock,Male
Arthur Compton,Male
Arthur Gordon Webster,Male
Arthur Jeffrey Dempster,Male
Arthur Leonard Schawlow,Male
Barry Barish,Male
Ben Roy Mottelson,Male
Benjamin Franklin Medal (Franklin Institute),Male
Benjamin Osgood Peirce,Male
Bertram Brockhouse,Male
Bibcode (identifier),Unknown
Bill Dally,Male
Boltzmann Medal,Unknown
Brian Josephson,Male
Brian Schmidt,Male
Burton Richter,Male
C. F. Powell,Unknown
C. Kumar N. Patel,Unknown
C. V. Raman,Unknown
Carl Barus,Male
Carl David Anderson,Male
Carl Wieman,Male
Carlo Rubbia,Male
Charles Christian Lauritsen,Male
Charles Glover Barkla,Male
Charles H. Townes,Male
Charles K. Kao,Male
Charles R. Goldman,Male
Charles Thomson Rees Wilson,Male
Charles Édouard Guillaume,Male
Cherry A. Murray,Female
Chien-Shiung Wu,Unknown
Claude Cohen-Tannoudji,Male
Clifford Shull,Male
Clinton Davisson,Male
D. Allan Bromley,Unknown
Daniel C. Tsui,Male
Daniel Crevier,Male
Daniel Janzen,Male
Daron Acemoglu,Male
David Baker (biochemist),Male
David Gilbert Thomas,Male
David Gross,Male
David J. C. MacKay,Male
David J. Thouless,Male
David J. Wineland,Male
David Lee (physicist),Male
David W. Tank,Male
Dayton Miller,Male
Dennis Gabor,Male
Didier Queloz,Male
Donald A. Glaser,Male
Donald N. Langenberg,Male
Donna Strickland,Female
Douglas Osheroff,Male
Duncan Haldane,Male
Edward Condon,Male
Edward Leamington Nichols,Male
Edward Mills Purcell,Male
Edward Witten,Male
Emilio Segrè,Male
Eric Allin Cornell,Male
Erik Winfree,Male
Ernest Lawrence,Male
Ernest M. Henley,Male
Ernest Merritt,Male
Ernest Walton,Male
Ernst Ruska,Male
Erwin Schrödinger,Male
Eugene Wigner,Male
Ewine van Dishoeck,Unknown
Exciton,Unknown
Fei-Fei Li,Unknown
Felix Bloch,Male
Floyd K. Richtmyer,Male
Frances Hellman,Female
Francis Wheeler Loomis,Male
Frank Fenner,Male
Frank Wilczek,Male
François Englert,Male
Frederick Reines,Male
Frederick Seitz,Male
GPT-4,Unknown
Gabriel Lippmann,Male
Gary Ruvkun,Male
Geoffrey E. Hinton,Male
Geoffrey Hinton,Male
Geoffrey Ozin,Male
Georg Bednorz,Male
George B. Pegram,Male
George E. Smith,Male
George Paget Thomson,Male
George Pake,Male
George Smoot,Male
George Trilling,Male
George Uhlenbeck,Male
George W. Stewart,Male
Georges Charpak,Male
Gerald Mahan,Male
Gerard 't Hooft,Male
Gerd Binnig,Male
Guglielmo Marconi,Male
Gustaf Dalén,Male
Gustav Ludwig Hertz,Male
Gustav Nossal,Male
Gérard Mourou,Male
Hannes Alfvén,Male
Hans Bethe,Male
Harold Pender Award,Male
Harrison M. Randall,Male
Harvey Fletcher,Male
Heinrich Rohrer,Male
Helen Quinn,Female
Hendrik Lorentz,Male
Henri Becquerel,Male
Henry A. Bumstead,Male
Henry Augustus Rowland,Male
Henry Crew,Male
Henry DeWolf Smyth,Male
Henry Gale (astrophysicist),Male
Henry Way Kendall,Male
Herbert H. Jasper,Male
Herbert Kroemer,Male
Herman Feshbach,Male
Hiroshi Amano,Male
Homer Neal,Male
Hopfield dielectric,Unknown
Hopfield network,Unknown
Horst Ludwig Störmer,Male
Hugh David Politzer,Male
Hugh Huxley,Male
IEEE Frank Rosenblatt Award,Unknown
Isamu Akasaki,Male
Isidor Isaac Rabi,Male
Ivar Giaever,Male
J. Hans D. Jensen,Unknown
J. J. Thomson,Unknown
J. Michael Kosterlitz,Unknown
J. Robert Oppenheimer,Unknown
Jack Kilby,Male
Jack Steinberger,Male
James A. Krumhansl,Male
James A. Robinson,Male
James Chadwick,Male
James Cronin,Male
James Franck,Male
James Rainwater,Male
James S. Langer,Male
Jean-Pierre Changeux,Male
Jean Baptiste Perrin,Male
Jerome Isaac Friedman,Male
Jesse Beams,Male
Jim Peebles,Male
Johannes Stark,Male
John Archibald Wheeler,Male
John Bardeen,Male
John C. Mather,Male
John Clauser,Male
John Cockcroft,Male
John Harry Williams,Male
John Hasbrouck Van Vleck,Male
John J. Hopfield (spectroscopist),Male
John L. Hall,Male
John M. Jumper,Male
John Robert Schrieffer,Male
John T. Houghton,Male
John Torrence Tate Sr.,Male
"John William Strutt, 3rd Baron Rayleigh",Male
John Zeleny,Male
Joseph Edward Mayer,Male
