Name,Gender
A. Paul Alivisatos,Unknown
ALGOL Bulletin,Unknown
Abel Wolman,Male
Adi Shamir,Male
Adriaan van Wijngaarden,Male
Alan Kay,Male
Alan Perlis,Male
Alan Turing,Male
Albert Bandura,Male
Albert Overhauser,Male
Albert Sabin,Male
Alberto Calderón,Male
Alexander Rich,Male
Alexandre Chorin,Male
Alfred Aho,Male
Alfred Sturtevant,Male
Alfred Y. Cho,Male
Allan McLeod Cormack,Male
Allan R. Sandage,Male
Allen J. Bard,Male
Allen Newell,Male
Amir Pnueli,Male
Amnon Yariv,Male
Andrew Viterbi,Male
Andrew Yao,Male
Andrey Ershov,Male
Angela Belcher,Female
Ann Graybiel,Female
Anne Anastasi,Female
Anne Treisman,Female
Anthony Fauci,Male
Antoni Zygmund,Male
Arnold O. Beckman,Male
Arthur Kornberg,Male
Arthur L. Schawlow,Male
Atlas Autocode,Unknown
Avi Wigderson,Male
B. F. Skinner,Unknown
Barbara Liskov,Female
Barbara McClintock,Female
Barry Barish,Male
Barry J. Mailloux,Male
Barry Mazur,Male
Benjamin Franklin Medal (Franklin Institute),Male
Bernard Brodie (biochemist),Male
Bernard Galler,Male
Bernard M. Oliver,Male
Bernard Vauquois,Male
Berni Alder,Male
Bert W. O'Malley,Male
Berta Scharrer,Female
Bigloo,Unknown
Bill Hewlett,Male
Bonnie Bassler,Female
Bradley Efron,Male
Brian Harvey (lecturer),Male
Brian Randell,Male
Bruce Alberts,Male
Bruce Ames,Male
Bruce Arden,Male
Bruno B. Rossi,Male
Burton Richter,Male
Butler Lampson,Unknown
C. B. van Niel,Unknown
C. Kumar N. Patel,Unknown
Cadence SKILL,Female
Calvin F. Quate,Male
Calyampudi Radhakrishna Rao,Unknown
Carl Djerassi,Male
Carl R. de Boor,Male
Carl S. Marvel,Male
Carl Woese,Male
Carolyn Talcott,Female
Carroll Morgan (computer scientist),Male
Charles Bachman,Male
Charles H. Lindsey,Male
Charles H. Townes,Male
Charles Katz,Male
Charles Keeling,Male
Charles P. Thacker,Male
Charles Pence Slichter,Male
Charles S. Draper,Male
Charles Yanofsky,Male
Chien-Shiung Wu,Unknown
Christopher Strachey,Male
Chu Ching-wu,Unknown
Clarence L. Johnson,Male
Claude E. Shannon,Male
Common Lisp HyperSpec,Unknown
Cornelis H. A. Koster,Male
Craig Venter,Male
Cynthia Dwork,Female
Cynthia Solomon,Female
D. Allan Bromley,Unknown
Dana Scott,Female
Daniel C. Drucker,Male
Daniel E. Koshland Jr.,Male
Daniel G. Bobrow,Male
Daniel I. Arnon,Male
Daniel Kleppner,Male
Daniel Nathans,Male
Daniel Weinreb,Male
Darleane C. Hoffman,Unknown
David A. Moon,Male
David B. Mumford,Male
David Baltimore,Male
David Blackwell,Male
David G. Nathan,Male
David Gries,Male
David J. Wineland,Male
David Luckham,Male
David Park (computer scientist),Male
David Patterson (computer scientist),Male
David Turner (computer scientist),Male
Denison Bollay,Unknown
Dennis Ritchie,Male
Dennis Sullivan,Male
Detlev Bronk,Male
Don L. Anderson,Male
Donald C. Spencer,Male
Donald Henderson,Male
Donald J. Cram,Male
Donald Knuth,Male
Donald L. Katz,Male
Donald Van Slyke,Male
Douglas Engelbart,Male
Douglas T. Ross,Male
Dudley R. Herschbach,Male
Dylan (programming language),Male
E. Allen Emerson,Unknown
E. Donnall Thomas,Unknown
E. Margaret Burbidge,Unknown
E. O. Wilson,Unknown
Earl R. Parker,Male
Earl Reece Stadtman,Male
Earl W. Sutherland Jr.,Male
Edgar Bright Wilson,Male
Edgar F. Codd,Male
Edinburgh IMP,Unknown
Edmund Berkeley,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward B. Lewis,Male
Edward C. Stone,Male
Edward F. Knipling,Male
Edward Feigenbaum,Male
Edward H. Heinemann,Male
Edward M. Purcell,Male
Edward Teller,Male
Edward Witten,Male
Edwin Catmull,Male
Edwin H. Land,Male
Edwin M. McMillan,Male
Edwin N. Lightfoot,Male
Efraim Racker,Male
Eiiti Wada,Unknown
Elaine Fuchs,Female
Eleanor J. Gibson,Female
Eli Ruckenstein,Female
Elias J. Corey,Male
Elias M. Stein,Male
Elizabeth C. Crosby,Female
Elizabeth F. Neufeld,Female
Elkan Blout,Unknown
Elliott ALGOL,Male
Elvin A. Kabat,Male
Emery N. Brown,Male
Emmett N. Leith,Male
Eric Hehner,Male
Eric Kandel,Male
Ernest R. Davidson,Male
Ernst Mayr,Male
Ernst Weber (engineer),Male
Erwin Chargaff,Male
Erwin Wilhelm Müller,Male
Esther M. Conwell,Female
Eugene M. Shoemaker,Male
Eugene Parker,Male
Eugene Wigner,Male
Eve Marder,Female
Evelyn M. Witkin,Female
F. Albert Cotton,Unknown
Fay Ajzenberg-Selove,Female
Felix Browder,Male
Fernando J. Corbató,Male
Folke K. Skoog,Male
Frances Allen,Female
Francis Birch (geophysicist),Male
Francis Collins,Male
Francis Peyton Rous,Male
Francisco J. Ayala,Male
Frank H. Westheimer,Male
Frank Press,Male
Fred Brooks,Male
Frederick Reines,Male
Frederick Rossini,Male
Frederick Seitz,Male
Frederick Terman,Male
Friedrich L. Bauer,Male
Fritz Albert Lipmann,Male
G. David Tilman,Unknown
G. Evelyn Hutchinson,Unknown
G. Ledyard Stebbins,Unknown
GNU Common Lisp,Unknown
Gary Becker,Male
Gebisa Ejeta,Unknown
Gene Likens,Male
Genera (operating system),Unknown
Geoffrey Hinton,Male
George Armitage Miller,Male
George Bass (archaeologist),Male
George C. Pimentel,Male
George Dantzig,Male
George E. Mueller,Male
George Emil Palade,Male
George F. Carrier,Male
George Gaylord Simpson,Male
George H. Heilmeier,Male
George Kistiakowsky,Male
George Low,Male
George M. Whitesides,Male
George Pake,Male
George S. Hammond,Male
George Stigler,Male
George Uhlenbeck,Male
George W. Housner,Male
George Wetherill,Male
Gerald Jay Sussman,Male
Geraldine L. Richmond,Female
Gilbert F. White,Male
Gilbert Stork,Male
Glenn T. Seaborg,Male
Glenn W. Burton,Male
Gordon H. Bower,Male
Greenspun's tenth rule,Unknown
Gregory Breit,Male
Gregory Petsko,Male
Guy L. Steele Jr.,Male
H. Bolton Seed,Unknown
H. Guyford Stever,Unknown
H. Richard Crane,Unknown
Hal Abelson,Male
Hallowell Davis,Unknown
Hans A. Bethe,Male
Hans Dehmelt,Male
Hans Moravec,Male
Hans Wolfgang Liepmann,Male
Harden M. McConnell,Unknown
Harland G. Wood,Male
Harold E. Edgerton,Male
Harold S. Johnston,Male
Harold Urey,Male
Harold Varmus,Male
Harry B. Gray,Male
Harry Eagle,Male
Harry George Drickamer,Male
Harry Harlow,Male
Hassler Whitney,Unknown
Heinz Rutishauser,Male
Helen Blau,Female
Helmut Landsberg,Male
Henry Eyring (chemist),Male
Henry Stommel,Male
Henry Taube,Male
Herbert A. Simon,Male
Herbert C. Brown,Male
Herbert E. Grier,Male
Herbert Friedman,Male
Herbert S. Gutowsky,Male
Herbert W. Boyer,Male
Herman Feshbach,Male
Herman Goldstine,Male
Herman Mark,Male
Hermann A. Haus,Male
Hermann Bottenbruch,Male
Howard Bachrach,Male
Howard Ensign Simmons Jr.,Male
Howard Martin Temin,Male
Hugh L. Dryden,Male
Hyman Bass,Male
Igor I. Sikorsky,Male
Isabella L. Karle,Female
Ivan Sutherland,Male
J. Michael Bishop,Unknown
J. Presper Eckert,Unknown
J. Robert Schrieffer,Unknown
JOVIAL,Unknown
Jack Dongarra,Male
Jack St. Clair Kilby,Male
Jack Steinberger,Male
Jacob Bjerknes,Male
Jacob T. Schwartz,Male
Jacqueline K. Barton,Female
James A. Van Allen,Male
James Augustine Shannon,Male
James Cronin,Male
James E. Darnell,Male
James E. Gunn (astronomer),Male
James Glimm,Male
James H. Wilkinson,Male
James L. Flanagan,Male
James V. Neel,Male
James Watson,Male
Janet Rowley,Female
Jared Diamond,Male
Jay Laurence Lush,Male
Jeffrey Ullman,Male
Jensen's device,Unknown
Jeremiah P. Ostriker,Male
Jeremy Gibbons,Male
Jerrold Meinwald,Male
Jerzy Neyman,Male
Jesse Beams,Male
