Name,Gender
Abraham Adrian Albert,Male
Abraham Fraenkel,Male
Abraham H. Taub,Male
Abraham Pais,Male
Ada Lovelace,Female
Adele Goldstine,Female
Alamogordo Bombing Range,Unknown
Alan Turing,Male
Albert Einstein,Male
Albert W. Tucker,Male
Albert algebra,Male
Alexander Grothendieck,Male
Alexandra Bellow,Female
Alfred Tarski,Male
Alfréd Haar,Male
Alok Bhargava,Male
Alvin Toffler,Male
Amos Tversky,Male
Ancient Greece,Unknown
Andrew Koenig (programmer),Male
Andrew M. Gleason,Male
Andrew Szanton,Male
Andrzej Trautman,Male
Annie Jacobsen,Female
Anton Zeilinger,Male
Ariel Rubinstein,Male
Arthur Compton,Male
Arthur Jaffe,Male
Arthur W. Burks,Male
Arthur Wightman,Male
Asher Peres,Male
Aumann's agreement theorem,Unknown
Ball (mathematics),Unknown
Banach–Tarski paradox,Unknown
Banesh Hoffmann,Unknown
Barbara McClintock,Female
Bartel Leendert van der Waerden,Male
Bayesian Nash equilibrium,Unknown
Benoit Mandelbrot,Unknown
Bernard Schriever,Male
Bertil Gustafsson,Male
Bertrand Russell,Male
Betty Holberton,Female
Bibcode (identifier),Unknown
Biometrika,Unknown
Blotto game,Unknown
Boris Pash,Male
Brian Kernighan,Male
Bruce Gilchrist,Male
Bruno Rossi,Male
Calutron Girls,Unknown
Carl-Gustaf Rossby,Unknown
Carl Friedrich Gauss,Male
Catherine Westfall,Female
Charles Allen Thomas,Male
Charles B. Morrey Jr.,Male
Charles Babbage,Male
Charles Coulston Gillispie,Male
Charles Critchfield,Male
Charles Royal Johnson,Male
Chien-Shiung Wu,Unknown
Churchill Eisenhart,Unknown
Claude Shannon,Male
Clay Blair,Male
Clinton Engineer Works,Male
Coalition-proof Nash equilibrium,Unknown
Continuous geometry,Unknown
Continuum (set theory),Unknown
Continuum hypothesis,Unknown
Continuum mechanics,Unknown
Convex set,Unknown
D. G. Champernowne,Unknown
Daniel Greenberger,Male
Daniel Kahneman,Male
David A. Huffman,Male
David Chalmers,Male
David Eisenbud,Male
David Gale,Male
David Gilbarg,Male
David Hilbert,Male
David K. Levine,Male
David M. Kreps,Male
David Vogan,Male
David van Dantzig,Male
De Morgan's laws,Unknown
Dean Rickles,Male
Deane Montgomery,Unknown
Decoherence,Unknown
Denis Sargan,Male
Dennis Ritchie,Male
Dirac–von Neumann axioms,Unknown
