Name,Gender
Adam Johnson (writer),Male
Alice McDermott,Female
Alice Walker,Female
Andrea Barrett,Female
Anne Enright,Female
Augustus (Williams novel),Male
Berlin Prize,Unknown
Bernard Malamud,Male
Charles Frazier,Male
Charles M. Schulz,Male
Charles R. Johnson,Male
Charles Yu,Male
Charlie Rose (TV series),Male
Collected Stories of William Faulkner,Unknown
Colson Whitehead,Unknown
Colum McCann,Male
Cormac McCarthy,Male
Daniel Craig,Male
David Foster Wallace,Male
Denis Johnson,Male
Don DeLillo,Male
Donald Antrim,Male
Dwight Garner,Male
E. L. Doctorow,Unknown
Ellen Gilchrist,Female
Empire Falls,Unknown
Eudora Welty,Unknown
Fortune Smiles,Unknown
Frank Wedekind,Male
Freedom (Franzen novel),Unknown
Gore Vidal,Male
Ha Jin,Male
Isaac Bashevis Singer,Male
J. F. Powers,Unknown
Jaimy Gordon,Unknown
James Jones (author),Male
James McBride (writer),Male
James Tait Black Memorial Prize,Male
Jason Mott,Male
Jerzy Kosiński,Male
Jesmyn Ward,Unknown
John Barth,Male
John Casey (novelist),Male
John Cheever,Male
John Edward Williams,Male
John Irving,Male
John O'Hara,Male
John Updike,Male
Joyce Carol Oates,Female
Julia Glass,Female
Justin Torres,Male
Karl Kraus (writer),Male
Katherine Anne Porter,Female
Kathryn Schulz,Female
Larry Heinemann,Male
Late Night with Seth Meyers,Unknown
Lily Tuck,Female
Lord of Misrule (novel),Unknown
Louise Erdrich,Female
Margaret Atwood,Female
Mark Leyner,Male
Mary Lee Settle,Female
Michael A. Martone,Male
Michael Chabon,Male
Moe'N'a Lisa,Unknown
Mr. Difficult,Unknown
Mr. Sammler's Planet,Unknown
Nelson Algren,Male
Noah Baumbach,Male
Norman Rush,Male
Oprah's Book Club,Unknown
Oprah Winfrey,Unknown
Pete Dexter,Male
Peter Matthiessen,Male
Phil Klay,Male
Philip Roth,Male
Ralph Ellison,Male
Richard Ford,Male
Richard Powers,Male
Richard Russo,Male
Robert Stone (novelist),Male
Saul Bellow,Male
Scott Rudin,Male
Shirley Hazzard,Female
"Sing, Unburied, Sing",Unknown
Sir David Hare,Unknown
Spartina (novel),Unknown
Stephen King,Male
Susan Choi,Female
Susan Orlean,Female
Susan Sontag,Female
The Collected Stories of Eudora Welty,Female
The Collected Stories of Katherine Anne Porter,Female
The Eighth Day (Wilder novel),Female
The Good Lord Bird,Female
The Hair of Harold Roux,Female
The Late Show with Stephen Colbert,Female
The Mekons,Female
The Stories of John Cheever,Female
The Waters of Kronos,Female
The World According to Garp,Female
Thomas Mann Prize,Male
Thomas Pynchon,Male
Thomas Williams (writer),Male
Thornton Wilder,Unknown
Tim O'Brien (author),Male
Timothy McSweeney's Quarterly Concern,Male
Tom Wolfe,Male
Wallace Stegner,Male
"Webster Groves, Missouri",Male
William Faulkner,Male
William Gaddis,Male
"William Keepers Maxwell, Jr.",Male
William Styron,Male
William T. Vollmann,Male
Wright Morris,Unknown
Template:Jonathan Franzen,Unknown
Template talk:Jonathan Franzen,Unknown
