Name,Gender
Carl Rogers,Male
George Bernard Shaw,Male
Hiroshi Ishiguro,Male
Jan Sokol (philosopher),Male
Josef Jařab,Male
Julia Kristeva,Female
Karl H. Pribram,Male
Konrad Paul Liessmann,Male
Ludwigsfelde,Unknown
Martin Bútora,Male
Mike Cooley (engineer),Male
Miloslav Petrusek,Male
N. David Mermin,Unknown
Petr Vopěnka,Male
Philip Zimbardo,Male
Raymond Kurzweil,Male
Robert Reich,Male
Stanislav Grof,Male
Timothy Snyder,Male
Václav Cílek,Male
Weimar Republic,Unknown
Weizenbaum Award,Unknown
Zdeněk Neubauer,Male
Zygmunt Bauman,Male
