Name,Gender
Adi Shamir,Male
Alan Kay,Male
Alan Perlis,Male
Alfred Aho,Male
Allen Newell,Male
Amir Pnueli,Male
Andrew Yao,Male
Avi Wigderson,Male
Barbara Liskov,Female
Bayesian Network,Unknown
Bnei Brak,Unknown
Butler Lampson,Unknown
Charles Bachman,Male
Charles P. Thacker,Male
Dana Scott,Female
Daniel Pearl,Male
Daniel Pearl Foundation,Male
David Patterson (computer scientist),Male
Dennis Ritchie,Male
Donald Knuth,Male
Douglas Engelbart,Male
E. Allen Emerson,Unknown
Edgar F. Codd,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward Feigenbaum,Male
Edwin Catmull,Male
Fernando J. Corbató,Male
Frances Allen,Female
Fred Brooks,Male
Geoffrey Hinton,Male
Hector Geffner,Male
Herbert A. Simon,Male
Ivan Sutherland,Male
Jack Dongarra,Male
James H. Wilkinson,Male
Jeffrey Ullman,Male
Jim Gray (computer scientist),Male
John Backus,Male
John Cocke (computer scientist),Male
John Hopcroft,Male
John L. Hennessy,Male
John McCarthy (computer scientist),Male
Jonathan Sacks,Male
Joseph Sifakis,Male
Juris Hartmanis,Male
Ken Thompson,Male
Kenneth E. Iverson,Male
Kristen Nygaard,Female
Leonard Adleman,Male
Leslie Lamport,Female
Leslie Valiant,Female
Lex Fridman,Male
Manuel Blum,Male
Martin Hellman,Male
Marvin Minsky,Male
Maurice Wilkes,Male
Michael O. Rabin,Male
Michael Stonebraker,Male
Niklaus Wirth,Male
Pat Hanrahan,Unknown
Peter Naur,Male
Richard E. Stearns,Male
Richard Hamming,Male
Richard M. Karp,Male
Robert Kahn (computer scientist),Male
Robert Metcalfe,Male
Robert Tarjan,Male
Robert W. Floyd,Male
Robin Milner,Male
Ron Rivest,Male
Ruth Pearl,Female
Shafi Goldwasser,Unknown
Silvio Micali,Male
Stephen Cook,Male
Stuart J. Russell,Male
Tim Berners-Lee,Male
Tony Hoare,Male
Vint Cerf,Unknown
Whitfield Diffie,Unknown
William Kahan,Male
Yann LeCun,Male
Yisrael Meir Lau,Male
Yoshua Bengio,Unknown
Template talk:Turing Award laureates,Unknown
