Name,Gender
Aaron Whallon,Male
Abha Bhattarai,Female
Abhay Singh (journalist),Male
Adam Levy (journalist),Male
Adrian Cox (journalist),Male
Alan Murray (journalist),Male
Alex Blumberg,Male
Alistair Barr,Male
Alix M. Freedman,Female
Andrew Garcia Phillips,Male
Andrew Ross Sorkin,Male
Andy Pasztor,Male
Anh Ly,Female
Ann Davis (journalist),Female
Anna Driver,Female
Anne Marie Squeo,Female
Art Lenehan,Male
Ben Protess,Male
Bill Moyers,Male
Bob Ivry,Male
Brian Boyer (journalist),Male
Brian Grow,Male
Brooke Williams (journalist),Female
Bryan Burrough,Male
Cara Lombardo,Female
Carol Remond,Female
Carrick Mollenkamp,Male
Charles Duhigg,Male
Cheyene Ligon,Unknown
Chris Adams (journalist),Male
Chris Roush,Male
Christina Tsuei,Female
Christopher Weaver (journalist),Male
Christopher Yasiejko,Male
Craig Newmark,Male
Cynthia Johnston (journalist),Female
Dana Mattioli,Female
Daniel Golden,Male
Daniel Hertzberg,Male
Dave Cole (journalist),Male
David Barboza,Male
David Evans (journalist),Male
David Pogue,Male
David Reilly (journalist),Male
David Sheppard (journalist),Male
David Zahniser,Male
Deborah Solomon,Female
Deepa Seetharaman,Female
Diana B. Henriques,Female
Elizabeth Daza,Female
Ellen E. Schultz,Female
Emily Glazer,Female
Eric Lipton,Male
Felix Salmon,Male
Frank Bass (journalist),Male
Gary Rivlin,Male
Gary Soulsman,Male
Gavin Finch,Male
Geeta Anand,Female
Georgia Wells,Female
Gerald Loeb Award,Male
Gerald Loeb Award winners for Deadline and Beat Reporting,Male
"Gerald Loeb Award winners for News Service, Online, and Blogging",Male
Geraldine Fabrikant,Female
Gmail,Unknown
Greg Gordon,Male
Gregory Zuckerman,Male
Gretchen Morgenson,Female
Henny Sender,Female
Ian Allison (journalist),Male
Ianthe Jeanne Dugan,Unknown
Ivan Penn,Male
J. Lynn Lunsford,Unknown
Jacob Goldstein,Male
James B. Stewart,Male
Janet Roberts,Female
Jared Sandberg (journalist),Male
Je Larson,Unknown
Jeanine Prezioso,Female
Jeff Horwitz,Male
Jeff Montgomery (journalist),Male
Jenn Abelson,Female
Jennifer Valentino-DeVries,Female
Jill Kirschenbaum,Female
Joe Farro,Male
Joe Fox (journalist),Male
John Carreyrou,Male
John D. and Catherine T. MacArthur Foundation,Male
John Emshwiller,Male
John Fauber,Male
John Hechinger,Male
John Helyar,Male
John Lauerman,Male
John Markoff,Male
John S. and James L. Knight Foundation,Male
John Shiffman,Male
Jon D. Markman,Male
Jon Keegan,Male
Jonathan Berr,Male
Joseph B. White,Male
Joshua Davis (journalist),Male
Joshua Schneyer,Male
Jovi Juan,Unknown
Judi Hasson,Female
Justin Scheck,Male
Kainaz Amaria,Unknown
Kara Swisher,Female
Kate Kelly (journalist),Female
Katherine Blunt,Female
Kathleen M. Howley,Female
Kathryn Harris,Female
Kelly Carr,Female
Ken Bensinger,Male
Kevin G. Hall,Male
Kimberly Kindy,Female
Kirkus Reviews,Unknown
Larry Margasak,Male
Laura Jereski,Female
Laura Landro,Female
Lauren Barack,Female
Laurence Fletcher,Female
Lawrence Messina,Male
Len De Groot,Male
Lewis Kamb,Male
Liam Vaughan,Male
Luladey B. Tadesse,Unknown
Madeleine Varner,Female
Mark Baumgartner,Male
Mark Maremont,Male
Mark Pittman,Male
Martin Z. Braun,Male
Matthew Bigg,Male
Maureen Milford,Female
Meryl Kornfield,Female
Michael Siconolfi,Male
Michele Besso (journalist),Female
Mike Baker (American journalist),Male
Nabiha Syed,Female
Nanette Byrnes,Female
Neha Sharma,Female
Neil Barsky,Male
Neil King Jr.,Male
Neil Roland,Male
Newley Purnell,Unknown
Nicholas Confessore,Male
Nick Baker (journalist),Male
Nicole Dungca,Female
Noam Scheiber,Male
Palani Kumanan,Unknown
Paul Antonson,Male
Paul Ingrassia,Male
Paul Richter (journalist),Male
Peggy Collins,Female
Peter Bothum,Male
Peter Eisler,Male
Peter Gosselin,Male
Peter Robison,Male
Rachel Elson,Female
Ralph Vartabedian,Male
Rebecca Blumenstein,Female
Rebecca Smith (journalist),Female
Renée Rigdon,Female
Richard Conniff,Male
Rick Rothacker,Male
Robert J. Cole,Male
Robert Klemko,Male
Robin Brown (American journalist),Male
Rupert Murdoch,Male
Russell Gold,Male
Russell Hubbard,Male
Sam Kessler,Male
Sam Reynolds (journalist),Male
Sam Schechner,Male
Sara Ledwith,Female
Sarah Slobin,Female
Scott Thurm,Male
Sean Enzwiler,Male
Serena Ng,Female
Shawn Young,Male
Stephen Labaton,Male
Steve Lohr,Male
Steve Miletich,Male
Steven Church (journalist),Male
Sue Gardner,Female
Suein L. Hwang,Unknown
Susan McGregor,Female
Susan Pulliam,Female
Susanne Craig,Female
Suzanne McGee,Female
Taylor Telford,Male
Ted Griffith,Male
The Markup,Female
Theo Francis,Male
Thomas Petzinger Jr.,Male
Tom Bergin (journalist),Male
Tom McGinty,Male
Tracy Wang,Female
Wes Lindamood,Male
William Selway,Male
Yaryna Serkez,Unknown
