Name,Gender
Alexander Klibanov (chemist),Male
Anders Sandberg,Male
Anthropic Bias (book),Unknown
Aubrey de Grey,Unknown
Baldr Sky,Unknown
Ben Goertzel,Male
Bibcode (identifier),Unknown
Bill Joy,Male
Carlo Montemagno,Male
Christine Peterson,Female
Dan Hendrycks,Male
David Gobel,Male
David Pearce (transhumanist),Male
Eliezer Yudkowsky,Male
Frank Wilczek,Male
Gennady Stolyarov II,Male
Geoffrey Hinton,Male
Gerard K. O'Neill,Male
Hans Moravec,Male
Jaan Tallinn,Male
James C. Bennett,Male
James Hughes (sociologist),Male
James Rollins,Male
José Luis Cordeiro,Male
Julian Huxley,Male
Keith Henson,Male
Ken MacLeod,Male
MIT License,Unknown
Mark Alan Walker,Male
Martin Rees,Male
Martine Rothblatt,Female
Marvin Minsky,Male
Max More,Male
Max Tegmark,Male
Nanomedicine,Unknown
Natasha Vita-More,Female
Neal Stephenson,Male
Nick Bostrom,Male
Nikolai Fyodorovich Fyodorov,Male
Ole Martin Moen,Male
Paul Christiano (researcher),Male
Ralph Merkle,Male
Ray Kurzweil,Male
Richard Feynman,Male
Richard Smalley,Male
Robert Freitas,Male
Robin Hanson,Male
Roman Yampolskiy,Male
Sam Altman,Male
Sam Harris,Male
Stephen Hawking,Male
Steve Omohundro,Male
Stuart J. Russell,Male
Timothy Leary,Male
Toby Ord,Male
Yoshua Bengio,Unknown
Yuval Harari,Male
Zoltan Istvan,Unknown
