Name,Gender
Ali Baba (ride),Male
Allan Herschell Company,Male
Anton Schwarzkopf,Male
Booster (HUSS ride),Unknown
Chance Morgan,Male
Charles I. D. Looff,Male
Cobot,Unknown
D. H. Morgan Manufacturing,Unknown
Drop tower,Unknown
Dynamic Structures,Unknown
Ferris wheel,Male
Fire Ball,Unknown
Frederick Church (engineer),Male
George Washington Gale Ferris Jr.,Male
Harry C. Baker,Male
Harry Potter and the Forbidden Journey,Male
Harry Traver,Male
Helter skelter (ride),Unknown
Herbert Schmeck,Male
Jason Surrell,Male
John A. Miller,Male
John C. Allen,Male
John Wardley,Male
Jora Vision,Female
Jump and Smile,Unknown
KUKA (FM),Unknown
KUKA Robotics,Unknown
Keith Sparks,Male
Kuka (disambiguation),Unknown
"Lake Buena Vista, Florida",Unknown
Lee Eyerly,Male
Old Mill (ride),Unknown
Polin Waterparks,Male
Ron Toomer,Male
Ronald Bussink,Male
Sally Corporation,Female
Scrambler (ride),Unknown
Sky Swatter,Female
SpaceX,Unknown
Space Shot (ride),Unknown
The Da Vinci Code (film),Female
Timo Boll,Male
Tony Baxter,Male
Top Spin (ride),Unknown
Turbo Drop,Unknown
US Thrill Rides,Unknown
Vernon Keenan (coaster designer),Male
Waltzer,Unknown
Werner Stengel,Male
William F. Mangels,Male
Zamperla,Unknown
