Name,Gender
1931 Čapek,Unknown
Abraham,Male
Adam Roberts (British writer),Male
Alexander the Great,Male
Arthur Miller,Male
Catbird Press,Unknown
Darko Suvin,Male
Don Juan,Male
Gestapo,Unknown
Hradec Králové,Unknown
Ivan Klíma,Male
Ivan Margolius,Male
James Sallis,Male
Jan Masaryk,Male
Jaroslav Hašek,Male
John Carey (critic),Male
Josef Čapek,Male
"Kana Garden (Hiratsuka, Japan)",Female
Leoš Janáček,Male
Libretto,Unknown
Luboš Kohoutek,Male
M. and R. Weatherall,Unknown
Mahiro Maeda,Unknown
Malé Svatoňovice,Unknown
Olga Scheinpflugová,Female
Peter Kussi,Male
Project Gutenberg,Unknown
R.U.R. (Rossum's Universal Robots),Unknown
Richard E. Pattis,Male
Sarah,Female
Sodom and Gomorrah,Unknown
Springer Berlin Heidelberg,Unknown
The Makropulos Affair,Female
The Mother (Čapek play),Female
Tomáš Garrigue Masaryk,Male
Vyšehrad Cemetery,Unknown
Zdeněk Folprecht (composer),Male
Template:Karel Čapek,Unknown
Template talk:Karel Čapek,Unknown
