Name,Gender
Adolphe Quetelet,Male
Albert Einstein,Male
Albert Jay Nock,Male
Alexander Sergeevich Serebrovsky,Male
Alexander Winchell,Male
Alexis Carrel,Male
Aleš Hrdlička,Male
Alfred North Whitehead,Male
Alfred Ploetz,Male
Alfred Rosenberg,Male
Alice Lee (mathematician),Female
Alice Mossie Brues,Female
Amy Barrington,Female
Anténor Firmin,Unknown
Ashley Montagu,Female
August Weismann,Male
Auguste Bravais,Male
Aurelio José Figueredo,Male
Ball (mathematics),Unknown
Bas van Fraassen,Male
Beatrice Mabel Cave-Browne-Cave,Female
Benjamin Rush,Male
Bertil Lundman,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Biometrika,Unknown
Bronze (racial classification),Unknown
Brown (racial classification),Unknown
Buck v. Bell,Male
C. D. Broad,Unknown
C. D. Darlington,Unknown
C. Nash Herndon,Unknown
Calvin Ira Kephart,Male
Carl Brigham,Male
Carl Gustav Hempel,Male
Carl Linnaeus,Male
Carleton S. Coon,Male
Carlos Blacker,Male
Cedric Carter,Male
Cesare Lombroso,Male
Charles Caldwell (physician),Male
Charles Darwin,Male
Charles Davenport,Male
Charles Gabriel Seligman,Male
Charles Murray (political scientist),Male
Charles Pickering (naturalist),Male
Charles Sanders Peirce,Male
Chi-square distribution,Unknown
Christoph Meiners,Male
Churchill Eisenhart,Unknown
Civilized Man's Eight Deadly Sins,Unknown
"Coldharbour, Surrey",Unknown
Daniel Garrison Brinton,Male
Daniel Vining Jr.,Male
Darwin Medal,Male
David Coleman (demographer),Male
David Hume,Male
David Starr Jordan,Male
Demographic engineering,Unknown
Diana Fleischman,Female
Dinaric race,Unknown
Doe ex. rel. Tarlow v. District of Columbia,Unknown
Dominick McCausland,Male
Dwight Ingle,Male
Earnest Hooton,Male
Edmund F. Robertson,Male
Edward Alsworth Ross,Male
Edward M. Miller,Male
Edward Thorndike,Male
Egon Freiherr von Eickstedt,Male
Eliot Slater,Male
Elmer Ernest Southard,Male
Elmer Pendell,Male
Emil Kraepelin,Male
Erasmus Darwin,Male
Ernst Haeckel,Male
Erwin Baur,Male
Ethel Elderton,Female
Ethel M. Elderton,Female
Eusebio Hernández Pérez,Male
F. W. Taussig,Unknown
Felix von Luschan,Male
Ferdinand Lassalle,Male
Francis Bacon,Male
Francis Galton,Male
Francisc Rainer,Male
Franz Boas,Male
Franz Josef Kallmann,Male
François Bernier,Male
Frederick Ludwig Hoffman,Male
Frederick Osborn,Male
Frida Laski,Female
Fritz Lenz,Male
Garrett Hardin,Male
Geoffrey Miller (psychologist),Male
George Bernard Shaw,Male
George Gliddon,Male
George Pitt-Rivers,Male
"Georges-Louis Leclerc, Comte de Buffon",Unknown
Georges Cuvier,Male
Georges Vacher de Lapouge,Male
Giuseppe Sergi,Male
Gresham College,Unknown
Gresham Professor of Geometry,Unknown
Gustaf Retzius,Male
Guy Medal,Male
Halfdan Bryn,Male
Hans F. K. Günther,Male
Hans Reichenbach,Male
Harry L. Shapiro,Male
He Jiankui genome editing incident,Unknown
Heinrich Schmidt (philosopher),Male
Henri Poincaré,Male
Henric Sanielevici,Male
Henry Farnham Perkins,Male
Henry Garrett (psychologist),Male
Herbert Spencer,Male
Herbert Spencer Jennings,Male
Hermann Joseph Muller,Male
Houston Stewart Chamberlain,Male
Ian Hacking,Male
Imre Lakatos,Male
Inner Temple,Unknown
Isaac La Peyrère,Male
Isaac Newton,Male
Isaac Todhunter,Male
J. B. S. Haldane,Unknown
Jack London,Male
James Cowles Prichard,Male
James W. Tankard Jr.,Male
Jan Czekanowski,Male
Jean Rostand,Male
Jerzy Neyman,Male
Johan Scharffenberg,Male
Johann Friedrich Blumenbach,Male
John Baker (biologist),Male
John Beddoe,Male
John Glad,Male
John Grattan (naturalist),Male
John H. Van Evrie,Male
John M. MacEachran,Male
John Mitchell (geographer),Male
John Wishart (statistician),Male
Jon Alfred Mjøen,Male
Joseph Deniker,Male
Joshua Lederberg,Male
Josiah C. Nott,Male
Julian Huxley,Male
Julian Savulescu,Male
Juliano Moreira,Male
Jus trium liberorum,Unknown
Kang Youwei,Unknown
Karl Evang,Male
Karl Marx,Male
Karl Pearson (cricketer),Male
Karl Popper,Male
Konrad Lorenz,Male
Larry Laudan,Male
Lene Koch,Female
Leonard Darwin,Male
Lewis H. Morgan,Male
Lewis Terman,Male
Louis Agassiz,Male
Ludwig Hermann Plate,Male
Luther Burbank,Male
Madrigal v. Quilligan,Unknown
Maurice Solovine,Male
Max Nordau,Male
Max von Gruber,Male
Michael F. Guyer,Male
Michael Polanyi,Male
Mill's Methods,Unknown
Morris Steggerda,Male
Negrito,Unknown
Nicholas Agar,Male
Nicholas Georgescu-Roegen,Male
Noah Carl,Male
Oscar Peschel,Male
Otmar Freiherr von Verschuer,Male
Otto Neurath,Male
Otto Reche,Male
Pan Guangdan,Unknown
Paul Broca,Male
Paul Popenoe,Male
Paul Topinard,Male
Paul du Bois-Reymond,Male
Peter Sloterdijk,Male
Philip Hall,Male
Pierre Duhem,Male
Poe v. Lynchburg Training School & Hospital,Unknown
Raymond Cattell,Male
Raymond Cattell bibliography,Male
Redskin,Unknown
Reginald Ruggles Gates,Male
Renato Biasutti,Male
Richard Hanania,Male
Richard Lynn,Male
Robert Bennett Bean,Male
Robert DeCourcy Ward,Male
Robert E. Kuttner,Male
Robert Knox (surgeon),Male
Robert Yerkes,Male
Roger Bacon,Male
Roger Pearson (anthropologist),Male
Ronald Fisher,Male
Ronald Fisher bibliography,Male
Rudolf Carnap,Male
Rudolf Goldscheid,Male
Rudolf Steiner,Male
Samuel A. Cartwright,Male
Samuel George Morton,Male
Samuel Jackson Holmes,Male
Samuel Stanhope Smith,Male
Selective Breeding and the Birth of Philosophy,Unknown
Seymour Itzkoff,Male
Skinner v. Oklahoma,Unknown
Sonia Mary Cole,Female
Stanley Marion Garn,Male
Stump v. Sparkman,Unknown
Theodore Porter,Male
Thomas Griffith Taylor,Male
Thomas Henry Huxley,Male
Thomas Kuhn,Male
Traian Herseni,Male
Volkmar Weiss,Male
Walter Frank Raphael Weldon,Male
Watson Kirkconnell,Unknown
Weldon Memorial Prize,Male
Wilhelm Schallmayer,Male
Wilhelm Windelband,Male
Wilhelmine Key,Female
Willard Van Orman Quine,Male
William B. Munro,Male
William B. Provine,Male
William Bateson,Male
