Name,Gender
Alex Jacob,Male
Alex Trebek,Male
Amy Schneider,Female
Art Fleming,Male
Arthur Chu,Male
Arthur Phillips,Male
Barbara Walters,Female
Barbara Walters' 10 Most Fascinating People,Female
Bob Harris (writer),Male
Brad Rutter,Male
Brandon Sanderson,Male
Buzzy Cohen,Unknown
Carson Kressley,Male
Charles Scribner's Sons,Male
Chuck Forrest,Male
Chuck Schumer,Male
Cingular Wireless,Unknown
Colby Burnett,Male
Comedy Central,Unknown
David Madden (Jeopardy! contestant),Male
Donald Trump,Male
Doug Benson,Male
Frank Spangenberg,Male
Grammy Award for Best Spoken Word Album,Unknown
Harry Reid,Male
"Holladay, Utah",Unknown
Hutton Gibson,Unknown
Jackie Fox,Unknown
James Holzhauer,Male
Jay Wolpert,Male
Jerome Vered,Male
John Roderick (musician),Male
Johnny Gilbert,Male
Jonathan Groff (writer),Male
Julia Collins (Jeopardy! contestant),Female
Karl Coryat,Male
Kathy Griffin,Female
Ken Jennings (disambiguation),Male
Larissa Kelly,Female
Late Show with David Letterman,Unknown
Live with Regis and Kelly,Unknown
Marie (talk show),Female
Mario Cantone,Male
Mark Labbett,Male
Mark Lowenthal,Male
Martin Gardner,Male
Master Minds (game show),Unknown
Matt Amodio,Male
Matt Jackson (Jeopardy! contestant),Male
Mattea Roach,Female
Mayim Bialik,Unknown
Michael Davies (television producer),Male
Mike Richards (television personality),Male
Paul Paquet,Male
Rebecca Cokley,Female
Richard Cordray,Male
Roger Craig (Jeopardy! contestant),Male
Rookie,Unknown
Ross Mathews,Male
Sara Haines,Female
Six Degrees of Kevin Bacon,Unknown
TED (conference),Unknown
Vanna White,Female
Victoria Groce,Female
Villard (imprint),Unknown
Watson (computer),Unknown
What Is... Cliff Clavin?,Unknown
Writers Guild of America,Unknown
