Name,Gender
Alan Turing,Male
Albert Einstein,Male
Alexander Bogdanov,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Ananova,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Arthur Bostrom,Male
Barbara J. Grosz,Female
Beckman Fellow,Unknown
Bernard Price Memorial Lecture,Male
Blue Peter,Unknown
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Charles A. S. Hall,Male
Charles François (systems scientist),Male
Charles Stross,Male
Claude Bernard,Male
Claude Shannon,Male
Cleo Rocos,Female
Colin Powell,Male
Donella Meadows,Female
Douglas Engelbart,Male
Edsger W. Dijkstra,Unknown
Edward Boyden,Male
Edward Norton Lorenz,Male
Ellison–Cliffe Lecture,Unknown
Eric Trist,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Eugene Goostman,Male
Faina Mihajlovna Kirillova,Female
Faith Salie,Female
Francis Heylighen,Male
Francisco Varela,Male
Fred Emery,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Dantzig,Male
George Klir,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hamilton institute,Male
Heinz von Foerster,Male
How William Shatner Changed the World,Unknown
Howard T. Odum,Male
Hugh Cairns (surgeon),Male
Hugh Herr,Male
Humberto Maturana,Male
I. A. Richards,Unknown
IET Mountbatten Medal,Unknown
Igor Aleksander,Male
J. C. R. Licklider,Unknown
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
Jim'll Fix It,Unknown
Jimmy Savile,Male
John N. Warfield,Male
John Radcliffe Hospital,Male
John Seddon,Male
John Stein (physiologist),Male
John Westcott,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Late Night with Conan O'Brien,Unknown
Lawrence Sheriff School,Male
Leslie Oliver Oration,Female
Libby Purves,Female
Loebner Prize,Unknown
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Marcellin Champagnat,Male
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mark Gasson,Male
Mary Cartwright,Female
Mary McDonnell,Female
Matt Nagle,Male
Merlin Donald,Female
Michael Buerk,Male
Microelectrode array,Unknown
Midweek (BBC Radio 4),Unknown
Miguel Nicolelis,Male
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Mike Masnick,Male
Mountbatten Medal,Unknown
Murray Bowen,Male
N. Katherine Hayles,Unknown
Nick Bostrom,Male
Niklas Luhmann,Male
Norbert Wiener,Male
Paul B. Baltes Lecture,Male
Peter Kyberd,Male
Peter Senge,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Rachael Stirling,Female
Radcliffe Infirmary,Unknown
Radhika Nagpal,Female
Ranulph Glanville,Unknown
Ray Kurzweil,Male
Richard & Judy,Male
Richard E. Bellman,Male
Robert Boyle Lecture,Male
Robert Gordon University,Male
Robert Hooke,Male
Robert Llewellyn,Male
Robert Trappl,Male
Roger Bannister,Male
Rollo Carpenter,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Simon Colton,Male
Stafford Beer,Male
Stephanie Forrest,Female
Steve Mann (inventor),Male
Stevie Wonder,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Telepathy,Unknown
Tim Cannon,Male
Tipu Aziz,Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
William Ross Ashby,Male
William Shatner,Male
Woolmer Lecture,Unknown
Yoky Matsuoka,Unknown
