Name,Gender
Alfred North Whitehead,Male
Bas van Fraassen,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Charles Sanders Peirce,Male
David Hume,Male
Francis Bacon,Male
Gary Gutting,Male
Hans Reichenbach,Male
Henri Poincaré,Male
Ian Hacking,Male
Imre Lakatos,Male
Isaac Newton,Male
James T. Cushing,Male
Karl Pearson,Male
Karl Popper,Male
Michael Polanyi,Male
Mill's Methods,Unknown
Otto Neurath,Male
Peter Godfrey-Smith,Male
Pierre Duhem,Male
Rachel Laudan,Female
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Thomas Kuhn,Male
Virginia Tech,Female
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
