Name,Gender
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Allen Newell,Male
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Baichuan,Unknown
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
C++,Unknown
Chinchilla (language model),Unknown
Chinchilla AI,Unknown
Claude (language model),Male
Claude Shannon,Male
David Silver (computer scientist),Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPLv3,Unknown
GPT-4,Unknown
Geoffrey Hinton,Male
Grok (chatbot),Unknown
Herbert A. Simon,Male
Ian Goodfellow,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Joseph Weizenbaum,Male
Justine Tunney,Female
Jürgen Schmidhuber,Male
Library Genesis,Unknown
Lotfi A. Zadeh,Male
Marvin Minsky,Male
MiniMax (company),Unknown
Moonshot AI,Unknown
Nathaniel Rochester (computer scientist),Male
Oliver Selfridge,Male
Paul Werbos,Male
Project Gutenberg,Unknown
Qwen,Unknown
Richard Kadrey,Male
Seymour Papert,Male
Simon Willison,Male
Stephen Grossberg,Male
Suno AI,Unknown
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
École Polytechnique Fédérale de Lausanne,Unknown
