Name,Gender
A. Stephen Morse,Unknown
A. V. Balakrishnan,Unknown
Abbas El Gamal,Male
Abraham Lempel,Male
Abu al-Wafa' Buzjani,Male
Al-Biruni,Unknown
Al-Isfahani,Unknown
Al-Isfizari,Unknown
Al-Kashi's theorem,Unknown
Al-Khwarizmi,Unknown
Al-Mahani,Unknown
Al-Nayrizi,Unknown
Al-jabr,Unknown
Alan V. Oppenheim,Male
Albert G. Lee,Male
Albert H. Taylor,Male
Albert Hull,Male
Aldert van der Ziel,Unknown
Alexander G. Fraser,Male
Alfred Norton Goldsmith,Male
Alfred Y. Cho,Male
Allen Newell,Male
Amin Shokrollahi,Male
Amir Ali Ahmadi,Male
"Amos E. Joel, Jr.",Male
Andrew Grove,Male
Andrew S. Tanenbaum,Male
Andrew Viterbi,Male
Andries van Dam,Male
Arthur E. Bryson,Male
Arthur Edwin Kennelly,Male
Ayn al-Quzat Hamadani,Female
Azertac,Unknown
B. Jayant Baliga,Unknown
B. R. Teare Jr.,Unknown
Balthasar van der Pol,Male
Ben G. Streetman,Male
Bradford W. Parkinson,Male
Brian Anderson (academic),Male
C. Kumar Patel,Unknown
Calvin Quate,Male
Caucher Birkar,Unknown
Charles A. Desoer,Male
Charles Concordia,Male
Charles Desoer,Male
Charles H. Townes,Male
Charles Stark Draper,Male
Chenming Hu,Unknown
Chung Laung Liu,Unknown
Claude Berrou,Male
Claude Elwood Shannon,Male
Cynthia Dwork,Female
Dartmouth Workshop,Unknown
David A. Hodges,Male
David A. Huffman,Male
David D. Clark,Male
David Patterson (computer scientist),Male
David Tse,Male
Delores M. Etter,Female
Dennis Gabor,Male
Dennis Ritchie,Male
Didier Dubois (mathematician),Male
Dimitri Bertsekas,Male
Donald Pederson,Male
Dragoslav D. Šiljak,Male
Ebadollah S. Mahmoodian,Unknown
Edward C. Jordan,Male
Edward Ginzton,Male
Edwin H. Armstrong,Male
Eliahu I. Jury,Male
Elmer G. Gilbert,Male
Elwyn Berlekamp,Male
Emory Leon Chaffee,Male
Erdal Arıkan,Male
Eringen Medal,Unknown
Ernest S. Kuh,Male
Ernst Alexanderson,Male
Ernst Guillemin,Male
Ernst Weber (engineer),Male
Esmail Babolian,Male
Farideh Firoozbakht,Female
Fawwaz T. Ulaby,Male
Frank Kschischang,Male
Franz Ollendorff,Male
Frederick Terman,Male
"G. David Forney, Jr.",Unknown
Galip Ulsoy,Male
Gene F. Franklin,Male
George Ashley Campbell,Male
George C. Southworth,Male
George F. Corcoran,Male
George H. Heilmeier,Male
George Leitmann,Male
George W. Pierce,Male
Gholamhossein Mosaheb,Unknown
Gordon K. Teal,Male
Gordon Moore,Male
Gordon S. Brown,Male
Greenleaf Whittier Pickard,Unknown
Guglielmo Marconi,Male
Gustave A. Ferrie,Male
H. Earle Vaughan,Unknown
Hamid Naderi Yeganeh,Male
Haraden Pratt,Unknown
Harald T. Friis,Male
Harold A. Peterson,Male
Harold A. Wheeler,Male
Harold Chestnut,Male
Harold H. Beverage,Male
Harold J. Kushner,Male
Harry Nyquist,Male
Hendrik Wade Bode,Male
Herbert A. Simon,Male
Herbert Kroemer,Male
Hermann A. Haus,Male
Herwig Kogelnik,Male
Honorary Doctorate,Unknown
Hossein Zakeri,Male
Hugh H. Skilling,Male
IEEE James H. Mulligan Jr. Education Medal,Unknown
IEEE Richard W. Hamming Medal,Unknown
Iranian Azerbaijanis,Unknown
Irving Lefkowitz,Male
Irving S. Reed,Male
Irwin M. Jacobs,Male
J. David Irwin,Unknown
J. F. Calvert,Unknown
Jack Kilby,Male
Jack Wolf,Male
Jacob Millman,Male
Jacob Ziv,Male
James D. Meindl,Male
James F. Gibbons,Male
James Flanagan (engineer),Male
Jamshid al-Kashi,Male
Jason Speyer,Male
Jay W. Forester,Male
John Ambrose Fleming,Male
John Asimakopoulos,Male
John Baras,Male
John Bardeen,Male
John C. Lozier,Male
John G. Linvill,Male
John G. Proakis,Male
John G. Truxal,Male
John G. Webster,Male
John H. Dellinger,Male
John Hays Hammond Jr.,Male
John L. Hennessy,Male
John Milton Miller,Male
John R. Ragazzini,Male
John Robinson Pierce,Male
John Roy Whinnery,Male
John Simon Guggenheim Foundation,Male
John Stone Stone,Male
John Tukey,Male
John V. Breakwell,Male
John V. L. Hogan,Male
John Yen,Male
John Zaborszky,Male
Jonathan Zenneck,Male
Jorma Rissanen,Male
Jose B. Cruz Jr.,Male
Joseph Bordogna,Male
Joseph Goguen,Male
Joseph W. Goodman,Male
Karl Johan Åström,Male
Kees Schouhamer Immink,Male
Ken Thompson,Male
Kumpati S. Narendra,Unknown
Kurt Petersen (inventor),Male
Kushyar Gilani,Unknown
LCCN (identifier),Unknown
Lawrence C. F. Horle,Male
Lee De Forest,Male
Lloyd Espenschied,Male
Louis W. Austin,Male
Mac Van Valkenburg,Male
Manfred Morari,Male
Mark Semenovich Pinsker,Male
Martin Hellman,Male
Masayoshi Tomizuka,Male
Melville Eastham,Unknown
Michael Athans,Male
Michael I. Pupin,Male
Michael Luby,Male
Mildred Dresselhaus,Female
Miroslav Krstić,Male
Mischa Schwartz,Male
Mohammad Mehdi Zahedi,Male
Mohsen Hashtroodi,Male
Morris Chang,Male
Muhammad Baqir Yazdi,Male
Najm al-Din al-Qazwini al-Katibi,Unknown
Nasir al-Din al-Tusi,Male
Nathaniel B. Nichols,Male
Neil Sloane,Male
Neuro-fuzzy,Unknown
Nick Holonyak,Male
Nicolaas Bloembergen,Male
Nizam al-Din al-Nisapuri,Male
Norman F. Ramsey,Male
Norman Zada,Male
Omar Khayyam,Male
Paul Lauterbur,Male
Paul R. Gray,Male
Petar V. Kokotovic,Male
Peter Elias,Male
Peter Franaszek,Male
Ralph Bown,Male
Ralph Hartley,Male
Ralph Merkle,Male
Ramin Takloo-Bighash,Male
Randy Katz,Male
Raymond W. Yeung,Male
Reginald Aubrey Fessenden,Male
Reza Sarhangi,Male
Richard B. Adler,Male
Richard Baraniuk,Male
Richard Bellman,Male
Richard E. Bellman,Male
Richard E. Bellman Control Heritage Award,Male
Richard Hamming,Male
Robert Calderbank,Male
Robert Fano,Male
Robert G. Gallager,Male
Robert H. Dennard,Male
Robert Metcalfe,Male
Robert Noyce,Male
Roger W. Brockett,Male
Ronald A. Rohrer,Male
Ronald W. Schafer,Male
Rudolf E. Kálmán,Male
Rudolf Kalman,Male
Rudolf Kompfner,Male
Rutherford Aris,Unknown
Rüdiger Urbanke,Male
S. L. Hakimi,Unknown
Sanjit K. Mitra,Unknown
Sanjoy K. Mitter,Unknown
Sara Zahedi,Female
Shlomo Shamai,Male
Siamak Yassemi,Unknown
Sidney Darlington,Male
Simon Haykin,Male
Solomon W. Golomb,Male
Stanford C. Hooper,Male
Stephen P. Boyd,Male
Stephen W. Director,Male
Tadahiro Sekimoto,Male
Thomas F. Edgar,Male
Thomas Kailath,Male
Thomas M. Cover,Male
Toby Berger,Male
Vincent Poor,Male
Vladimir Levenshtein,Male
Vladimir Zworykin,Male
W. Harmon Ray,Unknown
Walter R. Evans,Male
Walter Ransom Gail Baker,Male
Whitfield Diffie,Unknown
William Gould Dow,Male
William H. Huggins,Male
William Littell Everitt,Male
William Shockley,Male
William Wilson (physicist),Male
Yaakov Ziv,Male
Yasuharu Suematsu,Male
Yu-Chi Ho,Unknown
Template:IEEE James H. Mulligan Jr. Education Medal,Unknown
Template:Richard E. Bellman Control Heritage Award,Unknown
Template:Richard W. Hamming Medal recipients,Unknown
Template talk:IEEE James H. Mulligan Jr. Education Medal,Unknown
Template talk:Richard E. Bellman Control Heritage Award,Unknown
Template talk:Richard W. Hamming Medal recipients,Unknown
