Name,Gender
A. C. Grayling,Unknown
A. J. Ayer,Unknown
Adolf Hitler,Male
Akio Morita,Male
Alan Turing,Male
Alan Turing: The Enigma,Male
Albert Einstein,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Fleming,Male
Alexander Pruss,Male
Alexander Waugh,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Ambrose,Female
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Amadeo Giannini,Male
Andrei Sakharov,Male
Andrew Carnegie,Male
Andrew Hodges,Male
Andy Clark,Male
Anil Gupta (philosopher),Male
Anne Frank,Female
Anthony Gottlieb,Male
Anthony Kenny,Male
Apostolos Doxiadis,Male
Aretha Franklin,Female
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Arthur Schuster,Male
Ashkenazi Jewish,Unknown
Augustine of Hippo,Female
Augustus De Morgan,Male
Austro-Hungarian krone,Unknown
Barry Stroud,Male
Bart Simpson,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Bolzano,Male
Bernard Williams,Male
Bertrand Russell,Male
Bill Gates,Male
Bill W.,Male
Billy Graham,Male
Bob Dylan,Male
Brahms,Unknown
Brian McGuinness,Male
Brigitte Hamann,Female
Bruce Duffy,Male
Bruce Lee,Male
Bruno Walter,Male
C. D. Broad,Unknown
C. K. Ogden,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Darwin,Male
Charles E. Merrill,Male
Charles Kay Ogden,Male
Charles Lindbergh,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Charlie Chaplin,Male
Che Guevara,Unknown
Chesapeake Bay,Unknown
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Christos Papadimitriou,Male
Chrysippus,Unknown
Claude Lancelot,Male
Coco Chanel,Female
Colin McGinn,Male
Cora Diamond,Female
Cressida Heyes,Unknown
Crispin Wright,Male
D. Z. Phillips,Unknown
Dale Jacquette,Male
Daniel Dennett,Male
David Ben-Gurion,Male
David Chalmers,Male
David Edmonds (philosopher),Male
David Foster Wallace,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Markson,Male
David Pears,Male
David Pinsent,Male
David Sarnoff,Male
De Morgan's laws,Unknown
Derek Jarman,Male
Derek Parfit,Male
Dewi Zephaniah Phillips,Female
"Diana, Princess of Wales",Unknown
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Doppler effect,Unknown
Duncan Pritchard,Male
E. L. Doctorow,Unknown
Edmund Gettier,Male
Edmund Hillary,Male
Edmund Husserl,Male
Edward N. Zalta,Male
Edward Sapir,Male
Edward Vaughan Bevan,Male
Edwin Hubble,Male
Eleanor Roosevelt,Female
Elizabeth Anscombe,Female
Elli Lambridi,Female
Erasmus Darwin Barlow,Male
Eric Harold Neville,Male
Ernest Gellner,Male
Ernest Nagel,Male
Ernest Sosa,Male
Ernst Mach,Male
Ernst Schröder (mathematician),Male
Estée Lauder (businesswoman),Unknown
Francis Crick,Male
Francis Skinner,Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Frank Sinatra,Male
Franklin D. Roosevelt,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Freeman Dyson,Male
Friedrich Hayek,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
G. H. von Wright,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Boole,Male
George Pitcher (philosopher),Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giuseppe Peano,Male
Glossop,Unknown
Gordon Baker,Male
Gordon Park Baker,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Gustav Klimt,Male
Gustav Mahler,Male
Hans-Johann Glock,Unknown
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Hans Sluga,Male
Harold Arthur Prichard,Male
Harvey Milk,Male
Haus Wittgenstein,Unknown
Helen Keller,Female
Henri Bergson,Male
Henry Ford,Male
Henry M. Sheffer,Male
Herbert Feigl,Male
Hermann Lotze,Male
Hilary Kornblith,Female
Ho Chi Minh,Male
Howitzer,Unknown
Hugh MacColl,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Iris Murdoch,Female
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jackie Robinson,Unknown
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James Joyce,Male
James Pryor,Male
James Tully (philosopher),Male
James Watson,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Piaget,Male
Jerry Fodor,Male
Jesmond,Male
Jesús Padilla Gálvez,Male
Jim Henson,Male
Jim Holt (philosopher),Male
Johann Gottfried Herder,Male
Johann Wolfgang von Goethe,Male
John Dewey,Male
John Dupré,Male
John Locke,Male
John Maynard Keynes,Male
John McDowell,Male
John Rawls,Male
John Ryle (professor),Male
John Searle,Male
John Wilkins,Male
John Wisdom,Male
Jonas Salk,Male
Joseph Agassi,Male
Joseph Joachim,Male
Juan Trippe,Male
Juliet Floyd,Female
Kari Jormakka,Female
Karl Otto Clemens Wittgenstein,Male
Karl Popper,Male
Karl Sigmund,Male
Karl Wittgenstein,Male
Keith DeRose,Male
Keith Donnellan,Male
Kennedy family,Female
Killary Harbour,Unknown
Kraków,Unknown
Kurt Gödel,Male
L. E. J. Brouwer,Unknown
Lady Ottoline Morrell,Unknown
Laurence BonJour,Female
Lech Wałęsa,Male
Leo Burnett,Male
Leonard Bloomfield,Male
Lev Vygotsky,Male
Logicomix,Unknown
Louis Armstrong,Male
Louis B. Mayer,Male
Lucille Ball,Female
Lucky Luciano,Unknown
Lucretius,Unknown
Mahatma Gandhi,Unknown
Mao Zedong,Unknown
Margaret MacDonald (philosopher),Female
Margaret Sanger,Female
Margaret Stonborough-Wittgenstein,Female
Margaret Thatcher,Female
Marie McGinn,Female
Marilyn Monroe,Female
Mario Bunge,Male
Marjorie Perloff,Female
Mark Goldie,Male
Marlon Brando,Male
Martha Graham,Female
Martin Heidegger,Male
Martin Kusch,Male
Martin Luther King Jr.,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Maurice O'Connor Drury,Male
Michael Dummett,Male
Michael Fitzgerald (psychiatrist),Male
Michael Nedo,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Michael Williams (philosopher),Male
Mikhail Gorbachev,Male
Military Merit Medal (Austria-Hungary),Unknown
