Name,Gender
Alexander Bogdanov,Male
Allenna Leonard,Unknown
Alma mater,Female
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Barbara J. Grosz,Female
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Charles A. S. Hall,Male
Claude Shannon,Male
Donella Meadows,Female
Edsger W. Dijkstra,Unknown
Edward Norton Lorenz,Male
Eric Trist,Male
Faina Mihajlovna Kirillova,Female
Francisco Varela,Male
Fred Emery,Male
George Armitage Miller,Male
George Dantzig,Male
George Klir,Male
Gregory Bateson,Male
Heinz von Foerster,Male
Howard T. Odum,Male
Humberto Maturana,Male
James Grier Miller,Male
James J. Kay,Male
Jay Wright Forrester,Male
Jean Piaget,Male
Jennifer Wilby,Female
Jim Al-Khalili,Male
John Seddon,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Lydia Kavraki,Female
Manuela M. Veloso,Female
Margaret Boden (artist),Female
Margaret Masterman,Female
Margaret Mead,Female
Mary Cartwright,Female
Mihajlo D. Mesarovic,Male
Mike Cooley (engineer),Male
Mike Jackson (systems scientist),Male
Murray Bowen,Male
Niklas Luhmann,Male
Noam Chomsky,Male
Norbert Wiener,Male
Peter Senge,Male
Qian Xuesen,Unknown
Radhika Nagpal,Female
Richard E. Bellman,Male
Russell L. Ackoff,Male
Stephanie Forrest,Female
Victor Aladjev,Male
William Ross Ashby,Male
