Name,Gender
75½ Bedford St,Unknown
Abby Kelley Foster,Female
Abigail Adams,Female
Aimee Mullins,Female
Akhil Gupta,Unknown
Alan H. Goodman,Male
Alex Barker,Male
Alexander Bogdanov,Male
Alexander Spoehr,Male
Aleš Hrdlička,Male
Alfred Irving Hallowell,Male
Alfred Kroeber,Male
Alfred S. Hayes,Male
Alfred Tozzer,Male
Alfred V. Kidder,Male
Alice Catherine Evans,Female
Alice Dreger,Female
Alice Hamilton,Female
Alice Paul,Female
Alice Waters,Female
Alisse Waterston,Unknown
Allenna Leonard,Unknown
Allie B. Latimer,Female
Althea Gibson,Female
Amelia Bloomer,Female
Amelia Earhart,Female
Anatol Rapoport,Male
Andrew Strathern,Male
Andrew Young,Male
Angela Davis,Female
Angelina Grimké,Female
Ann Bancroft,Female
Anna Howard Shaw,Female
Anna Schwartz,Female
Anna Wessels Williams,Female
Anne Dallas Dudley,Female
Anne Hutchinson,Female
Anne Morrow Lindbergh,Female
Anne Sullivan,Female
Annette Weiner,Female
Annie Dodge Wauneka,Female
Annie Jump Cannon,Female
Annie Oakley,Female
Anthony F. C. Wallace,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Antoinette Brown Blackwell,Female
Aretha Franklin,Female
Babe Didrikson Zaharias,Unknown
Barbara Hillary (adventurer),Female
Barbara Holdridge,Female
Barbara Iglewski,Female
Barbara J. Grosz,Female
Barbara Jordan,Female
Barbara McClintock,Female
Barbara Mikulski,Female
Barbara Rose Johns,Female
Bella Abzug,Female
Belva Ann Lockwood,Female
Benjamin Spock,Male
Bernice Sandler,Female
Bertram Myron Gross,Male
Bessie Coleman,Female
Bessie Smith,Female
Betty Bone Schiess,Female
Betty Bumpers,Female
Betty Ford,Female
Betty Friedan,Female
Beverly Sills,Female
Bonnie Nardi,Female
Brian R. Gaines,Male
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Carol Mutter,Female
Carrie Chapman Catt,Female
Catherine Filene Shouse,Female
Catherine Shipe East,Female
Charles A. McClelland,Male
Charles A. S. Hall,Male
Charles Wagley,Male
Charlotte Bunch,Female
Charlotte Perkins Gilman,Female
Chien-Shiung Wu,Unknown
Clan,Unknown
Clara Barton,Female
Clark Wissler,Male
Claude Lévi-Strauss,Male
Claude Shannon,Male
Clyde Kluckhohn,Male
Conrad M. Arensberg,Male
Constance Baker Motley,Female
Cora Du Bois,Female
Coretta Scott King,Unknown
Crow kinship,Unknown
David Buss,Male
David M. Schneider,Male
Deborah Gewertz,Female
Dell Hymes,Male
Derek Freeman,Male
Diane Bell (anthropologist),Female
Dolores Huerta,Female
Don Brenneis,Male
Don Kulick,Male
Donella Meadows,Female
Donna Shalala,Female
Donna de Varona,Female
Dorothea Dix,Female
Dorothea Lange,Female
Dorothy Day,Female
Dorothy Hansine Andersen,Female
Dorothy Harrison Eustis,Female
Dorothy Height,Female
E. Adamson Hoebel,Unknown
Edith Wharton,Female
Edsger W. Dijkstra,Unknown
Edward H. Spicer,Male
Edward Norton Lorenz,Male
Edward Sapir,Male
Eileen Collins,Female
Elaine Roulet,Female
Eleanor K. Baum,Female
Eleanor Roosevelt,Female
Elisabeth Kübler-Ross,Female
Elizabeth Ann Seton,Female
Elizabeth Blackwell,Female
Elizabeth Cady Stanton,Female
Elizabeth Dole,Female
Ella Baker,Female
Ellen Swallow Richards,Female
Emily Blackwell,Female
Emily Dickinson,Female
Emily Howland,Female
Emma Lazarus,Female
Emma Smith DeVoe,Female
Emma Willard,Female
Eric Trist,Male
Ernestine Friedl,Female
Ernestine Rose,Female
Esther Peterson,Female
Ethel Percy Andrus,Female
Eudora Welty,Unknown
Eunice Kennedy Shriver,Female
Exogamy,Unknown
Faina Mihajlovna Kirillova,Female
Fannie Lou Hamer,Female
Faye Glenn Abdellah,Female
Faye Wattleton,Female
Florence B. Seibert,Female
Florence E. Allen,Female
Florence R. Sabin,Female
Florence Wald,Female
Flossie Wong-Staal,Female
Frances Oldham Kelsey,Female
Frances Perkins,Female
Frances Willard,Female
Frances Wright,Female
Frances Xavier Cabrini,Female
Francis L. K. Hsu,Male
Francisco Varela,Male
Franz Boas,Male
Fred Eggan,Male
Fred Emery,Male
Frederica de Laguna,Female
Frederick Webb Hodge,Male
Gail Sheehy,Female
Gayle Rubin,Female
Geoffrey Vickers,Male
George Dantzig,Male
George Grant MacCurdy,Male
George Klir,Male
George M. Foster (anthropologist),Male
George Murdock,Male
Georgia O'Keeffe,Female
