Name,Gender
A. J. Ayer,Unknown
Adam Müller,Male
Adam Smith,Male
Adolf Hitler,Male
Aesthetic Realism,Unknown
Al-Farabi,Unknown
Alan Turing,Male
Albert-Ludwigs-Universität,Unknown
Albert Borgmann,Male
Albert Camus,Male
Alberto Giacometti,Male
Albrecht von Roon,Male
Alexander Bain (philosopher),Male
Alexander Gottlieb Baumgarten,Male
Alexander Rüstow,Male
Alexandre Kojève,Male
Alexandre Koyré,Male
Alexis de Tocqueville,Male
Alexius Meinong,Unknown
Alfred Hugenberg,Male
Alfred North Whitehead,Male
Alfred Rosenberg,Male
Alfred Weber,Male
Ali Shariati,Male
Alice Weidel,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Ananda Coomaraswamy,Male
Andreas Krause Landt,Male
Andrew J. Mitchell,Male
Andy Clark,Male
Angela Merkel,Female
Antonio Gramsci,Male
Antonio Negri,Male
Armin Mohler,Male
Arnold Gehlen,Male
Arthur Moeller van den Bruck,Male
Arthur Schopenhauer,Male
Aufbau Vereinigung,Unknown
August Wilhelm Rehberg,Male
Augustine of Hippo,Female
Ayn Rand,Female
B. F. Skinner,Unknown
Beatrix von Storch,Female
Benedetto Croce,Male
Benjamin Fondane,Male
Benjamin Franklin,Male
Bernard Bolzano,Male
Bertrand Russell,Male
Bibliothek des Konservatismus,Unknown
Botho Strauss,Male
Bruno Latour,Male
Béla Balázs,Male
Bündnis Deutschland,Unknown
C. D. Broad,Unknown
Carl Friedrich Goerdeler,Male
Carl Schmitt,Male
Caspar von Schrenck-Notzing,Male
Charles Baudelaire,Male
Charles Fourier,Male
Charles Guignon,Male
Charles Malik,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Wolff (philosopher),Male
Christopher Lasch,Male
Claude Adrien Helvétius,Male
Claude Lévi-Strauss,Male
Claus von Stauffenberg,Male
Clement Greenberg,Male
Clive Bell,Male
Colin Wilson,Male
Daniel Dennett,Male
Dante Alighieri,Male
Dasein,Unknown
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Der Spiegel,Unknown
Der Tagesspiegel,Unknown
Der Türmer,Unknown
Der Zauberer von Meßkirch,Unknown
Derek Parfit,Male
Dieter Stein,Male
Dietrich von Hildebrand,Male
Donald Davidson (philosopher),Male
Donatella Di Cesare,Female
Dr. phil. hab.,Unknown
Edgar Jung,Male
Edith Stein,Female
Edmund Burke,Male
Edmund Husserl,Male
Eduard Hanslick,Male
Edward Said,Male
Elisabeth Blochmann,Female
Elisabeth Noelle-Neumann,Female
Elisabeth Sabaditsch-Wolff,Female
Elisabeth von Thurn und Taxis,Female
Emmanuel Levinas,Male
Engelbert Krebs,Male
Eric Voegelin,Male
Erich Fromm,Male
Ernest Renan,Male
Ernst Anrich,Male
Ernst Cassirer,Male
Ernst Ludwig von Gerlach,Male
Ernst Niekisch,Male
Ernst Nolte,Male
Ernst von Salomon,Male
Eva Herman,Female
Francis Hutcheson (philosopher),Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frank Schäffler,Male
Frankfurter Allgemeine Zeitung,Unknown
Frantz Fanon,Male
Franz Brentano,Male
Franz Josef Strauss,Male
Franz Kafka,Male
Franz Rosenzweig,Male
Franz von Papen,Male
Frauke Petry,Female
Fred Dretske,Male
Fredric Jameson,Male
Freiburg im Breisgau,Unknown
Friedrich Carl von Savigny,Male
Friedrich Engels,Male
Friedrich Georg Jünger,Male
Friedrich Gogarten,Male
Friedrich Hielscher,Male
Friedrich Hölderlin,Male
Friedrich Julius Stahl,Male
Friedrich Merz,Male
Friedrich Nietzsche,Male
Friedrich Reck-Malleczewen,Male
Friedrich Schiller,Male
Friedrich Schlegel,Male
Friedrich Wilhelm Joseph Schelling,Male
Félix Guattari,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel Marcel,Male
Gabriele Kuby,Female
Gaston Bachelard,Male
Gemistos Plethon,Unknown
Gender Trouble,Unknown
Georg Simmel,Male
Georg Wilhelm Friedrich Hegel,Male
George-Kreis,Unknown
George Berkeley,Male
George Orwell,Male
George Santayana,Male
Georges Bataille,Male
Gerhard Krüger (philosopher),Male
Gerhard Löwenthal,Male
Gerhard Löwenthal Prize,Male
Gerhard Nebel,Male
Gerhard Ritter,Male
German Reich,Male
Gertrud Höhler,Female
Giambattista Vico,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giorgio Vasari,Male
Giovanni Gentile,Male
Gloria von Thurn und Taxis,Female
Golo Mann,Male
Gottfried Wilhelm Leibniz,Male
Gustav Ritter von Kahr,Male
Gustav Stresemann,Male
Gustave Le Bon,Male
Guy Debord,Male
György Lukács,Male
Götz Kubitschek,Male
Günter Maschke,Male
Hannah Arendt,Female
Hans-Hermann Hoppe,Unknown
Hans-Joachim von Merkatz,Unknown
Hans-Jürgen Syberberg,Unknown
Hans Blüher,Male
Hans Filbinger,Male
Hans Filbinger Foundation,Male
Hans Frank,Male
Hans Freyer,Male
Hans Jonas,Male
Hans Sluga,Male
Hans Urs von Balthasar,Male
Hans Zehrer,Male
Hauptsturmführer,Unknown
Heidegger,Unknown
Heidegger Gesamtausgabe,Unknown
Heinrich Finke,Male
Heinrich Friedrich Karl vom und zum Stein,Male
Helmut Kohl,Male
Helmut Schelsky,Male
Henning Eichberg,Male
Henri Bergson,Male
Henri Lefebvre,Male
Henry David Thoreau,Male
Henryk M. Broder,Male
Herbert Marcuse,Male
Herbert Spencer,Male
Herbert von Bose,Male
Hermann Heidegger,Male
Hermann Lotze,Male
Hermann Löns,Male
Hermann Lübbe,Male
Hermann Wagener,Male
Hitler,Unknown
Howard Zinn,Male
Hubert Dreyfus,Male
Hélène Cixous,Female
I. A. Richards,Unknown
Ibn Khaldun,Unknown
Ibn Tufayl,Unknown
Immanuel Kant,Male
Introduction to Metaphysics (Heidegger),Unknown
Introduction to Metaphysics (Heidegger book),Unknown
Isaac Newton,Male
Isaiah Berlin,Male
J. Habermas,Unknown
J. L. Austin,Unknown
Jacob Klein (philosopher),Male
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Maritain,Male
Jacques Rancière,Male
Jean-Jacques Rousseau,Unknown
Jean-Luc Nancy,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jeremy Bentham,Male
Jerry Fodor,Male
Joachim Ritter,Male
Johann Georg Hamann,Male
Johann Gottfried Herder,Male
Johann Gottlieb Fichte,Male
Johann Joachim Winckelmann,Male
Johann Wolfgang von Goethe,Male
John Calvin,Male
John Dewey,Male
John Haugeland,Male
John Locke,Male
John Milton,Male
John Ruskin,Male
John Searle,Male
John Stuart Mill,Male
Josef Pieper,Male
Joseph B. Soloveitchik,Male
Joseph Görres,Male
Joseph von Radowitz,Male
Josiah Royce,Male
José Ortega y Gasset,Male
Judith Butler,Female
Julia Kristeva,Female
Julian Young,Male
Julius Streicher,Male
Justus Möser,Male
Jürgen Habermas,Male
Kama,Female
Karl Barth,Male
Karl Jaspers,Male
Karl Löwith,Male
Karl Marx,Male
Karl Otto Paetel,Male
Karl Polanyi,Male
Karl Steinbuch,Male
Karlheinz Weißmann,Male
Kehre,Unknown
Khôra,Unknown
Klaus Rainer Röhl,Male
Konrad Adenauer,Male
Konrad Lorenz,Male
Kuki Shūzō,Unknown
Kuno von Westarp,Male
Kurt von Schleicher,Male
Leo Strauss,Male
Leon Battista Alberti,Male
Leonardo Bruni,Male
Leopold von Ranke,Male
Leszek Kołakowski,Male
Lev Shestov,Male
Liu Xie,Unknown
Louis Althusser,Male
Louis de Bonald,Male
Lucretius,Unknown
Ludwig Klages,Male
Ludwig Wittgenstein,Male
Lutz Graf Schwerin von Krosigk,Male
Lyndsey Stonebridge,Female
Mahatma Gandhi,Unknown
Marbach am Neckar,Unknown
Marc Jongen,Male
Mark Fisher,Male
Mark Wrathall,Male
Marquis de Condorcet,Male
Martha Nussbaum,Female
Martin Buber,Male
Martin Heidegger: Between Good and Evil,Male
Martin Heidegger and Nazism,Male
Martin Kohlmann,Male
Martin Luther,Male
Marvin Minsky,Male
Marx,Unknown
Matthew Arnold,Male
Maurice Blanchot,Male
Maurice Merleau-Ponty,Male
Max Kommerell,Male
Max Otte,Male
Max Scheler,Male
Max Stirner,Male
Max Weber,Male
Maximilian Krah,Male
Mein Kampf,Female
Michael Allen Gillespie,Male
Michael Dummett,Male
Michael E. Zimmerman,Male
Michael Inwood,Male
Michael Oakeshott,Male
Michael Stürmer,Male
Michael Stürzenberger,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Michael Wheeler (philosopher),Male
Michel Foucault,Male
Michel Serres,Male
Michel de Montaigne,Male
Mitläufer,Unknown
Muhammad,Male
Naguib Mahfouz,Unknown
Nancy J. Holland,Female
Ned Block,Male
Nelson Goodman,Male
Neo-Kantian,Unknown
Nick Land,Male
Nicolai Hartmann,Male
Niklas Luhmann,Male
Nikolai Berdyaev,Male
Norbert Bolz,Male
Nuremberg Laws,Unknown
Nyāya Sūtras,Unknown
Oscar Wilde,Male
Oswald Spengler,Male
Otto von Bismarck,Male
Otto von Gierke,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Paul Celan,Male
Paul Churchland,Male
Paul Klee,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul de Man,Male
Paul of Tarsus,Male
Paul von Hindenburg,Male
Paul von Lilienfeld,Male
Peter Kropotkin,Male
Peter Sloterdijk,Male
Peter Trawny,Male
Peter Wessel Zapffe,Male
Philip Oltermann,Male
Philippe Lacoue-Labarthe,Male
Pierre Bourdieu,Male
Pierre Guillaume Frédéric le Play,Male
Pope Benedict XVI,Unknown
R. G. Collingwood,Unknown
Rainer Zitelmann,Male
Ralph Ellison,Male
Ralph Waldo Emerson,Male
Raymond Aron,Male
Raymond Williams,Male
Reinhart Koselleck,Male
Reinhart Maurer,Male
René Guénon,Male
Richard J. Evans,Male
Richard Polt,Male
Richard Rorty,Male
Richard Wolin,Male
Richard Wright (author),Male
Robert Owen,Male
