Name,Gender
4587 Rees,Unknown
Aaron Klug,Male
Ada Yonath,Female
Adrian Smith (statistician),Male
Ahmed Zewail,Male
Alan Hodgkin,Male
Alan Lloyd Hodgkin,Male
Albert Einstein World Award of Science,Male
Alec Jeffreys,Male
Aleksandr Solzhenitsyn,Male
Alexander R. Todd,Male
Ali Javan,Male
Alister Hardy,Male
Alvin Plantinga,Male
Amartya Sen,Unknown
Andrew Huxley,Male
Archibald Geikie,Male
Arnold Wolfendale,Male
Arthur Peacocke,Male
Astronomer Royal,Unknown
Baba Amte,Male
Baron Goodlad,Male
Bernard Lovell,Male
Bernard d'Espagnat,Male
Bibcode (identifier),Unknown
Bill Bright,Male
Bill Joy,Male
Billy Graham,Male
Birkbeck Lecture in Ecclesiastical History,Unknown
Brother Roger,Unknown
Bruce Medal,Male
Bruno Rossi Prize,Male
Carl Friedrich von Weizsäcker,Male
Carole Jordan,Female
Caroline Humphrey,Female
Charles Birch,Male
Charles Colson,Male
Charles H. Townes,Male
"Charles Montagu, 1st Earl of Halifax",Male
Charles R. Goldman,Male
Charles Scott Sherrington,Male
Charles Taylor (philosopher),Male
Chiara Lubich,Female
Chris Lintott,Male
Christopher Wordsworth (divine),Male
Christopher Wren,Male
Copley Medal,Unknown
Crafoord Prize,Unknown
Craig Hogan,Male
Cyril Norman Hinshelwood,Male
Dalton Medal,Male
Dan Hendrycks,Male
Daniel Janzen,Male
"Darwin College, Cambridge",Male
Dennis Sciama,Male
Dennis W. Sciama,Male
Desmond Tutu,Male
Dorothy Hodgkin,Female
Edgar Adrian,Male
"Edgar Adrian, 1st Baron Adrian",Male
Edmond Halley,Male
Edward Schunck,Male
Edward Witten,Male
Eliezer Yudkowsky,Male
Elizabeth II,Female
Ernest Rutherford,Male
Ewine van Dishoeck,Unknown
First and Third Trinity Boat Club May Ball,Unknown
Francis Collins,Male
Francis Graham-Smith,Male
Francisco J. Ayala,Male
Frank Fenner,Male
Frank Watson Dyson,Male
Frank Wilczek,Male
Frederick Gowland Hopkins,Male
Freeman Dyson,Male
Fritz Zwicky Prize for Astrophysics and Cosmology,Male
G. M. Trevelyan,Unknown
Geoffrey Hinton,Male
Geoffrey Ozin,Male
George Biddell Airy,Male
George F. R. Ellis,Male
George MacLeod,Male
"George Parker, 2nd Earl of Macclesfield",Male
George Porter,Male
Gifford Lectures,Male
Gresham College,Unknown
Gruber Prize in Cosmology,Unknown
Gustav Nossal,Male
Hans Sloane,Male
Harold Spencer Jones,Male
Harry Kroto,Male
Henry Enfield Roscoe,Male
Henry Ferne,Male
Henry Hallett Dale,Male
Henry Montagu Butler,Male
Henry Norris Russell Lectureship,Male
Henry VIII,Male
Herbert H. Jasper,Male
Holmes Rolston III,Unknown
Honorary Fellow,Unknown
Honorary Fellow of the Royal Academy of Engineering,Unknown
Honorary Fellows of the Institute of Physics,Unknown
Howard Florey,Male
Hugh Huxley,Male
Ian Barbour,Male
"Immanuel Jakobovits, Baron Jakobovits",Male
Inamullah Khan,Unknown
Institute of Physics Isaac Newton Medal,Unknown
Isaac Barrow,Male
Isaac Newton,Male
Isaac Newton Medal,Male
J. J. Thomson,Unknown
Jaan Tallinn,Male
James Bradley,Male
James Burrow,Male
"James Douglas, 14th Earl of Morton",Male
James E. Gunn (astronomer),Male
James E. Pringle,Male
James I. McCord,Male
James Martin 21st Century School,Male
James West (antiquary),Male
Jane Goodall,Female
Jean-Pierre Changeux,Male
Jean Vanier,Male
"Jesus College, Cambridge",Male
John Arrowsmith (scholar),Male
John Christopherson,Male
John D. Barrow,Male
John Flamsteed,Male
John Gribbin,Male
John Hinchliffe,Male
John Hopfield,Male
John Montagu (Trinity),Male
John North (Trinity),Male
John Pearson (bishop),Male
John Polkinghorne,Male
John Pond,Male
John Pringle (physician),Male
John Redman (Trinity College),Male
John Richardson (translator),Male
"John Somers, 1st Baron Somers",Male
John Still,Male
John T. Houghton,Male
"John Vaughan, 3rd Earl of Carbery",Male
John Whitgift,Male
John Wilkins,Male
"John William Strutt, 3rd Baron Rayleigh",Male
"John Wrottesley, 2nd Baron Wrottesley",Male
"Jonathan Sacks, Baron Sacks",Male
Joseph Banks,Male
Joseph Dalton Hooker,Male
Joseph Lister,Male
Joseph Williamson (English politician),Male
Julio Montaner,Male
K. Eric Drexler,Unknown
Ken Pounds,Male
Konstantin Novoselov,Male
Lawrence Bragg,Male
Leo Joseph Suenens,Male
Leonard Mawe,Male
Lilienfeld Prize,Unknown
Longitude Prize,Unknown
Lord Kelvin,Unknown
M. S. Swaminathan,Unknown
Manchester Literary and Philosophical Society,Unknown
Marcelo Gleiser,Male
Margaret Burbidge,Female
Martin Folkes,Male
Martin Kamen,Male
"Martin Rees, Baron Rees of Ludlow",Male
Martin Ryle,Male
Max Tegmark,Male
Michael Atiyah,Male
Michael Faraday Prize,Male
Michael Grätzel,Male
Michael Novak,Male
Michał Heller,Male
Mother Teresa,Unknown
Nathaniel Bliss,Male
Nevil Maskelyne,Male
Nick Bostrom,Male
Nick Kaiser,Male
Niels Birbaumer,Male
Omar M. Yaghi,Male
Osborne Reynolds,Unknown
Pandurang Shastri Athavale,Unknown
Patrick Blackett,Male
Paul Christiano (researcher),Male
Paul Nurse,Male
Philip Cohen (British biochemist),Male
Philip James Edwin Peebles,Male
"Prince Augustus Frederick, Duke of Sussex",Male
Priyamvada Natarajan,Unknown
Ralph J. Cicerone,Male
Ralph Wendell Burhoe,Male
Raymond U. Lemieux,Male
Rees–Sciama effect,Unknown
Reith Lectures,Unknown
Ricardo Bressani,Male
Richard Bentley,Male
Richard van der Riet Woolley,Male
Robert Beaumont (Master of Trinity College),Male
"Robert May, Baron May of Oxford",Male
Robert Robinson (organic chemist),Male
Robert Smith (mathematician),Male
Robert Weinberg (biologist),Male
Roger Blandford,Male
Roger Penrose,Male
Roman Yampolskiy,Male
Sally Davies (doctor),Female
Sam Altman,Male
Sam Harris,Male
Samuel Brooke,Male
Samuel Pepys,Male
Sarvepalli Radhakrishnan,Unknown
Sigmund Sternberg,Male
"Sir Benjamin Collins Brodie, 1st Baronet",Unknown
"Sir George Stokes, 1st Baronet",Unknown
Sir Gregory Winter,Unknown
"Sir John Hoskyns, 2nd Baronet",Unknown
Sir Robert Southwell (diplomat),Unknown
"Spencer Compton, 2nd Marquess of Northampton",Male
Stanley Jaki,Male
Stephen Hawking,Male
Steve Omohundro,Male
Stuart J. Russell,Male
TED (conference),Unknown
Tarner Lectures,Unknown
Templeton Prize,Unknown
Thomas Comber (dean of Carlisle),Male
Thomas F. Torrance,Male
Thomas Henry Huxley,Male
"Thomas Herbert, 8th Earl of Pembroke",Male
Thomas Hill (Cambridge),Male
Thomas Nevile,Male
Thomas Postlethwaite,Male
Tomáš Halík,Male
Venki Ramakrishnan,Unknown
Walter Fred Bodmer,Male
Werner Stumm,Male
William Bill,Male
"William Brouncker, 2nd Viscount Brouncker",Male
William Christie (astronomer),Male
William Crookes,Male
William Henry Bragg,Male
William Hepworth Thompson,Male
William Huggins,Male
William Hyde Wollaston,Male
William Lort Mansel,Male
"William Parsons, 3rd Earl of Rosse",Male
William Spottiswoode,Male
William Whewell,Male
Wolf Prize in Physics,Male
Wren Library,Male
Yoshua Bengio,Unknown
Yuri Milner,Male
Zhong Lin Wang,Unknown
File:Martin Rees BBC Radio4 The Reith Lectures 22 June 2010 b00srktg.flac,Unknown
Template:Albert Einstein World Award of Science Laureates,Unknown
Template talk:Albert Einstein World Award of Science Laureates,Unknown
Template talk:Templeton Prize Laureates,Unknown
Category:Manchester Literary and Philosophical Society,Unknown
