Name,Gender
Adi Shamir,Male
Akira Endo (biochemist),Male
Akira Fujishima,Male
Akira Yoshino,Male
Alan Kay,Male
Alan Perlis,Male
Alan Turing,Male
Albert Fert,Male
Albert W. Tucker,Male
Alexander Bain (philosopher),Male
Alfred Aho,Male
Allen Newell,Male
Alvin Goldman,Male
Amir Pnueli,Male
Andrew Yao,Male
Andrzej Tarkowski,Male
Andy Clark,Male
Anne McLaren,Female
Arthur C. Clarke,Male
Arvid Carlsson,Male
Avi Wigderson,Male
Barbara Liskov,Female
Benjamin Franklin Medal (Franklin Institute),Male
Benjamin Kuipers,Male
Benoit Mandelbrot,Unknown
Bert Vogelstein,Male
Berthold K.P. Horn,Male
Bertram Raphael,Male
Bibcode (identifier),Unknown
Bill Pickering (rocket scientist),Male
Brian Druker,Male
Brian Hoskins,Male
Bruce Ames,Male
Butler Lampson,Unknown
C. D. Broad,Unknown
C. Grant Willson,Unknown
Carl Hewitt,Male
Charles Bachman,Male
Charles David Allis,Male
Charles K. Kao,Male
Charles P. Thacker,Male
Christopher Field,Male
Dan David Prize,Male
Dan McKenzie (geophysicist),Male
Dana Scott,Female
Daniel Bobrow,Male
Daniel Dennett,Male
Danny Hillis,Male
David Chalmers,Male
David E. Kuhl,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Patterson (computer scientist),Male
David Turnbull (materials scientist),Male
Dennis Meadows,Male
Dennis Ritchie,Male
Derek Parfit,Male
Don Craig Wiley,Male
Donald Davidson (philosopher),Male
Donald Henderson,Male
Donald Knuth,Male
Douglas Engelbart,Male
Drew Weissman,Male
E. Allen Emerson,Unknown
Edgar F. Codd,Male
Edmund Husserl,Male
Edmund M. Clarke,Male
Edsger W. Dijkstra,Unknown
Edward F. Knipling,Male
Edward Feigenbaum,Male
Edwin Catmull,Male
Elias James Corey,Male
Emmanuelle Charpentier,Female
Ephraim Katchalski-Katzir,Male
Erkki Ruoslahti,Male
Ernest John Christopher Polge,Male
Eugene Charniak,Male
Fernando J. Corbató,Male
Frances Allen,Female
Frank Cameron Jackson,Male
Frank Fenner,Male
Frank Press,Male
Frank Rosenblatt,Male
Frank Sherwood Rowland,Male
Franz Brentano,Male
Fred Brooks,Male
Fred Dretske,Male
G. E. M. Anscombe,Unknown
Geoffrey Hinton,Male
George Berkeley,Male
Georges Vendryes,Male
Gerald Jay Sussman,Male
Gerhard Ertl,Male
Gero Miesenböck,Male
Ghislaine Maxwell,Female
Gilbert Ryle,Male
Gottfried Wilhelm Leibniz,Male
Gurdev Khush,Male
Henri Bergson,Male
Henry Beachell,Male
Herbert A. Simon,Male
Hiroyuki Yoshikawa,Male
I. J. Good,Unknown
Ian McHarg,Male
Immanuel Kant,Male
Ivan Sutherland,Male
J. Frederick Grassle,Unknown
J. L. Austin,Unknown
Jack Dongarra,Male
Jack L. Strominger,Male
Jacques Miller,Male
James A. Yorke,Male
James H. Wilkinson,Male
James Robert Slagle,Male
Janet Rowley,Female
Jean Fréchet,Male
Jeffrey Epstein,Male
Jeffrey Ullman,Male
Jennifer Doudna,Female
Jerry Fodor,Male
Jim Gray (computer scientist),Male
Joel Moses,Male
John B. Goodenough,Male
John Backus,Male
John Cocke (computer scientist),Male
John Hopcroft,Male
John Houghton (physicist),Male
John J. Wild,Male
John L. Hennessy,Male
John Lawton (biologist),Male
John Locke,Male
John McCarthy (computer scientist),Male
John Michael Wallace,Male
John R. Pierce,Male
John Searle,Male
Joseph Engelberger,Male
Joseph Sifakis,Male
Jozef Schell,Male
Judea Pearl,Unknown
Juris Hartmanis,Male
K. Eric Drexler,Unknown
Karl Deisseroth,Male
Kary B. Mullis,Female
Katalin Karikó,Female
Ken Thompson,Male
Kenichi Honda,Male
Kenneth E. Iverson,Male
Kimishige Ishizaka,Unknown
Kristen Nygaard,Female
Leon M. Lederman,Male
Leonard Adleman,Male
Leslie Lamport,Female
Leslie Valiant,Female
Loebner Prize,Unknown
Luc Montagnier,Male
Luc Steels,Male
Ludwig Wittgenstein,Male
MA (identifier),Unknown
Manuel Blum,Male
Marc Van Montagu,Male
Martin Green (professor),Male
Martin Heidegger,Male
Martin Hellman,Male
Masao Ito,Male
Masatoshi Takeichi,Male
Maurice Merleau-Ponty,Male
Maurice Wilkes,Male
Max Dale Cooper,Male
Michael O. Rabin,Male
Michael Stonebraker,Male
Michael Tye (philosopher),Male
Ned Block,Male
Nicholas Lydon,Male
Nick Holonyak,Male
Niklaus Wirth,Male
Pat Hanrahan,Unknown
Patricia Churchland,Female
Patrick Winston,Male
Paul Churchland,Male
Peter Grünberg,Male
Peter Naur,Male
Peter Norvig,Male
Peter Shaw Ashton,Male
Peter Vitousek,Male
Rattan Lal,Male
Richard E. Stearns,Male
Richard Hamming,Male
Richard M. Karp,Male
Richard Rorty,Male
Robert G. Gallager,Male
Robert Gallo,Male
Robert Kahn (computer scientist),Male
Robert Metcalfe,Male
Robert Tarjan,Male
Robert W. Floyd,Male
Robert Weinberg (biologist),Male
Robin Milner,Male
Ron Rivest,Male
Ronald M. Evans,Male
Scott Fahlman,Male
Seiji Ogawa,Male
Seymour Papert,Male
Shafi Goldwasser,Unknown
Silvio Micali,Male
Stanley Kubrick,Male
Stephen Cook,Male
Stephen Yablo,Male
Steven D. Tanksley,Male
Stuart J. Russell,Male
Svante Pääbo,Male
TED (conference),Unknown
Takashi Sugimura,Male
Theodore Friedmann,Male
Theodore Maiman,Male
Thomas Aquinas,Male
Thomas Nagel,Male
Tim Berners-Lee,Male
Timothy R. Parsons,Male
Tony Hoare,Male
Toshio Hirano,Male
Victor A. McKusick,Male
Vint Cerf,Unknown
Virginia Roberts Giuffre,Female
W. Jason Morgan,Unknown
W. Wesley Peterson,Unknown
Warren Teitelman,Male
Whitfield Diffie,Unknown
Willem J. Kolff,Male
William A. Martin,Male
William James,Male
William Kahan,Male
Yann LeCun,Male
Yasuharu Suematsu,Male
Yoshua Bengio,Unknown
Yutaka Takahasi,Male
Zhuang Zhou,Unknown
Template talk:Turing Award laureates,Unknown
