Name,Gender
A Letter to Lord Ellenborough,Unknown
A Sculpture for Mary Wollstonecraft,Unknown
Aaron Burr,Male
Abbott and Costello Meet Frankenstein,Unknown
Achim von Arnim,Male
Adam Mickiewicz,Male
Adam Müller,Male
Adam Oehlenschläger,Male
Adolph Tidemand,Male
Adolphe Adam,Male
Akseli Gallen-Kallela,Male
Albert Bierstadt,Male
Albert Edelfelt,Male
Aleksander Fredro,Male
Aleksey Khomyakov,Male
Alessandro Manzoni,Male
Alexander Borodin,Male
Alexander Chavchavadze,Male
Alexander Pushkin,Male
Alexander Scriabin,Male
Alexandre Dumas,Male
Alexandre Herculano,Male
Alexandros Mavrokordatos,Male
Alfred de Musset,Male
Alfred de Vigny,Male
"Alfredo d'Escragnolle Taunay, Viscount of Taunay",Male
Almeida Garrett,Unknown
Aloysius Bertrand,Male
Alvin and the Chipmunks Meet Frankenstein,Male
Amelia Curran (painter),Female
Ann Radcliffe,Female
Anna Jameson,Female
Anna Laetitia Barbauld,Female
Anna Seward,Female
Anne Brontë,Female
Anne K. Mellor,Female
Antoine Wiertz,Male
Anton Arensky,Male
Anton Bruckner,Male
Anton Reicha,Male
Anton Rubinstein,Male
Antoni Malczewski,Male
Antonio García Gutiérrez,Male
Antonín Dvořák,Male
António Augusto Soares de Passos,Male
António Feliciano de Castilho,Male
Arthur Oncken Lovejoy,Male
Ary Scheffer,Male
Aubrey Beauclerk (politician),Unknown
August Wilhelm Schlegel,Male
Bagnacavallo,Unknown
Battle of Waterloo,Unknown
Bedřich Smetana,Male
Benjamin Constant,Male
Bernardo Guimarães,Male
Bernie Wrightson's Frankenstein,Female
Bettina von Arnim,Female
Betty T. Bennett,Female
Boscombe,Unknown
Branko Radičević,Male
Brian Aldiss,Male
Brothers Grimm,Unknown
Calais,Unknown
Camille Saint-Saëns,Female
Camilo Castelo Branco,Male
Captain Daniel Roberts,Unknown
Carl Czerny,Male
Carl Dahlhaus,Male
Carl H. Pforzheimer Collection of Shelley and His Circle,Male
Carl Loewe,Male
Carl Maria von Weber,Male
Caspar David Friedrich,Male
Castro Alves,Unknown
Charles-Valentin Alkan,Unknown
Charles Baudelaire,Male
Charles Kegan Paul,Male
Charles Lamb (writer),Male
Charles Maturin,Male
Charles Nodier,Male
Charles Rosen,Male
Charlotte Brontë,Female
Charlotte Gordon,Female
Chester Square,Male
Christopher Ricks,Male
City of Night (Koontz and Gorman novel),Unknown
Claire Clairmont,Female
Clara Schumann,Female
Clemens Brentano,Male
César Cui,Male
Daniel Auber,Male
Danish Golden Age,Unknown
Dark Romanticism,Unknown
David d'Angers,Male
Dead and Alive (Koontz novel),Unknown
Dean Koontz's Frankenstein,Male
Debtor's prison,Unknown
Dionysius Lardner,Male
Doc Frankenstein,Unknown
Doctor Septimus Pretorius,Unknown
Doctor Waldman,Unknown
Donald Olson (astronomer),Male
Dr. Franken,Unknown
Dr. Stein,Unknown
Dracula vs. Frankenstein,Unknown
Düsseldorf School of painting,Unknown
E. T. A. Hoffmann,Unknown
Edgar Allan Poe,Male
Edgar Quinet,Male
Edmund Burke,Male
Eduard Mörike,Male
Edward Elgar,Male
Edward Ellerker Williams,Male
Edward John Trelawny,Male
Edward Moxon,Male
Elizabeth Lavenza,Female
Ellen Moers,Female
Emanuel Leutze,Male
Emily Brontë,Female
Emily W. Sunstein,Female
Erik Gustaf Geijer,Male
"Este, Veneto",Unknown
Eugène Delacroix,Male
Fagundes Varela,Unknown
Fanny Imlay,Female
Fanny Mendelssohn,Female
Fantasmagoriana,Unknown
Felix Mendelssohn,Male
Fernando Sor,Male
Ferruccio Busoni,Male
Fiona Sampson,Female
Flesh for Frankenstein,Unknown
France Prešeren,Female
Francesco Hayez,Male
Francis Place,Male
Francisco Goya,Male
Franciszek Ksawery Lampi,Male
Frankenstein's Aunt (novel),Unknown
Frankenstein's Aunt Returns,Unknown
Frankenstein's Castle of Freaks,Unknown
Frankenstein's Daughter,Unknown
Frankenstein's Promethean dimension,Unknown
Frankenstein's Wedding,Unknown
Frankenstein's monster,Unknown
"Frankenstein, MD",Unknown
"Frankenstein, or The Vampire's Victim",Unknown
"Frankenstein; or, The Modern Prometheus",Unknown
Frankenstein '80,Unknown
Frankenstein (1910 film),Unknown
Frankenstein (1931 film),Unknown
Frankenstein (1973 film),Unknown
Frankenstein (1992 film),Unknown
Frankenstein (2004 film),Unknown
Frankenstein (2007 film),Unknown
Frankenstein (2011 play),Unknown
Frankenstein (2015 film),Unknown
Frankenstein (2025 film),Unknown
Frankenstein (Hammer film series),Unknown
Frankenstein (Universal film series),Unknown
Frankenstein (video game),Unknown
Frankenstein Castle,Unknown
Frankenstein Jr. and The Impossibles,Unknown
Frankenstein Meets the Space Monster,Unknown
Frankenstein Meets the Wolf Man,Unknown
Frankenstein Must Be Destroyed,Unknown
Frankenstein Unbound,Unknown
"Frankenstein all'italiana – Prendimi, straziami, che brucio de passion!",Unknown
Frankenstein and the Monster from Hell,Unknown
Frankenstein vs. Baragon,Unknown
Frankenstein vs. The Mummy,Unknown
Frankenstein vs. the Creature from Blood Cove,Unknown
Frankenstein – A New Musical,Unknown
Franz Berwald,Male
Franz Liszt,Male
Franz Schubert,Male
François Rude,Male
Frederick C. Beiser,Male
Friedrich Blume,Male
Friedrich Hölderlin,Male
Friedrich Kalkbrenner,Male
Friedrich Schiller,Male
Friedrich Schlegel,Male
Friedrich Schleiermacher,Male
Friedrich Wilhelm Joseph Schelling,Male
Friedrich de la Motte Fouqué,Male
Fromental Halévy,Unknown
Félicité de La Mennais,Female
Gabriel Fauré,Male
Gaetano Donizetti,Male
Gaspare Spontini,Male
Georg Wilhelm Friedrich Hegel,Male
"George Gordon Byron, 6th Baron Byron",Male
George Onslow (composer),Male
Gerald Abraham,Male
Giacomo Leopardi,Male
Giacomo Meyerbeer,Male
Gift book,Unknown
Gilbert Imlay,Male
Gioachino Rossini,Unknown
Giovanni Berchet,Male
Giuseppe Mazzini,Male
Giuseppe Verdi,Male
Gothic Romance (novel),Unknown
Gothic aspects in Frankenstein,Unknown
"Gravesend, Kent",Unknown
Grigol Orbeliani,Male
Gustav Mahler,Male
Gustavo Adolfo Bécquer,Male
Hans Christian Andersen,Male
Hans Gude,Male
Harold Bloom,Male
Harriet de Boinville,Female
Harrow on the Hill,Unknown
Heinrich von Kleist,Male
Henrik Gabriel Porthan,Male
Henrik Wergeland,Male
Henry David Thoreau,Male
Henry Fuseli,Male
Henry Hetherington,Male
Henry IV of France,Male
Henry Wadsworth Longfellow,Male
Henry Weekes,Male
Henryk Wieniawski,Male
House of the Wolf Man,Unknown
Hristo Botev,Male
Hugo Wolf,Male
Huntington Library,Unknown
Hymn to Intellectual Beauty,Unknown
"I, Frankenstein",Unknown
Ignaz Moscheles,Male
Il mostro di Frankenstein,Male
Ion Heliade Rădulescu,Male
Isaiah Berlin,Male
Ivan Aivazovsky,Male
J. M. W. Turner,Unknown
Jacques Barzun,Male
James Bieri,Male
James Fenimore Cooper,Male
James Russell Lowell,Male
James Ward (English artist),Male
