Name,Gender
Aesthetic Realism,Unknown
Alan Turing,Male
Albert Camus,Male
Alexander Bain (philosopher),Male
Alexander Gottlieb Baumgarten,Male
Alexandre Kojeve,Male
Alexandre Kojève,Male
Alexandre Koyré,Male
Alphonso Lingis,Unknown
Alvin Goldman,Male
Ananda Coomaraswamy,Male
André Malraux,Male
Andy Clark,Male
Antonio Gramsci,Male
Antonio Negri,Male
Aron Gurwitsch,Male
Arthur Schopenhauer,Male
Ayn Rand,Female
Benedetto Croce,Male
Bruno Latour,Male
Béla Balázs,Male
C. D. Broad,Unknown
Carl Schmitt,Male
Charles Baudelaire,Male
Claude Lefort,Male
Claude Lévi-Strauss,Male
Clement Greenberg,Male
Clive Bell,Male
Daniel Dennett,Male
Dasein,Unknown
David Abram,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Edith Stein,Female
Edmund Burke,Male
Edmund Husserl,Male
Eduard Hanslick,Male
Edward Said,Male
Emmanuel Levinas,Male
Ernst Cassirer,Male
Evan Thompson,Male
Francis Hutcheson (philosopher),Male
Francisco Varela,Male
Frank Cameron Jackson,Male
Frantz Fanon,Male
Franz Brentano,Male
Fred Dretske,Male
Fredric Jameson,Male
Friedrich Engels,Male
Friedrich Nietzsche,Male
Friedrich Schiller,Male
Friedrich Wilhelm Joseph Schelling,Male
Félix Guattari,Male
G. E. M. Anscombe,Unknown
Gabriel Marcel,Male
Gaston Bachelard,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Orwell,Male
George Santayana,Male
Georges Bataille,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giorgio Vasari,Male
Giovanni Gentile,Male
Gottfried Wilhelm Leibniz,Male
Guy Debord,Male
György Lukács,Male
Hannah Arendt,Female
Hans Urs von Balthasar,Male
Heidegger,Unknown
Henri Bergson,Male
Henri Lefebvre,Male
Herbert Marcuse,Male
Herman Van Breda,Male
Hubert Dreyfus,Male
Hugh J. Silverman,Male
Hélène Cixous,Female
I. A. Richards,Unknown
Immanuel Kant,Male
Iris Young,Female
J. L. Austin,Unknown
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Maritain,Male
Jacques Rancière,Male
James M. Edie,Male
Jean-Luc Nancy,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Hyppolite,Male
Jean Wahl,Male
Jerry Fodor,Male
Johann Gottlieb Fichte,Male
Johann Joachim Winckelmann,Male
Johann Wolfgang von Goethe,Male
John Dewey,Male
John Locke,Male
John Ruskin,Male
John Searle,Male
José Ortega y Gasset,Male
Judith Butler,Female
Julia Kristeva,Female
Jürgen Habermas,Male
Kama,Female
Karl Jaspers,Male
Karl Marx,Male
Khôra,Unknown
Leo Strauss,Male
Leon Battista Alberti,Male
Leszek Kołakowski,Male
Liu Xie,Unknown
Louis Althusser,Male
Ludwig Wittgenstein,Male
Lycée Louis-le-Grand,Unknown
Mark Fisher,Male
Martin Buber,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Blanchot,Male
Max Weber,Male
Michael Tye (philosopher),Male
Michel Foucault,Male
Michel Serres,Male
Nader El-Bizri,Male
Ned Block,Male
Nelson Goodman,Male
Niklas Luhmann,Male
Noema,Unknown
Oscar Wilde,Male
Oswald Spengler,Male
Patricia Churchland,Female
Paul Churchland,Male
Paul Cézanne,Male
Paul Klee,Male
Paul Ricœur,Male
Paul de Man,Male
Peter Sloterdijk,Male
Phénoménologie de la perception,Unknown
Pierre Bourdieu,Male
Pierre Livet,Male
R. G. Collingwood,Unknown
Raymond Aron,Male
Raymond Williams,Male
Richard Rorty,Male
Roger Fry,Male
Roger Scruton,Male
Roland Barthes,Male
Roman Ingarden,Male
Ron McClamrock,Male
Rosalyn Diprose,Female
Samuel Taylor Coleridge,Male
Shaun Gallagher,Male
Stephen Yablo,Male
Susanne Langer,Female
Terry Eagleton,Male
The Embodied Mind,Female
Theodor W. Adorno,Male
Thomas Aquinas,Male
Thomas Nagel,Male
Walter Benjamin,Male
Walter Pater,Male
Wilhelm Dilthey,Male
William James,Male
Xavier Tilliette,Male
Zhuang Zhou,Unknown
Zygmunt Bauman,Male
