Name,Gender
B. A.,Unknown
Bibcode (identifier),Unknown
Bill Joy,Male
Dan Hendrycks,Male
Daniel Eisenstein,Male
Edward Frenkel,Male
Eliezer Yudkowsky,Male
Frank Wilczek,Male
Geoffrey Hinton,Male
Harold S. Shapiro,Male
Hugh Everett,Male
Jaan Tallinn,Male
Joseph Silk,Male
K. Eric Drexler,Unknown
Lex Fridman,Male
Mark Oliver Everett,Male
Martin Rees,Male
Michio Kaku,Male
Nick Bostrom,Male
Nya Dagbladet,Unknown
"Parallel Worlds, Parallel Lives",Unknown
Paul Christiano (researcher),Male
Roger Penrose,Male
Roman Yampolskiy,Male
Sam Altman,Male
Sam Harris,Male
Stephen Hawking,Male
Steve Omohundro,Male
Stuart J. Russell,Male
Yoshua Bengio,Unknown
