Name,Gender
Adam Smith,Male
Alan Turing,Male
Albert Einstein,Male
Alfred North Whitehead,Male
Aloysius Cortie,Male
Arthur Schuster,Male
Balfour Stewart,Male
Bas van Fraassen,Male
Bell–Evans–Polanyi principle,Unknown
Bernard Mouat Jones,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Charles Sanders Peirce,Male
Cohn Duricz,Unknown
D. S. L. Cardwell,Unknown
David Hume,Male
Douglas Hartree,Male
Eaton Hodgkinson,Unknown
Edward Fletcher Cass,Male
Edward Holme,Male
Edward Schunck,Male
Edward William Binney,Male
Egon Orowan,Male
"Eric James, Baron James of Rusholme",Male
Eugene Wigner,Male
Eva Zeisel,Female
F. A. Hayek,Unknown
Francis Bacon,Male
Frederick Ernest Weiss,Male
Friederich Hayek,Male
Fritz Haber,Male
Geoffrey Ingram Taylor,Male
Geoffrey Jefferson,Male
George Holmes Howison,Male
Gestapo,Unknown
Gifford Lectures,Male
Grafton Elliot Smith,Unknown
Gusztáv Buchböck,Male
H. J. Fleure,Unknown
Hans Reichenbach,Male
Harold Baily Dixon,Male
Harry Prosch,Male
Harry S. Fairhurst,Male
Henri Poincaré,Male
Henry Alexander Miers,Male
Henry Enfield Roscoe,Male
Henry Lipson,Male
Henry Wilde (engineer),Male
Hubert Dreyfus,Male
Ian Hacking,Male
Imre Lakatos,Male
Isaac Newton,Male
J. H. Oldham,Unknown
James Cosmo Melvill (naturalist),Male
James Prescott Joule,Male
John Baker (biologist),Male
John Charles Polanyi,Male
John Dalton,Male
John Desmond Bernal,Male
John Polanyi,Male
Kari Polanyi Levitt,Female
Karl Mannheim,Male
Karl Pearson,Male
Karl Polanyi,Male
Karl Popper,Male
Larry Laudan,Male
Lawrence Bragg,Male
Manchester,Unknown
Manchester Literary and Philosophical Society,Unknown
Manchester Statistical Society,Unknown
Margaret Pilkington,Female
Marjorie Grene,Female
Melvin Calvin,Male
Michael Polanyi Center,Male
Mihály Károlyi,Male
Mill's Methods,Unknown
Nicolaus Copernicus,Male
Osborne Reynolds,Unknown
Otto Neurath,Male
Patrick Grant (academic),Male
Paul Craig Roberts,Male
Pierre Duhem,Male
Polanyi's paradox,Unknown
Reginald W. James,Male
Richard H. Bube,Male
Robert Angus Smith,Male
Robert Dukinfield Darbishire,Male
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Sydney J. Hickson,Male
T. B. L. Webster,Unknown
Terry Lectures,Male
Thomas Coward,Male
Thomas Henry (apothecary),Male
Thomas Kuhn,Male
Thomas Percival,Male
Weimar Germany,Unknown
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William Bailey (engineer),Male
William Boyd Dawkins,Male
William Crawford Williamson,Male
William Fairbairn,Male
Template:Manchester Literary and Philosophical Society,Unknown
Template talk:Manchester Literary and Philosophical Society,Unknown
