Name,Gender
Adam Gottlieb Weigen,Male
Alex Pacheco (activist),Male
Alfred Mansfield Mitchell,Male
Alice Crary,Female
Andrew Linzey,Male
Andrew Tyler,Male
André Géraud,Male
Antoine Goetschel,Male
Arthur Helps,Male
Arthur Schopenhauer,Male
Aymeric Caron,Male
Aysha Akhtar,Female
Barbi Twins,Female
Barry Horne (activist),Male
Bernard Rollin,Male
Bill Maher,Male
Bob Barker,Male
Brigid Brophy,Female
Brigitte Bardot,Female
Brigitte Gothière,Female
Bruce Friedrich,Male
Carol J. Adams,Female
Carole Baskin,Female
Cass Sunstein,Female
Charles Patterson (author),Male
Charles R. Magel,Male
Charlotte Laws,Female
Chris DeRose,Male
Clair Linzey,Male
Corey Lee Wrenn,Male
Craig Rosebraugh,Male
Dale Jamieson,Male
Dan Lyons,Male
Dan Mathews,Male
Daniel Dombrowski,Male
Darren Thurston,Male
David Chalmers,Male
David DeGrazia,Male
David Nibert,Male
David Olivier,Male
David Pearce (philosopher),Male
David Renaud Boullier,Male
David Sztybel,Male
Ed Winters,Male
Eden Gemeinnützige Obstbau-Siedlung,Female
Edith Carrington,Female
Edward Nicholson (librarian),Male
Edward Payson Evans,Male
Elizabeth's Gone Raw,Unknown
Elizabeth Farians,Female
Emarel Freshel,Unknown
Ernest Bell (animal rights activist),Male
Evanna Lynch,Female
Evelyn Pluhar,Female
Figs or Pigs?,Unknown
Fred Dretske,Male
Gary L. Francione,Male
Gary Steiner,Male
Gary Varner,Male
Gary Yourofsky,Male
Gelatin dessert,Unknown
Gene Baur,Male
Green Elephant Vegetarian Bistro,Unknown
Greg Avery,Male
Gretchen Wyler,Female
Hans Ruesch,Male
Heather Nicholson,Female
Henry B. Amos,Male
Henry Crowe (vicar),Male
Henry Spira,Male
Henry Stephens Salt,Male
Herman Daggett,Male
Hilda Kean,Female
Howard Lyman,Male
Humphrey Primatt,Male
Hunt sabotage,Unknown
J. Howard Moore,Unknown
J. Isaac Pengelly,Unknown
J. M. Coetzee,Unknown
Jack Norris (activist),Male
Jake Conroy,Male
James Aspey,Male
James Granger,Male
James Rachels,Male
Jasmin Singer,Female
Jean Meslier,Male
Jeff Sebo,Male
Jeremy Bentham,Male
Jerry Vlasak,Male
Jessica Pierce,Female
Jessie Mackay,Female
Jim Mason (activist),Male
Jo-Anne McArthur,Unknown
Joan Court,Female
Joan Dunayer,Female
Joey Carbstrong,Male
Johann Friedrich Ludwig Volckmann,Male
Johann Heinrich Winckler,Male
John Feldmann,Male
John Galsworthy,Male
John Hadley (philosopher),Male
John Hildrop,Male
John Lawrence (writer),Male
John Styles,Male
John Zephaniah Holwell,Male
Jon Wynne-Tyson,Male
Joseph Stratton (clergyman),Male
Josephine Donovan,Female
José Ferrater Mora,Male
Juliet Gellatley,Female
Jérôme Segal,Male
Karen Davis (activist),Female
Karen Dawn,Female
Karl Christian Friedrich Krause,Male
Keith Mann,Male
Kim Stallwood,Female
Kristin Andrews,Female
Kyle Johannsen,Female
Lacto-ovo vegetarianism,Unknown
Laurids Smith,Male
Lawrence Finsen,Male
Leonard Nelson,Male
Lewis Gompertz,Male
Lizzy Lind af Hageby,Female
Lori Gruen,Female
Louise Wallis,Female
Luísa Mell,Female
Lynda Stoner,Female
Maa Ka Doodh,Unknown
Marc Bekoff,Male
Marianne Thieme,Female
Marie Huot,Female
Mark Gold (activist),Male
Mark Rowlands,Male
Martha Nussbaum,Female
Martin Balluch,Male
Mary Anne Warren,Female
Mary Midgley,Female
Matt Ball,Male
Maud Ingersoll Probasco,Female
McLibel case,Unknown
Melanie Joy,Female
Millennium Guild,Unknown
Minerva Café,Female
Mona Caird,Female
Moosewood Cookbook,Unknown
Moosewood Restaurant,Unknown
"Muriel Dowding, Baroness Dowding",Female
Mylan Engel,Unknown
Nafovanny,Unknown
Nathaniel Peabody Rogers,Male
Ned Block,Male
Nell Shipman,Female
Norm Phelps,Unknown
Oscar Horta,Male
Paola Cavalieri,Female
Paul Waldau,Male
Peter Buchan,Male
Peter Singer,Male
Priscilla Cohn,Female
ProVeg Deutschland,Unknown
ProVeg Nederland,Unknown
Renan Larue,Female
Ric O'Barry,Unknown
Richard D. Ryder,Male
Richard Dean (curate),Male
Robert Garner,Male
Rod Coronado,Male
Ronnie Lee,Male
Royal Dixon,Male
Shelley's Vegetarianism,Unknown
Siobhan O'Sullivan,Female
Skinny Bitch,Unknown
Slutty Vegan,Unknown
Soame Jenyns,Unknown
Souley Vegan,Unknown
Soy yogurt,Unknown
Stephen R. L. Clark,Male
Stephen St. C. Bostock,Male
Steve F. Sapontzis,Male
Steven Best,Male
Steven M. Wise,Male
Sue Donaldson,Female
T. Forster,Unknown
Tal Gilboa,Unknown
Tatjana Višak,Female
Thomas G. Gentry,Male
Thomas Lepeltier,Male
Thomas Tryon,Male
Thomas Young (animal welfare writer),Male
Tom Beauchamp,Male
Tom Regan,Male
Valéry Giroux,Male
Vegan Outreach,Unknown
Vegetable Kingdom: The Abundant World of Vegan Recipes,Unknown
Vegetarian Cooking for Everyone,Unknown
Veggie Galaxy,Unknown
Veggie Grill,Unknown
Veggie Pride,Unknown
Veggie burger,Unknown
Wayne Hsiung,Male
Wendy Turner-Webster,Female
"Why We Love Dogs, Eat Pigs, and Wear Cows",Unknown
Wilhelm Dietler,Male
Will Kymlicka,Male
William Brown (veterinarian),Male
William Hamilton Drummond,Male
Your Mommy Kills Animals,Unknown
Yves Bonnardel,Male
