Name,Gender
Aja Huang,Female
AlphaGo versus Lee Sedol,Unknown
Bibcode (identifier),Unknown
Csaba Szepesvári,Male
Dan (rank),Male
David Silver (programmer),Male
Floyd–Warshall algorithm,Unknown
Ingo Althöfer,Male
Jaap van den Herik,Male
Johnson's algorithm,Unknown
Jump point search,Unknown
Kruskal's algorithm,Unknown
Lee Sedol,Male
Leela Chess Zero,Female
Levente Kocsis,Male
Lexicographic breadth-first search,Unknown
Markov Decision Processes,Unknown
Markov decision process,Unknown
Monte Carlo method,Male
Ms. Pac-Man,Unknown
Prim's algorithm,Unknown
Rémi Coulom,Male
Yen's algorithm,Unknown
Talk:Monte Carlo tree search,Unknown
