Name,Gender
Anders Sandberg,Male
Andrew Anthony,Male
Anthropic Bias (book),Unknown
Aubrey de Grey,Unknown
Ben Goertzel,Male
Bibcode (identifier),Unknown
Bill Gates,Male
Bill Joy,Male
Brandon Carter,Male
CGP Grey,Unknown
Cari Tuna,Female
Dan Hendrycks,Male
Daniel Dennett,Male
David Gobel,Male
David Pearce (philosopher),Male
David Pearce (transhumanist),Male
Dennis Overbye,Male
Derek Parfit,Male
Doing Good Better,Unknown
Doomsday argument,Unknown
Dustin Moskovitz,Male
Dyson sphere,Unknown
Eliezer Yudkowsky,Male
"Famine, Affluence, and Morality",Unknown
Fistula Foundation,Unknown
Frank J. Tipler,Male
Frank Wilczek,Male
Frederick Osborn,Male
Gennady Stolyarov II,Male
Geoffrey Hinton,Male
George Church (geneticist),Male
Greg Fahy,Male
Hans Moravec,Male
Herbert Spencer,Male
Hilary Greaves,Female
Holden Karnofsky,Male
Homo Deus: A Brief History of Tomorrow,Unknown
Hugo de Garis,Male
J. B. S. Haldane,Unknown
J. Robert Oppenheimer,Unknown
Jaan Tallinn,Male
James Hughes (sociologist),Male
John A. Leslie,Male
John D. Barrow,Male
John Harris (bioethicist),Male
José Luis Cordeiro,Male
Julian Huxley,Male
Julian Savulescu,Male
K. Eric Drexler,Unknown
Kevin Warwick,Male
Liv Boeree,Female
Mark Alan Walker,Male
Mark Gasson,Male
Martin Rees,Male
Martine Rothblatt,Female
Max More,Male
Max Tegmark,Male
Milan M. Ćirković,Male
Natasha Vita-More,Female
Neil Harbisson,Male
Nick Land,Male
Nikolai Fyodorov (philosopher),Male
Nikolai Fyodorovich Fyodorov,Male
Ole Martin Moen,Male
Oren Etzioni,Male
Paul Christiano (researcher),Male
Peter Singer,Male
Pierre Teilhard de Chardin,Male
Ray Kurzweil,Male
Regeln für den Menschenpark,Unknown
Robert Freitas,Male
Robin Hanson,Male
Roman Yampolskiy,Male
Sam Altman,Male
Sam Bankman-Fried,Male
Sam Harris,Male
Sapiens: A Brief History of Humankind,Unknown
Stefan Lorenz Sorgner,Male
Stephen Hawking,Male
Steve Fuller (sociologist),Male
Steve Omohundro,Male
Stuart J. Russell,Male
TED (conference),Unknown
Thus Spoke Zarathustra,Unknown
Toby Ord,Male
W. V. Quine,Unknown
William H. Andrews (biologist),Male
William MacAskill,Male
Yann LeCun,Male
Yoshua Bengio,Unknown
Yuval Harari,Male
Yuval Noah Harari,Male
Zoltan Istvan,Unknown
