Name,Gender
Adam Müller,Male
Albert Camus,Male
Albert Ludwigs University of Freiburg,Male
Alexander Bogdanov,Male
Alexander Lerner,Male
Alexandre Kojève,Male
Alexandre Koyré,Male
Alf Ross,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Antonio Gramsci,Male
Antonio Negri,Male
Arthur Schopenhauer,Male
Axel Hägerström,Male
Barbara J. Grosz,Female
Bartosz Brożek,Male
Benedetto Croce,Male
Benjamin N. Cardozo,Male
Bibcode (identifier),Unknown
Bruno Latour,Male
Bruno Leoni,Male
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Carl Schmitt,Male
Cesare Beccaria,Male
Charles A. S. Hall,Male
Charles François (systems scientist),Male
Chaïm Perelman,Unknown
Claude Bernard,Male
Claude Lévi-Strauss,Male
Claude Shannon,Male
Dasein,Unknown
Dharma,Unknown
Donella Meadows,Female
Edith Stein,Female
Edmund Husserl,Male
Edsger W. Dijkstra,Unknown
Edward Norton Lorenz,Male
Edward Said,Male
Edwin Mellen Press,Male
Elena Esposito,Female
Emmanuel Levinas,Male
Eric Trist,Male
Eric Voegelin,Male
Erich von Holst,Male
Ernst Cassirer,Male
Ernst von Glasersfeld,Male
Eugen Ehrlich,Male
Evgeny Pashukanis,Male
Faina Mihajlovna Kirillova,Female
Francis Heylighen,Male
Francisco Suárez,Male
Francisco Varela,Male
Frantz Fanon,Male
Fred Emery,Male
Frederic Vester,Male
Fredric Jameson,Male
Friedrich Carl von Savigny,Male
Friedrich Engels,Male
Friedrich Julius Stahl,Male
Friedrich Nietzsche,Male
Friedrich Wilhelm Joseph Schelling,Male
Félix Guattari,Male
G. Spencer-Brown,Unknown
Gabriel Marcel,Male
Gaston Bachelard,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
Georg Wilhelm Friedrich Hegel,Male
George Dantzig,Male
George Klir,Male
Georges Bataille,Male
Georges Gurvitch,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Guy Debord,Male
György Lukács,Male
H. L. A. Hart,Unknown
Hannah Arendt,Female
Hans Kelsen,Male
Hegel Prize,Unknown
Heinz von Foerster,Male
Helmut Schelsky,Male
Henri Bergson,Male
Henri Lefebvre,Male
Herbert Marcuse,Male
Howard T. Odum,Male
Humberto Maturana,Male
Hélène Cixous,Female
I. A. Richards,Unknown
Igor Aleksander,Male
Immanuel Kant,Male
Jacque Fresco,Female
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Rancière,Male
Jakob Johann von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jean-Luc Nancy,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jennifer Wilby,Female
Jeremy Bentham,Male
Johann Georg Hamann,Male
Johann Gottlieb Fichte,Male
Johann Wolfgang Goethe University Frankfurt am Main,Male
John Austin (legal philosopher),Male
John Finnis,Male
John N. Warfield,Male
John Rawls,Male
John Seddon,Male
Joseph Raz,Male
Joseph de Maistre,Male
José Ortega y Gasset,Male
Judith Butler,Female
Julia Kristeva,Female
Jürgen Habermas,Male
Karl Jaspers,Male
Karl Llewellyn,Male
Karl Ludwig von Haller,Male
Karl Marx,Male
Karl Olivecrona,Male
Karl Popper,Male
Karl Renner,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kohlhammer Verlag,Unknown
Leo Strauss,Male
Leon Petrażycki,Male
Leszek Kołakowski,Male
Li (Neo-Confucianism),Unknown
Lon L. Fuller,Female
Louis Althusser,Male
Luftwaffenhelfer,Unknown
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Maren Lehmann,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mark Fisher,Male
Martha Nussbaum,Female
Martin Buber,Male
Martin Heidegger,Male
Mary Cartwright,Female
Maurice Blanchot,Male
Maurice Merleau-Ponty,Male
Max Weber,Male
Michael Walzer,Male
Michel Foucault,Male
Michel Serres,Male
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Norbert Wiener,Male
Norberto Bobbio,Male
Oswald Spengler,Male
Paul Ricœur,Male
Paul Wühr,Male
Paul de Man,Male
Peter Fuchs (sociologist),Male
Peter Senge,Male
Peter Sloterdijk,Male
Petro Grigorenko,Male
Pierre Bourdieu,Male
Qian Xuesen,Unknown
Radhika Nagpal,Female
Raffaele De Giorgi,Male
Ranulph Glanville,Unknown
Raymond Aron,Male
Raymond Williams,Male
Richard Buckminster Fuller,Male
Richard E. Bellman,Male
Richard Posner,Male
Robert Alexy,Male
Robert Bork,Male
Robert Trappl,Male
Roberto Mangabeira Unger,Male
Roland Barthes,Male
Roman Ingarden,Male
Ronald Dworkin,Male
Roscoe Pound,Male
Rudolf Stichweh,Male
Rudolf von Jhering,Male
Rumi,Female
Russell L. Ackoff,Male
Samuel von Pufendorf,Male
Sergei P. Kurdyumov,Male
Shang Yang,Unknown
Stafford Beer,Male
Stephanie Forrest,Female
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Terry Eagleton,Male
Theodor W. Adorno,Male
Thomas Aquinas,Male
Thomas Hobbes,Male
Ulrich Sonnemann,Male
Usul al-Fiqh,Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
W. Ross Ashby,Unknown
Walter Benjamin,Male
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Weimar Germany,Unknown
Wilhelm Dilthey,Male
William Blackstone,Male
William Grey Walter,Male
William Ross Ashby,Male
Zettelkasten,Unknown
Zygmunt Bauman,Male
Émile Durkheim,Unknown
