Name,Gender
9-11 (Noam Chomsky),Unknown
A. J. Ayer,Unknown
Aaron Swartz,Male
Abbie Hoffman,Female
Abdul Latif Jameel Poverty Action Lab,Male
Abdullah Öcalan,Male
Abraham Maslow,Male
Adam Jones (Canadian scholar),Male
Adam Smith,Male
Adolph Fischer,Male
Adrien Marquet,Male
Al-Farabi,Unknown
Al-Ghazali,Unknown
Alan Dershowitz,Male
Alan Turing,Male
Albert Bandura,Male
Albert Camus,Male
Albert Einstein,Male
Albert Jay Nock,Male
Aldous Huxley,Male
Alec Marantz,Male
Alex Carey (writer),Male
Alexander Berkman,Male
Alexander Dubček,Male
Alexander Herzen,Male
Alexander Pruss,Male
Alexandra Kollontai,Female
Alexandre Auguste Ledru-Rollin,Male
Alexis de Tocqueville,Male
Alfie Kohn,Unknown
Alfred Kinsey,Male
Alfred Russel Wallace,Male
Alfred Tarski,Male
Alfredo Bonanno,Male
Ali Shariati,Male
Alice Crary,Female
Alvin Plantinga,Male
Amos Tversky,Male
Amy Goodman,Female
Anarchism in French Guiana,Unknown
Andrea Moro,Female
Andrew Carnie,Male
Andrew Whiten,Male
Angela Heywood,Female
Ann Nocenti,Female
Anne Campbell (academic),Female
Anne Fernald,Female
Anthony Stevens (Jungian analyst),Male
Anton Pannekoek,Male
Antonie Pannekoek,Female
Antonio Gramsci,Male
Antonio Negri,Male
April Baker-Bell,Female
Arif Ahmed (philosopher),Male
Arthur Scargill,Male
Assassination of William McKinley,Unknown
Atlas Shrugged,Unknown
Auberon Herbert,Unknown
Aung San,Unknown
Aurelio José Figueredo,Male
Ayn Rand,Female
B. F. Skinner,Unknown
B. R. Ambedkar,Unknown
B. T. Ranadive,Unknown
Ba Jin,Male
Barbara Partee,Female
Barbara Scholz,Female
Barry Goldwater,Male
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin Franklin Medal (Franklin Institute),Male
Benjamin Tucker,Male
Bernard Crespi,Male
Bernard Williams,Male
Bernie Sanders,Female
Bertolt Brecht,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Biennio Rosso,Unknown
Bill Press,Male
Biolinguistics,Unknown
Bob Crow,Male
Bono,Male
Bretton Woods financial control agreement,Male
Brezhnev Doctrine,Unknown
Brian MacWhinney,Male
Bruce J. Ellis,Male
Bruce McEwen,Male
C.-T. James Huang,Unknown
C. D. Broad,Unknown
C. West Churchman,Unknown
Calvin Coolidge,Male
Carel van Schaik,Male
Carl Gustav Hempel,Male
Carl Jung,Male
Carl Rogers,Male
Carl Schmitt,Male
Carl von Ossietzky,Male
Carol Chomsky,Female
Carol Doris Schatz,Female
Carol Schatz,Female
Cartesian Linguistics,Unknown
Cartesian Linguistics: A Chapter in the History of Rationalist Thought,Unknown
Casimir Lewy,Male
Catholic Worker,Unknown
Cesare Beccaria,Male
Charles Darwin,Male
Charles F. Hockett,Male
Charles Fourier,Male
Charles Hall (economist),Male
Charles Maurras,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Charles Yang (linguist),Male
Charlie Savage (author),Male
Cherry picking,Female
Chomsky's Universal Grammar: An Introduction,Unknown
Chris Hedges,Male
Christine Korsgaard,Female
Christopher Badcock,Male
Christopher Boehm,Male
Christopher Hitchens,Male
Cindy Milstein,Female
Claire Démar,Female
Clara Zetkin,Female
Clarissa Dixon,Female
Clark L. Hull,Male
Claude Lefort,Male
Claude Shannon,Male
Claus Wedekind,Male
Clement Attlee,Male
Clinton Fernandes,Male
Colin McGinn,Male
Colin Ward,Male
Common Ground Collective,Unknown
Constantin Pecqueur,Male
Cora Diamond,Female
Crispin Wright,Male
Cronaca Sovversiva,Unknown
Cynthia Maung,Female
César Milstein,Male
D.T. Lakdawala,Unknown
D. Lawrence Kincaid,Unknown
Dan Sperber,Male
Daniel Dennett,Male
Daniel Everett,Male
Daniel Fessler,Male
Daniel Guérin,Male
Daniel Kahneman,Male
Daniel Nettle,Male
Dante Alighieri,Male
Darcia Narvaez,Unknown
David A. Kessler,Male
David Buss,Male
David C. Geary,Male
David Chalmers,Male
David D. Friedman,Male
David F. Bjorklund,Male
David Graeber,Male
David Horowitz,Male
David Hume,Male
David Lewis (philosopher),Male
David M. Perlmutter,Male
David Malet Armstrong,Male
David McClelland,Male
David P. Schmitt,Male
David Perrett,Male
David Pesetsky,Male
David Sloan Wilson,Male
David Wise (journalist),Male
De re publica,Unknown
Deborah Tannen,Female
Deng Xiaoping,Unknown
Deng Xiaoping Theory,Unknown
Denis Dutton,Male
Denise Levertov,Female
Der Spiegel,Unknown
Derek Bickerton,Male
Derek Parfit,Male
Desmond Tutu,Male
Deutsche Akademie der Naturforscher Leopoldina,Unknown
Diana Fleischman,Female
Diane Massam,Female
Diego Abad de Santillán,Male
Dominic D. P. Johnson,Male
Donald Brown (anthropologist),Male
Donald Davidson (philosopher),Male
Donald Knuth,Male
Donald L. Barlett,Male
Donald O. Hebb,Male
Donald Symons,Male
Donald T. Campbell,Male
Dorothy Day,Female
Douglas T. Kenrick,Male
"Duncan Campbell (journalist, born 1944)",Male
Dwight Bolinger,Male
Dwight Macdonald,Male
Dyer Lum,Unknown
E. Haldeman-Julius,Unknown
E. M. S. Namboodiripad,Unknown
E. O. Wilson,Unknown
E. P. Thompson,Unknown
"East Oak Lane, Philadelphia",Unknown
Ed Diener,Male
Edmund Burke,Male
Edmund Gettier,Male
Eduard Bernstein,Male
Edward Bellamy,Male
Edward Carpenter,Male
Edward Klima,Male
Edward Marcotte,Male
Edward S. Herman,Male
Edward Said,Male
Edward Thorndike,Male
Edwin S. Williams,Male
Efim Yarchuk,Male
Einar Gerhardsen,Male
Elaine Weyuker,Female
Elliot Aronson,Male
Emma Goldman,Female
Erdős number,Unknown
Eric Alterman,Male
Eric Hobsbawm,Male
Eric Voegelin,Male
Erich Fromm,Male
Erich Fromm Prize,Male
Erik Erikson,Male
Ernest Hilgard,Male
Ernest Nagel,Male
Ernest Renan,Male
Ernest Sosa,Male
Ernesto Laclau,Male
Ernst Fehr,Male
Ernst Niekisch,Male
Errico Malatesta,Male
Escuela Moderna,Unknown
Eugene Linden (author),Male
Eugene V. Debs,Male
Everett Rogers,Male
Evo Morales,Unknown
Ezra Heywood,Male
Faiz Ahmad Faiz,Male
Faurisson affair,Unknown
Ferdinand Lassalle,Male
Francesc Pi i Margall,Male
Francine Patterson,Female
Francis Fukuyama,Male
Francisco Ferrer,Male
Francisco Suárez,Male
Frank P. Ramsey,Male
Frank Sulloway,Male
François Mitterrand,Male
Fraye Arbeter Shtime,Unknown
Fred Hampton,Male
Fred Lerdahl,Male
Fred M. Taylor,Male
Fred Paterson,Male
Fredy Perlman,Male
Freeman on the land movement,Male
Friedrich Engels,Male
Friedrich Hayek,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Friedrich Wilhelm Schulz,Male
G. D. H. Cole,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel Bonnot de Mably,Male
Gad Saad,Male
Gaetano Mosca,Male
Gaetano Salvemini,Male
Gamal Abdel Nasser,Male
Garry Trudeau,Male
Gary Johnson,Male
Gemistos Plethon,Unknown
Geoff Pullum,Male
Geoffrey Miller (psychologist),Male
Geoffrey Pullum,Male
Georg Büchner,Male
Georg Wilhelm Friedrich Hegel,Male
George Armitage Miller,Male
George Bernard Shaw,Male
George Christopher Williams,Male
George Gerbner,Male
George Gittoes,Male
George Herbert Mead,Male
George Jackson Brigade,Male
George Lakoff,Male
George Monbiot,Male
George Orwell,Male
George Sand,Male
Georges J. F. Köhler,Male
Georges Sorel,Male
Georgi Plekhanov,Male
Gerd Gigerenzer,Male
Gift economy,Unknown
Gilbert Harman,Male
Gilbert Ryle,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Giuseppe Mazzini,Male
Giuseppe Peano,Male
Glenn Greenwald,Male
Glenn Wilson (psychologist),Male
Golos Truda,Unknown
Gordon Allport,Male
Gordon G. Gallup,Male
Gordon Orians,Male
Gottfried Wilhelm Leibniz,Male
Grace Lee Boggs,Female
Graham Priest,Male
Green Building (MIT),Unknown
Gregory Bateson,Male
Grigorii Maksimov,Male
Grover Cleveland,Male
Gulsat Aygen,Unknown
Gustav Landauer,Male
Gustave Le Bon,Male
Gustave de Molinari,Male
Guy Debord,Male
György Lukács,Male
H. G. Wells,Unknown
Hafez al-Assad,Male
Haig Bosmajian,Male
Hanan Ashrawi,Female
Hannah Arendt,Female
Hans-Hermann Hoppe,Unknown
Hans Blix,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Harold Innis,Male
Harold Pinter,Male
Harry Harlow,Male
Harvey Mansfield,Male
He Zhen (anarchist),Unknown
Helen Macfarlane,Female
Helmholtz Medal,Unknown
Henri Barbusse,Male
Henri Lefebvre,Male
Henri de Saint-Simon,Male
Henry Appleton (anarchist),Male
Henry David Thoreau,Male
Henry George,Male
Henry Plotkin,Male
"Henry St John, 1st Viscount Bolingbroke",Male
Herbert A. Simon,Male
Herbert Gintis,Male
Herbert Marcuse,Male
Herbert Spencer,Male
Hiratsuka Raichō,Unknown
Ho Chi Minh Thought,Male
Hobbes's moral and political philosophy,Unknown
Howard Lasnik,Male
Howard Zinn,Male
Hu Jintao,Unknown
I. A. Richards,Unknown
Ian Hacking,Male
Ian Tattersall,Male
Ibn Khaldun,Unknown
Ida Mett,Female
Immanuel Kant,Male
Imre Nagy,Male
Irene Khan,Female
Irving Janis,Male
Irwin Silverman,Male
Isaiah Berlin,Male
Ivan Pavlov,Male
Ivan Sag,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
J. P. Guilford,Unknown
J. William Lloyd,Unknown
Jaak Panksepp,Male
Jaakko Hintikka,Male
Jack Layton,Male
Jacobin (magazine),Unknown
Jacques Ellul,Male
Jacques Mehler,Male
Jaegwon Kim,Unknown
Jaklin Kornfilt,Unknown
James B. Steele,Male
James Burnham,Male
James Connolly,Male
James D. McCawley,Male
James F. Conant,Male
James Guillaume,Male
James L. Walker,Male
James Larkin,Male
James Madison,Male
James VI and I,Male
James W. Tankard Jr.,Male
Jan Koster,Male
Janet Biehl,Female
Janet Dean Fodor,Female
Janusz Korwin-Mikke,Male
Jared Diamond,Male
Jason Brennan,Male
Javier Milei,Male
Jawaharlal Nehru,Unknown
Jay Belsky,Male
Jean-Jacques Rousseau,Unknown
Jean-Paul Sartre,Male
Jean Bodin,Male
Jean Bricmont,Male
Jean Jaurès,Male
Jean Piaget,Male
Jeremy Bentham,Male
Jeremy Corbyn,Male
Jeremy Hammond,Male
Jerome Bruner,Male
Jerome H. Barkow,Male
Jerome Kagan,Male
Jerry Fodor,Male
Jesse Bering,Male
Jiang Zemin,Unknown
Jo Jorgensen,Unknown
Jo Labadie,Unknown
Joan Bresnan,Female
Joe Hill (activist),Male
Johann Gottfried Herder,Male
Johann Gottlieb Fichte,Male
Johann Most,Male
John B. Watson,Male
John Backus,Male
John Benjamins Publishing Company,Male
John Bowlby,Male
John Calvin,Male
John Crook (ethologist),Male
John D. Hawks,Male
John Deutch,Male
John Dewey,Male
John Dupré,Male
John Goldsmith (linguist),Male
John Goodwyn Barmby,Male
John Locke,Male
John Locke Lectures,Male
John Lyons (linguist),Male
John McDowell,Male
John Milton,Male
John Nichols (journalist),Male
John Pilger,Male
John R. Ross,Male
John Rawls,Male
John Robert Anderson (psychologist),Male
John Searle,Male
John Stauber,Male
John Stossel,Male
John Stuart Mill,Male
John Tooby,Male
John Zerzan,Male
Jon Stewart,Male
Jonathan Bobaljik,Male
Jonathan Haidt,Male
Jonathan Kay,Male
Josep Call,Male
Joseph Bulbulia,Male
Joseph Carroll (scholar),Male
Joseph Déjacque,Male
Joseph E. LeDoux,Male
Joseph Henrich,Male
Joseph Stiglitz,Male
Joseph de Maistre,Male
Joshua K. Ingalls,Male
Joshua Tybur,Male
Josiah Warren,Male
José Carlos Mariátegui,Male
José Ortega y Gasset,Male
Juan Donoso Cortés,Male
Judi Bari,Female
Judith Rich Harris,Female
Julian Assange,Male
Julian Burnside,Male
Julian C. Boyd,Male
Julian Simon,Male
Julie Anne Legate,Female
Juliet Schor,Female
Justin L. Barrett,Male
Justus Schwab,Male
Jyoti Basu,Female
Jürgen Habermas,Male
Kanno Sugako,Unknown
Karl Hess,Male
Karl Kautsky,Male
Karl Korsch,Male
Karl Liebknecht,Male
Karl Ludwig von Haller,Male
Karl Marx,Male
Karl Polanyi,Male
Karl Popper,Male
Kate Austin,Female
Kate Sharpley Library,Female
Katherine Nelson,Female
Keith Donnellan,Male
