Name,Gender
A. Paul Alivisatos,Unknown
Abe Gelbart,Male
Abel Wolman,Male
Akiva Eger,Male
Al Andalus,Male
Albert Bandura,Male
Albert Overhauser,Male
Albert Sabin,Male
Alberto Calderón,Male
Alexander Bogdanov,Male
Alexander Lerner,Male
Alexander Rich,Male
Alexandre Chorin,Male
Alfred North Whitehead,Male
Alfred Radcliffe-Brown,Male
Alfred Sturtevant,Male
Alfred Y. Cho,Male
Allan McLeod Cormack,Male
Allan R. Sandage,Male
Allen J. Bard,Male
Allen Newell,Male
Allenna Leonard,Unknown
Amar Bose,Male
Amnon Yariv,Male
Anatol Rapoport,Male
Andrew Viterbi,Male
Angela Belcher,Female
Ann Graybiel,Female
Anne Anastasi,Female
Anne Treisman,Female
Anthony Fauci,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Antoni Zygmund,Male
Arnold O. Beckman,Male
Arthur Kornberg,Male
Arthur L. Schawlow,Male
Arturo Rosenblueth,Male
B. F. Skinner,Unknown
Banach algebra,Unknown
Banach space,Unknown
Barbara J. Grosz,Female
Barbara McClintock,Female
Barry Barish,Male
Barry Mazur,Male
Bernard Brodie (biochemist),Male
Bernard M. Oliver,Male
Berni Alder,Male
Bert W. O'Malley,Male
Berta Scharrer,Female
Bertrand Russell,Male
Bill Hewlett,Male
Bonnie Bassler,Female
Boston Herald,Unknown
Bradley Efron,Male
Brockway McMillan,Unknown
Brownian motion,Unknown
Bruce Alberts,Male
Bruce Ames,Male
Bruno B. Rossi,Male
Buckminster Fuller,Unknown
Burton Richter,Male
Béla H. Bánáthy,Male
C. B. van Niel,Unknown
C. Kumar N. Patel,Unknown
C. West Churchman,Unknown
Calvin F. Quate,Male
Calyampudi Radhakrishna Rao,Unknown
Carl Djerassi,Male
Carl R. de Boor,Male
Carl S. Marvel,Male
Carl Woese,Male
Carroll William Dodge,Male
Charles A. S. Hall,Male
Charles François (systems scientist),Male
Charles H. Townes,Male
Charles Keeling,Male
Charles Pence Slichter,Male
Charles S. Draper,Male
Charles Yanofsky,Male
Chien-Shiung Wu,Unknown
Chu Ching-wu,Unknown
Clarence L. Johnson,Male
Claude Bernard,Male
Claude E. Shannon,Male
Claude Shannon,Male
Colin Cherry,Male
Craig Venter,Male
Cynthia Dwork,Female
D. Allan Bromley,Unknown
Daniel C. Drucker,Male
Daniel E. Koshland Jr.,Male
Daniel I. Arnon,Male
Daniel Kleppner,Male
Daniel Nathans,Male
Darleane C. Hoffman,Unknown
David B. Mumford,Male
David Baltimore,Male
David Blackwell,Male
David G. Nathan,Male
David Hilbert,Male
David J. Wineland,Male
Dennis Sullivan,Male
Detlev Bronk,Male
Don L. Anderson,Male
Donald C. Spencer,Male
Donald Henderson,Male
Donald J. Cram,Male
Donald Knuth,Male
Donald L. Katz,Male
Donald Van Slyke,Male
Donella Meadows,Female
Dorothy Walcott Weeks,Female
Dudley R. Herschbach,Male
E. Donnall Thomas,Unknown
E. Margaret Burbidge,Unknown
E. O. Wilson,Unknown
Earl R. Parker,Male
Earl Reece Stadtman,Male
Earl W. Sutherland Jr.,Male
Edgar Bright Wilson,Male
Edmund F. Robertson,Male
Edmund Husserl,Male
Edmund Landau,Male
Edsger W. Dijkstra,Unknown
Edward B. Lewis,Male
Edward C. Stone,Male
Edward F. Knipling,Male
Edward H. Heinemann,Male
Edward M. Purcell,Male
Edward Norton Lorenz,Male
Edward Teller,Male
Edward Vermilye Huntington,Male
Edward Witten,Male
Edwin H. Land,Male
Edwin M. McMillan,Male
Edwin N. Lightfoot,Male
Efraim Racker,Male
Elaine Fuchs,Female
Eleanor J. Gibson,Female
Eli Ruckenstein,Female
Elias J. Corey,Male
Elias M. Stein,Male
Elizabeth C. Crosby,Female
Elizabeth F. Neufeld,Female
Elkan Blout,Unknown
Elvin A. Kabat,Male
Emery N. Brown,Male
Emmett N. Leith,Male
Eric Kandel,Male
Eric Trist,Male
Erich von Holst,Male
Ernest R. Davidson,Male
Ernst Mayr,Male
Ernst Schröder (mathematician),Male
Ernst Weber (engineer),Male
Ernst von Glasersfeld,Male
Erwin Chargaff,Male
Erwin Wilhelm Müller,Male
Esther M. Conwell,Female
Eugene M. Shoemaker,Male
Eugene Parker,Male
Eugene Wigner,Male
Eve Marder,Female
Evelyn M. Witkin,Female
F. Albert Cotton,Unknown
Faina Mihajlovna Kirillova,Female
Far side (Moon),Unknown
Fay Ajzenberg-Selove,Female
Felix Browder,Male
Flo Conway,Unknown
Folke K. Skoog,Male
Francis Birch (geophysicist),Male
Francis Collins,Male
Francis Heylighen,Male
Francis Peyton Rous,Male
Francisco J. Ayala,Male
Francisco Varela,Male
Frank H. Westheimer,Male
Frank Press,Male
Fred Emery,Male
Frederic Vester,Male
Frederick Reines,Male
Frederick Rossini,Male
Frederick Seitz,Male
Frederick Terman,Male
Fritz Albert Lipmann,Male
G. David Tilman,Unknown
G. Evelyn Hutchinson,Unknown
G. H. Hardy,Unknown
G. Ledyard Stebbins,Unknown
Gary Becker,Male
Gebisa Ejeta,Unknown
Gene Likens,Male
Generalized Wiener process,Unknown
Genevieve Bell,Female
Geoffrey Vickers,Male
George Armitage Miller,Male
George Bass (archaeologist),Male
George C. Pimentel,Male
George Dantzig,Male
George David Birkhoff,Male
George E. Mueller,Male
George Emil Palade,Male
George F. Carrier,Male
George Gaylord Simpson,Male
George H. Heilmeier,Male
George Kistiakowsky,Male
George Klir,Male
George Low,Male
George M. Whitesides,Male
George Pake,Male
George S. Hammond,Male
George Stigler,Male
George Uhlenbeck,Male
George W. Housner,Male
George Wetherill,Male
George Zames,Male
Geraldine L. Richmond,Female
Gilbert F. White,Male
Gilbert Stork,Male
Glenn T. Seaborg,Male
Glenn W. Burton,Male
Gordon H. Bower,Male
Gordon Pask,Male
Gordon S. Brown,Male
Graduate Texts in Mathematics,Unknown
Gregory Bateson,Male
Gregory Breit,Male
Gregory Petsko,Male
H. Bolton Seed,Unknown
H. Guyford Stever,Unknown
H. Richard Crane,Unknown
