Name,Gender
Aaron Koblin,Male
Ade Olufeko,Female
Adolphe Quetelet,Male
Alan MacEachren,Male
Alfred Inselberg,Male
André-Michel Guerry,Unknown
Arthur H. Robinson,Male
Arthur Lyon Bowley,Male
Bang Wong,Unknown
Ben Fry,Male
Ben Shneiderman,Male
Bertrand Russell,Male
Bruce H. McCormick,Male
Callwey Verlag,Unknown
Catherine Plaisant,Female
Charles Booth (social reformer),Male
Charles Dupin,Male
Charles Joseph Minard,Male
Charles W. Morris,Male
Christopher Burke (design writer),Male
Christopher R. Johnson,Male
Claudio Silva (computer scientist),Male
Clifford A. Pickover,Male
Cosma Shalizi,Female
Cynthia Brewer,Female
D. Reidel,Unknown
Danilo Zolo,Male
David Goodsell,Male
David McCandless,Male
Der Kampf (magazine),Unknown
Dr. phil. hab.,Unknown
Edgar Anderson,Male
Edmond Halley,Male
Eduard Meyer,Male
Edward Tufte,Male
Edward Walter Maunder,Male
Ejnar Hertzsprung,Male
Elisabeth Nemeth,Female
Ernst Mach,Male
Erwin Raisz,Male
Fernanda Viégas,Female
Francis Amasa Walker,Male
Francis Galton,Male
Frederick Winslow Taylor,Male
Friedrich Stadler,Male
Fritz Kahn,Male
George Furnas,Male
George G. Robertson,Male
Gordon Kindlmann,Male
Gustav Schmoller,Male
Hadley Wickham,Female
Hans Rosling,Male
Hanspeter Pfister,Male
Harry Beck,Male
Helene Migerka,Female
Henry Gantt,Male
Henry Norris Russell,Male
Hermann Kranold,Male
Howard G. Funkhouser,Male
Howard T. Fisher,Male
Howard Wainer,Male
J. Cat,Unknown
Jacobin (magazine),Unknown
Jacques Bertin,Male
James George Frazer,Male
Jeffrey Heer,Male
Jessica Hullman,Female
Jim Holt (philosopher),Male
Jock D. Mackinlay,Male
John B. Peddle,Male
John Maeda,Male
John O'Neill (philosopher),Male
John Snow,Male
John Tukey,Male
John Venn,Male
Joseph Priestley,Male
Julius Tandler,Male
Karl Kautsky,Male
Karl Seitz,Male
Karl Sigmund,Male
Karl Wilhelm Pohlke,Male
Keith Stanovich,Male
Kwan-Liu Ma,Unknown
Lawrence J. Rosenblum,Male
Leland Wilkinson,Male
Ludwig von Mises,Male
Manuel Lima,Male
Map,Unknown
Marie Neurath,Female
Martin M. Wattenberg,Male
Mary Eleanor Spear,Female
Matthew Eve,Male
Matthew Henry Phineas Riall Sankey,Male
Mauro Martino,Male
Max O. Lorenz,Male
Merriam-Webster,Unknown
Michael Friendly,Male
Michael Maltz,Male
Miriah Meyer,Unknown
Moritz Stefaner,Male
NAi Publishers,Unknown
Nader Vossoughian,Male
Nancy Cartwright (philosopher),Female
Nigel Holmes,Male
Olga Hahn-Neurath,Female
Oliver Byrne (mathematician),Male
Oswald Spengler,Male
Pat Hanrahan,Unknown
Peter Lang Internationaler Verlag der Wissenschaften,Male
R. S. Cohen,Unknown
Robert S. Cohen,Male
Rotterdam Blitz,Unknown
Rudolf Carnap,Male
Rudolf Modley,Male
Sheelagh Carpendale,Female
Sophie Hochhäusl,Female
Stuart Card,Male
T. Uebel,Unknown
Tamara Munzner,Female
Thomas A. DeFanti,Male
Toussaint Loua,Male
Ulrich Arnswald,Male
Vienna Circle,Female
W. E. B. Du Bois,Unknown
Wilhelm Neurath,Male
Willard Van Orman Quine,Male
William Playfair,Male
William S. Cleveland,Male
Wolfgang Schumann (1887-1964),Male
