Name,Gender
Alan Kay,Male
Andrea diSessa,Female
Androula Henriques,Female
Apartheid,Unknown
Atari Logo,Unknown
B. A.,Unknown
Bigloo,Unknown
Bombardier Challenger,Unknown
Brian Harvey (lecturer),Male
Cadence SKILL,Female
Carl Hewitt,Male
Common Lisp HyperSpec,Unknown
Cynthia Solomon,Female
Daniel G. Bobrow,Male
Daniel Weinreb,Male
David A. Moon,Male
David Luckham,Male
David Park (computer scientist),Male
David Williamson Shaffer,Male
Denison Bollay,Unknown
Dona Strauss,Female
Dylan (programming language),Male
Edmund Berkeley,Male
Edwina Rissland,Female
Frank Smithies,Male
GNU Common Lisp,Unknown
Genera (operating system),Unknown
Gerald Jay Sussman,Male
Greenspun's tenth rule,Unknown
Guy L. Steele Jr.,Male
Hal Abelson,Male
Honoris causa,Unknown
Idit Harel Caperton,Female
Jean Piaget,Male
Joel Moses,Male
John McCarthy (computer scientist),Male
Julie Sussman,Female
Kawa (Scheme implementation),Unknown
Kent Pitman,Male
L'Hôpital Français De Hanoï,Unknown
L. Rafael Reif,Unknown
Lego Logo,Unknown
Logo (programming language),Unknown
Louis Hodes,Male
MLisp,Unknown
Marvin Minsky,Male
Matthew Flatt,Male
Matthias Felleisen,Male
McCLIM,Unknown
"Mindstorms: Children, Computers, and Powerful Ideas",Unknown
Mitchel Resnick,Male
Papert's principle,Unknown
Paul Graham (programmer),Male
Philip Greenspun,Male
Phyllis Fox,Female
R. Kent Dybvig,Unknown
Richard Greenblatt (programmer),Male
Richard P. Gabriel,Male
Richard Stallman,Male
Robert Bruce Findler,Male
Robert Tappan Morris,Male
Robin Popplestone,Male
Rod Burstall,Male
SCM (Scheme implementation),Unknown
Scott Fahlman,Male
Sherry Turkle,Female
Steve Russell (computer scientist),Male
Suzanne Massie,Female
Terry Winograd,Male
Uri Wilensky,Male
Wally Feurzeig,Male
William Clinger (computer scientist),Male
Xanalys,Unknown
