Name,Gender
Abel Rey,Male
Albert Einstein,Male
Alfred North Whitehead,Male
Bas van Fraassen,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
C. D. Broad,Unknown
Carcassonne,Unknown
Carl Gustav Hempel,Male
Charles Sanders Peirce,Male
Collège Stanislas de Paris,Unknown
Condorcet,Unknown
Continuum mechanics,Unknown
David C. Lindberg,Male
David Hume,Male
E. J. Dijksterhuis,Unknown
Ernst Mach,Male
Francis Bacon,Male
Gottfried Wilhelm Leibniz,Male
Hans Reichenbach,Male
Henri Poincaré,Male
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Newton,Male
James Clerk Maxwell,Male
Johannes Kepler,Male
John Buridan,Male
Josiah Willard Gibbs,Male
Karl Pearson,Male
Karl Popper,Male
Kepler,Unknown
"Kraków, Poland",Unknown
Larry Laudan,Male
Ludwig Boltzmann,Male
Marcellin Berthelot,Male
Michael Polanyi,Male
Mill's Methods,Unknown
Nicole Oresme,Female
Otto Neurath,Male
Philosophiae Naturalis Principia Mathematica,Unknown
Pierre Joseph Duhem,Male
Roger Ariew,Male
Roger Bacon,Male
Rudolf Carnap,Male
Rudolf Steiner,Male
Simplicius of Cilicia,Unknown
Summa Theologica,Unknown
Thomas Kuhn,Male
Wilhelm Windelband,Male
Willard Van Orman Quine,Male
William Rankine,Male
