Name,Gender
1997 Banjarmasin riot,Unknown
2006 Nukuʻalofa riots,Unknown
Adriaan Valckenier,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Andrew Jackson Bryant,Male
Ann Tse-kai,Female
Anthony Wilden,Male
April 2014 Ürümqi attack,Female
Ba Jin,Male
Bagatur,Unknown
Bersiap,Unknown
Buckminster Fuller,Unknown
Cai Tingkai,Male
Cassini–Huygens,Unknown
Chae Chan Ping v. United States,Unknown
Chang Yinfo,Unknown
Charles François (systems scientist),Male
Chen Fangyun,Unknown
Chen Jinhua,Unknown
Chen Junliang,Unknown
Chen Junsheng,Unknown
Chen Kuiyuan,Unknown
Chen Kun,Unknown
Chen Liwei,Unknown
Chen Nengkuan,Unknown
Chen Shutong,Unknown
Chen Wu (politician),Unknown
Chen Xiaoguang,Unknown
Chen Yi (marshal),Unknown
Chen Yuan,Unknown
Chen Zaidao,Unknown
Chen Zongxing,Unknown
Cheng Kaijia,Unknown
Cheng Siyuan,Unknown
Cheng Zihua,Unknown
Chiang Kai-shek,Unknown
Chien-Shiung Wu,Unknown
"Choekyi Gyaltsen, 10th Panchen Lama",Unknown
Clark Blanchard Millikan,Male
Claude Bernard,Male
Coolie,Unknown
Dan A. Kimball,Male
Dawn (spacecraft),Female
Deep Space 1,Female
Deep Space 2,Female
Deep Space Atomic Clock,Female
Deng Jiaxian,Unknown
Deng Pufang,Unknown
Deng Xiaoping,Unknown
Deng Zhaoxiang,Unknown
Deng Zihui,Unknown
Denis Kearney,Male
Ding Dewen,Unknown
Ding Henggao,Unknown
Dong Biwu,Unknown
Dong Qiwu,Unknown
Dong Yinchu,Unknown
Dongfeng (missile),Unknown
Du Qinglin,Unknown
Duan Zhenji,Unknown
Dwight Eisenhower,Male
Eileen Gu,Female
Einstein Probe,Unknown
Erich von Holst,Male
Ernst von Glasersfeld,Male
Europa Lander (NASA),Unknown
Fan Weitang,Unknown
Fang Lizhi,Unknown
Fang Yi,Unknown
Fanhui Shi Weixing,Unknown
Fei Xiaotong,Unknown
"Feng ""Franklin"" Tao",Unknown
Fong Yue Ting v. United States,Unknown
Francis Heylighen,Male
Francis James,Male
Francisco Varela,Male
Frank Malina,Male
Frank Marble,Male
Frank Oppenheimer,Male
Frederic Vester,Male
Fu Xinian,Unknown
Fu Zuoyi,Unknown
Gang Chen (engineer),Unknown
Gao Chongmin,Unknown
Gao Yunlong,Unknown
Gaofen,Unknown
Genevieve Bell,Female
Geoffrey Vickers,Male
Gordon Pask,Male
Gordon S. Brown,Male
Grant Cooper,Male
Gregory Bateson,Male
Gu Mu,Unknown
Gu Shengzu,Unknown
Gu Songfen,Unknown
Guan De,Unknown
Guan Qiao,Unknown
Guo Konghui,Unknown
Guo Moruo,Unknown
Guo Yonghuai,Unknown
Hanyu Pinyin,Unknown
Hao Jianxiu,Unknown
Haoyang Yu,Unknown
He Wei,Unknown
Heinz von Foerster,Male
Henry Fok,Male
Herschel Space Observatory,Male
Hideki Tojo,Male
Hou Jingru,Unknown
Hou Xianglin,Unknown
Hsue-Chu Tsien,Unknown
Hu Chunhua,Unknown
Hu Haitao,Unknown
Hu Qiheng,Unknown
Hu Qili,Unknown
Hu Sheng,Unknown
Hu Zi'ang,Unknown
Hua Luogeng,Unknown
Huang Mengfu,Unknown
Huang Peiyun,Unknown
Huang Weilu,Unknown
Huang Xuhua,Unknown
Huang Yanpei,Unknown
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Immolation of Lee Chi-cheung,Unknown
Iris Chang,Female
Ismail Amat,Male
Jack Parsons,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
Jason-1,Unknown
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
Ji Fang,Unknown
Ji Guobiao,Unknown
Jiang Baili,Unknown
Jiang Xinsong,Unknown
Jiang Xinzhi,Unknown
Jiang Ying (musician),Unknown
Jiang Zuojun,Unknown
Jiayang Fan,Unknown
Jin Guofan,Female
Jin Yilian,Female
John N. Warfield,Male
John von Neumann,Male
July 2009 Ürümqi riots,Unknown
Juno (spacecraft),Female
K. H. Ting,Unknown
Kang Keqing,Unknown
Kang Sheng,Unknown
Kepler space telescope,Unknown
Ketuanan Melayu,Unknown
Kevin Warwick,Male
Killing of Vincent Chin,Unknown
Killing of Yao Pan Ma,Unknown
LCCN (identifier),Unknown
Lanyue (spacecraft),Unknown
Lee DuBridge,Male
Lei Jieqiong,Unknown
Leung Chun-ying,Unknown
Li Bin (politician),Unknown
Li Dadong,Unknown
Li Dequan,Unknown
Li Deren,Unknown
Li Guixian,Unknown
Li Guohao,Unknown
Li Haifeng,Unknown
Li Hengde,Unknown
Li Hongzhi (engineer),Unknown
Li Jinhua,Unknown
Li Jishen,Unknown
Li Meng (politician),Unknown
Li Siguang,Unknown
Li Tongbao,Unknown
Li Weihan,Unknown
Li Wuwei,Unknown
Li Zhaozhuo,Unknown
Li Zhuchen,Unknown
Liang Yingchen,Unknown
Liao Hui (politician),Unknown
Lin Hua,Female
Lin Wenyi,Female
Ling Jihua,Unknown
Liu Fei (politician),Unknown
Liu Gengling,Unknown
Liu Hongliang,Unknown
Liu Jingji,Unknown
Liu Lantao,Unknown
Liu Qibao,Unknown
Liu Tianquan,Unknown
Liu Xianlin,Unknown
Liu Xiaofeng (politician),Unknown
Liu Xincheng,Unknown
Liu Yandong,Unknown
Liu Yongtan,Unknown
Lu Dingyi,Unknown
Lu Jiaxi (chemist),Unknown
Lu Liangshu,Unknown
Lu Yongxiang (engineer),Unknown
Lu Yuanjiu,Unknown
Lu Zhangong,Unknown
Lunar Flashlight,Unknown
Luo Fuhe,Unknown
Luo Haocai,Unknown
Luo Peilin,Unknown
Ma Biao (politician),Unknown
Ma Fubang,Unknown
Ma Man-kei,Unknown
Ma Peihua,Unknown
Ma Wenrui,Unknown
Ma Xulun,Unknown
Maleyka Abbaszadeh,Unknown
Mao Dun,Unknown
Mao Yisheng,Unknown
Mao Zhiyong,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
May 2014 Ürümqi attack,Female
Miao Yuntai,Unknown
Milton Viorst,Male
Min Enze,Unknown
Mu Hong,Unknown
Murder of Jiansheng Chen,Unknown
Murder of Mi Gao Huang Chen,Unknown
N. Katherine Hayles,Unknown
Nancy Grace Roman Space Telescope,Female
Ni Guangnan,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Ouyang Qin,Unknown
Pagbalha Geleg Namgyai,Unknown
Pan Jiazheng,Unknown
Peng Chong,Unknown
Peng Huanwu,Unknown
Peng Shilu,Unknown
Peng Zhen,Unknown
Petro Grigorenko,Male
Pigtail Ordinance,Unknown
Pol Pot,Male
Qi Xuchun,Unknown
Qi Yuanjing,Unknown
Qian (surname),Unknown
Qian Changzhao,Unknown
Qian Gaoyun,Unknown
Qian Ji,Unknown
Qian Qihu,Unknown
Qian Sanqiang,Unknown
Qian Weichang,Unknown
Qian Xuesen Library,Unknown
Qian Yi,Unknown
Qian Yunlu,Unknown
Qian Zhengying,Unknown
Qin Boyong,Unknown
Qu Wu,Unknown
Ranulph Glanville,Unknown
Ren Jianxin,Unknown
Ren Xinmin,Unknown
Robert Trappl,Male
Roger Y. Tsien,Male
Rong Yiren,Unknown
Ruan Xueyu,Male
Saifuddin Azizi,Male
Sangley Massacre (1662),Unknown
Sangley Rebellion,Unknown
Sangley Rebellion (1639),Unknown
Scott Act (1888),Male
Sergei P. Kurdyumov,Male
Sha Qianli,Unknown
Shao Hong,Unknown
Shen Junru,Unknown
Shen Yueyue,Unknown
Shenzhou 6,Unknown
Sherry Chen (hydrologist),Female
Siziwang Banner,Unknown
Solar Mesosphere Explorer,Unknown
Song Jian,Unknown
Song Renqiong,Unknown
Sook Ching,Female
Soong Ching-ling,Unknown
Space Shuttle,Unknown
Spitzer Space Telescope,Unknown
Stafford Beer,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Su Buqing,Unknown
Suicide of Danny Chen,Unknown
Sun Jiazheng,Unknown
Surface Water and Ocean Topography,Unknown
Synergetics (Haken),Unknown
Tan Kah Kee,Male
Tao Zhiyue,Unknown
Tape v. Hurley,Unknown
Teng Daiyuan,Unknown
Teoh Beng Hock,Unknown
Theodore von Karman,Male
Theodore von Kármán,Male
Tu Shancheng,Female
Tu Shou'e,Female
Tung Chee-hwa,Male
Ulanhu,Unknown
United States v. Wong Kim Ark,Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Velma Demerson,Female
W. M. Keck Observatory,Unknown
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Wan Gang,Unknown
Wan Guoquan,Unknown
Wang Chengwei,Unknown
Wang Daheng,Unknown
Wang Demin,Unknown
Wang Dianzuo,Unknown
Wang Dongfeng,Unknown
Wang Enmao,Unknown
Wang Feng (politician),Unknown
Wang Ganchang,Unknown
Wang Gang (politician),Unknown
Wang Guangqian,Unknown
Wang Guangying,Unknown
Wang Guangyuan,Unknown
Wang Jiarui,Unknown
Wang Kunlun,Unknown
Wang Mingxiu,Unknown
Wang Qinmin,Unknown
Wang Renzhong,Unknown
Wang Shoudao,Unknown
Wang Tao (forestry scientist),Unknown
Wang Wenyuan,Unknown
Wang Xiji,Unknown
Wang Xuan (computer scientist),Unknown
Wang Yong (politician),Unknown
Wang Yongqing,Unknown
Wang Yongzhi,Unknown
Wang Yousheng (engineer),Unknown
Wang Yue (engineer),Unknown
Wang Zhaoguo,Unknown
Wang Zhengwei,Unknown
Wang Zhizhen,Unknown
"Wang Zhongyu (politician, born 1933)",Unknown
Warren Sturgis McCulloch,Male
Wei Guoqing,Unknown
Wei Yu (Chinese engineer),Unknown
Wen Fubo,Unknown
Wen Ho Lee,Unknown
Wenchang Spacecraft Launch Site,Unknown
Wide Field and Planetary Camera,Unknown
William Grey Walter,Male
Wu Xueqian,Unknown
Wu Yousheng,Unknown
Wu Zhongwei,Unknown
Wu Ziliang,Unknown
X-20 Dyna-Soar,Unknown
Xia Baolong,Unknown
Xian Hui,Unknown
Xiao Hua (general),Unknown
Xiao Ke,Unknown
Xiaoxing Xi,Unknown
Xie Lili,Unknown
Xie Youbai,Unknown
Xu Bing (politician),Unknown
Xu Cheng'en,Unknown
Xu Deheng,Unknown
Xu Gengguang,Unknown
Xu Kuangdi,Unknown
Yan Dongsheng,Male
Yan Mingfu,Male
Yang Chuantang,Unknown
Yang Jiachi,Unknown
Yang Jingren,Unknown
Yang Qixun,Unknown
Yang Rudai,Unknown
Yang Xiufeng,Unknown
Yang Zhen (politician),Unknown
Yao Fusheng,Unknown
Yao Tongbin,Unknown
Ye Jianying,Unknown
