Name,Gender
Alfred North Whitehead,Male
Alfred Tarski,Male
Anaphora (linguistics),Unknown
Andrzej Mostowski,Male
Augustus De Morgan,Male
Banach–Tarski paradox,Unknown
Bertrand Russell,Male
Cataphora,Unknown
Charles Sanders Peirce,Male
Cherry picking,Female
Continuum hypothesis,Unknown
David Hilbert,Male
De se,Unknown
E. C. R. Hehner,Unknown
Elementary diagram,Unknown
Ernst Schröder (mathematician),Male
Fubini's theorem,Unknown
George Bentham,Male
Giuseppe Peano,Male
Godwin's law,Unknown
Grothendieck universe,Unknown
Hans Reichenbach,Male
Hilbert's axioms,Unknown
Ipse dixit,Unknown
Jean van Heijenoort,Male
John Etchemendy,Male
Jon Barwise,Male
Kripke–Platek set theory,Unknown
Kurt Gödel,Male
Leon Henkin,Male
List of Hilbert systems,Unknown
Löwenheim–Skolem theorem,Unknown
Map (mathematics),Unknown
McNamara fallacy,Unknown
Monad (functional programming),Unknown
Morse–Kelley set theory,Unknown
Motte-and-bailey fallacy,Unknown
No true Scotsman,Unknown
Noun phrases,Unknown
Oscar Howard Mitchell,Male
Paul Halmos,Male
Robinson arithmetic,Unknown
Russell's paradox,Unknown
"Sir William Hamilton, 9th Baronet",Unknown
Subformula,Unknown
Tarski–Grothendieck set theory,Unknown
Venn diagram,Unknown
Von Neumann universe,Unknown
Von Neumann–Bernays–Gödel set theory,Unknown
Wilhelm Ackermann,Male
Willard Van Orman Quine,Male
William Ernest Johnson,Male
Zermelo–Fraenkel set theory,Unknown
