Name,Gender
Alex Trebek,Male
Amy Schneider,Female
Banijay,Unknown
Beat Shazam,Male
Brad Rutter,Male
Card Sharks,Unknown
Child Support (game show),Unknown
Daytime television in the United States,Unknown
Dr. I.Q.,Unknown
Family Feud,Unknown
Gene Rayburn,Male
Genre,Unknown
Groucho Marx,Unknown
Hollywood Squares,Unknown
Howard Felsher,Male
Howie Mandel,Male
Jack Barry (game show host),Male
James Holzhauer,Male
Jim Perry (television personality),Male
Ken Jennings,Male
Kim Coles,Female
Mark Goodson,Male
Mark Labbett,Male
Matt Amodio,Male
Paranoia (game show),Unknown
Pat Sajak,Unknown
Quiz Show (film),Unknown
Quiz show,Unknown
Richard Dawson,Male
Snoop Dogg,Unknown
Spelling Bee (game show),Unknown
Steve Harvey,Male
USA Network,Unknown
¿Quién quiere ser millonario? (Salvadoran game show),Unknown
