Name,Gender
Adobe Firefly,Unknown
Alan Turing,Male
Alex Graves (computer scientist),Male
Alex Krizhevsky,Male
Alibaba Cloud,Unknown
Allen Newell,Male
Amblin Partners,Unknown
Andrej Karpathy,Male
Andrew Ng,Male
Aurora (text-to-image model),Female
Baichuan,Unknown
Bernard Widrow,Male
Bias–variance tradeoff,Unknown
Chinchilla (language model),Unknown
Claude (language model),Male
Claude Shannon,Male
Daniel Zhang,Male
David Silver (computer scientist),Male
Fei-Fei Li,Unknown
Frank Rosenblatt,Male
GPT-4,Unknown
Geoffrey Hinton,Male
Grok (chatbot),Unknown
Herbert A. Simon,Male
Ian Goodfellow,Male
J. Michael Evans,Unknown
Jack Ma,Male
John Hopfield,Male
John McCarthy (computer scientist),Male
John von Neumann,Male
Jonathan Lu,Male
Joseph Tsai,Male
Joseph Weizenbaum,Male
Jürgen Schmidhuber,Male
Llama (language model),Unknown
Lotfi A. Zadeh,Male
Maggie Wu (businesswoman),Female
Marvin Minsky,Male
Minerva AI,Female
MiniMax (company),Unknown
Moonshot AI,Unknown
Nathaniel Rochester (computer scientist),Male
Oliver Selfridge,Male
Paul Werbos,Male
Peng Lei,Unknown
Seymour Papert,Male
Stephen Grossberg,Male
Suno AI,Unknown
Tmall Genie,Unknown
Walter Pitts,Male
Wang Jian (computer scientist),Unknown
Warren Sturgis McCulloch,Male
Xuexi Qiangguo,Unknown
Yann LeCun,Male
Yoshua Bengio,Unknown
Zhima Credit,Unknown
Template:Latest preview software release/Qwen,Unknown
Template:Latest stable software release/Qwen,Unknown
