Name,Gender
Actifio,Unknown
Adscape,Unknown
Al Gore,Male
Alan Eustace,Male
Alan Mulally,Male
Allan L. Scherr,Male
AlphaGo versus Ke Jie,Unknown
AlphaGo versus Lee Sedol,Unknown
Altos Labs,Unknown
Amanda Randles,Female
American Fuzzy Lop (software),Unknown
Amy Kurzweil,Female
Anders Sandberg,Male
Android Cloud to Device Messaging,Unknown
Android Dev Phone,Unknown
Android Donut,Unknown
Android Honeycomb,Unknown
Android Nougat,Unknown
Android Studio,Unknown
Androidland,Unknown
Andy Bechtolsheim,Male
Ann Mather,Female
Anthony Waller,Male
Antioxidant,Unknown
Apk (file format),Unknown
Arthur C. Clarke,Male
Aubrey de Grey,Unknown
B. S.,Unknown
Bazel (software),Unknown
Ben Goertzel,Male
Bill Clinton,Male
Bill Gates,Male
Bill Joy,Male
Binoculars Building,Unknown
Blink (browser engine),Unknown
Blockly,Unknown
Brian Reid (computer scientist),Male
Chinchilla (language model),Unknown
ChromeOS,Unknown
Chrome Web Store,Unknown
Chrome Zone,Unknown
Comparison of Google Pixel smartphones,Unknown
Constantinos Daskalakis,Unknown
Craig Gentry (computer scientist),Male
Cynthia Kenyon,Female
Dan Ingalls,Male
Dan Klein,Male
Daniel Dennett,Male
Daniel Lyons,Male
Daniel S. Bricklin,Male
Danielle: Chronicles of a Superheroine,Unknown
Danny Hillis,Male
David Cheriton,Male
David Drummond (businessman),Male
David Gelernter,Male
David Gobel,Male
David Pearce (philosopher),Male
David Pearce (transhumanist),Male
Dawson Engler,Male
Deep Blue (chess computer),Female
Deep Blue versus Garry Kasparov,Female
Denham Harman,Unknown
Dickson Prize,Unknown
Dimu Kotsovsky,Unknown
Dina Katabi,Female
Donald Knuth,Male
Doodle4Google,Unknown
Douglas Hofstadter,Male
Durk Pearson,Male
Dyson sphere,Unknown
Edward H. Shortliffe,Male
Eliezer Yudkowsky,Male
Eric R. Braverman,Male
Eric Schmidt,Male
Eta Kappa Nu,Female
Etherpad,Unknown
"Feldman v. Google, Inc.",Unknown
Feng-hsiung Hsu,Unknown
Fflick,Unknown
Frank Rosenblatt,Male
Frank v. Gaos,Male
Frederick Osborn,Male
Ganeti,Unknown
"Garcia v. Google, Inc.",Unknown
Garry Kasparov,Male
Gennady Stolyarov II,Male
George Church (geneticist),Male
George N. Baird,Male
George Necula,Male
George Westinghouse,Male
Gerrit (software),Male
Glass OS,Unknown
Gmail,Unknown
Gmail interface,Unknown
"Goddard v. Google, Inc.",Unknown
Gonzalez v. Google LLC,Unknown
Google Apps Script,Unknown
Google Chrome App,Unknown
Google Chrome Experiments,Unknown
Google Chrome Frame,Unknown
Google Cloud Connect,Unknown
Google Cloud Dataflow,Unknown
Google Cloud Datastore,Unknown
Google Cloud Messaging,Unknown
Google Cloud Platform,Unknown
Google Cloud Print,Unknown
Google Cloud Search,Unknown
Google Cloud Shell,Unknown
Google Cloud Storage,Unknown
Google Dashboard,Unknown
Google Glass,Unknown
Google Hummingbird,Unknown
Google Japanese Input,Unknown
Google Lunar X Prize,Unknown
Google Me (Kim Zolciak song),Unknown
Google Me (Teyana Taylor song),Unknown
Google Pixel,Unknown
Google Quick Search Box,Unknown
Google Santa Tracker,Unknown
Google Spain v AEPD and Mario Costeja González,Unknown
Google WiFi,Unknown
Googleplex,Unknown
Grace Hopper (submarine communications cable),Female
Grace Murray Hopper Award,Female
Greg Fahy,Male
Grinder (biohacking community),Unknown
Guy L. Steele Jr.,Male
Hans Moravec,Male
Herbert Spencer,Male
"Hibnick v. Google, Inc.",Unknown
History of Gmail,Unknown
Homo Deus: A Brief History of Tomorrow,Unknown
Hugo de Garis,Male
Inbox by Gmail,Unknown
J. B. S. Haldane,Unknown
Jamboard,Unknown
James Hughes (sociologist),Male
James R. Thompson Center,Male
Jaron Lanier,Male
Jedi Blue,Unknown
Jeff Dean,Male
Jeffrey Heer,Male
Jennifer Rexford,Female
Jetpack Compose,Unknown
"Joffe v. Google, Inc.",Unknown
John Doerr,Male
John Harris (bioethicist),Male
John L. Hennessy,Male
John Ousterhout,Male
John Rennie (editor),Male
John von Neumann,Male
Joseph Weizenbaum,Male
José Luis Cordeiro,Male
Julian Huxley,Male
Julian Savulescu,Male
K. Eric Drexler,Unknown
Kaggle,Unknown
Kevin Warwick,Male
Keyhole Markup Language,Unknown
Krishna Bharat,Unknown
L. L. Nunn,Unknown
Larry Page,Male
Laura Deming,Female
Lawrence M. Breed,Male
Lemelson–MIT Prize,Unknown
Lenz v. Universal Music Corp.,Male
Leonard Hayflick,Male
Lex Fridman,Male
Libvpx,Unknown
Liz Parrish,Female
Looker Studio,Unknown
Luis von Ahn,Male
Lydia Kavraki,Female
Lyndon B. Johnson,Male
Lyra (codec),Female
Maria-Florina Balcan,Unknown
Mark Alan Walker,Male
Mark Gasson,Male
Mark Roth (scientist),Male
Martin Casado,Male
Martin Van Buren High School,Male
Martine Rothblatt,Female
Marvin Minsky,Male
Matt Cutts,Male
Matt Nathanson: Live at Google,Male
Max More,Male
Mayfield Mall,Unknown
Michael D. West,Male
Michael J. Freedman,Male
Mitch Kapor,Male
Mohammad Alizadeh,Male
Mosley v SARL Google,Unknown
NAMM Oral History Program,Unknown
Nanomedicine,Unknown
Natasha Vita-More,Female
Neal Mohan,Male
Neal Stephenson,Male
Neil Harbisson,Male
Nick Bostrom,Male
Nick Land,Male
Nik Software,Male
Nikolai Fyodorov (philosopher),Male
Nikolai Fyodorovich Fyodorov,Male
No Tech for Apartheid,Unknown
NotebookLM,Unknown
Ole Martin Moen,Male
Patrick Pichette,Male
Paul Allen,Male
Paul H. Cress,Male
Paul H. Dirksen,Male
Paul Otellini,Male
Pedro Felipe Felzenszwalb,Male
Picasa Web Albums,Unknown
Pierre Teilhard de Chardin,Male
Pixel (1st generation),Unknown
Pixel Buds,Unknown
Pixel Fold,Unknown
Pixel Watch,Unknown
Pixel Watch 2,Unknown
Pixel Watch 3,Unknown
Prateek Mittal,Unknown
Product Sans,Unknown
Project Ara,Unknown
Project Iris,Unknown
Project Starline,Unknown
Pyra Labs,Unknown
Quick Share,Unknown
Rachel Whetstone,Female
Rajen Sheth,Unknown
Ram Shriram,Male
Ramakrishnan Srikant,Unknown
ReCAPTCHA,Unknown
Regeln für den Menschenpark,Unknown
Richard H. Lathwell,Male
Richard Stallman,Male
Rick Osterloh,Male
Robert Freitas,Male
Robert Metcalfe,Male
Robin Hanson,Male
Rodney Brooks,Male
Roger Moore (computer scientist),Male
Roy Walford,Male
Ruth Porat,Female
Salar Kamangar,Unknown
Sandy Shaw (writer),Female
Sanjay Ghemawat,Male
Sapiens: A Brief History of Humankind,Unknown
Saul Kent,Male
Sergey Brin,Male
Shafi Goldwasser,Unknown
Shirley M. Tilghman,Female
Shyamnath Gollakota,Unknown
Sidewalk Labs,Unknown
Sputnik (JavaScript conformance test),Unknown
Stefan Lorenz Sorgner,Male
Stephen W. Keckler,Male
Steve Fuller (sociologist),Male
Steve Wozniak,Male
Stevie Wonder,Male
Sundar Pichai,Unknown
Susan Wojcicki,Female
Sylvia Ratnasamy,Female
TED Talk,Unknown
Technical Grammy Award,Unknown
Terry Grossman,Male
Tez (software),Unknown
The Google Story,Female
Theodore Modis,Male
Thomas Edison,Male
Thus Spoke Zarathustra,Unknown
Tim Roughgarden,Male
Tom Swift Jr,Male
Trendalyzer,Unknown
"Umar Javeed, Sukarma Thapar, Aaqib Javeed vs. Google LLC and Ors.",Male
Unitarian Universalism,Unknown
VTuber,Unknown
Vern Paxson,Male
Vevo,Unknown
Vint Cerf,Unknown
Webdriver Torso,Unknown
Wen-mei Hwu,Unknown
Where on Google Earth is Carmen Sandiego?,Unknown
William H. Andrews (biologist),Male
William James College,Male
YouTube Awards,Unknown
YouTube BrandConnect,Unknown
YouTube Comedy Week,Unknown
YouTube Creator Awards,Unknown
YouTube Kids,Unknown
YouTube Live,Unknown
YouTube Music,Unknown
YouTube Next Lab and Audience Development Group,Unknown
YouTube Premium,Unknown
YouTube Rewind,Unknown
YouTube Rewind 2018: Everyone Controls Rewind,Unknown
YouTube Rewind 2019: For the Record,Unknown
YouTube Select,Unknown
YouTube Shorts,Unknown
YouTube Space,Unknown
YouTube Space Lab,Unknown
YouTube Studio,Unknown
YouTube Symphony Orchestra,Unknown
YouTube Theater,Unknown
Young Chang,Female
Yuval Harari,Male
Yuval Noah Harari,Male
Zoltan Istvan,Unknown
