Name,Gender
Alan Turing,Male
Alexander Bain (philosopher),Male
Alfred Tarski,Male
Alvin Goldman,Male
Amélie Rorty,Female
Andy Clark,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Casey Nelson Blake,Unknown
Charles Sanders Peirce,Male
Daniel Dennett,Male
David Chalmers,Male
David Foster Wallace,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Donald Davidson (philosopher),Male
Edmund Husserl,Male
Esa Saarinen,Male
Frank Cameron Jackson,Male
Franz Brentano,Male
Fred Dretske,Male
Friederich Nietzsche,Male
G. E. M. Anscombe,Unknown
George Berkeley,Male
Gianni Vattimo,Male
Gilbert Ryle,Male
Gottfried Wilhelm Leibniz,Male
Hans Joas,Male
Hegel,Unknown
Henri Bergson,Male
Immanuel Kant,Male
J. B. Schneewind,Unknown
J. L. Austin,Unknown
Jacques Bouveresse,Male
Jacques Derrida,Male
James Baldwin,Male
James Rorty,Male
James Tartaglia,Male
Jerry Fodor,Male
John Dewey,Male
John Locke,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
Jürgen Habermas,Male
Leon Trotsky,Male
Ludwig Wittgenstein,Male
Marianne Janack,Female
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Michael Tye (philosopher),Male
Michael Williams (philosopher),Male
Michel Foucault,Male
Mike Sandbothe,Male
Ned Block,Male
Neil Gross,Male
Niccolò Machiavelli,Male
Pascal Engel,Male
Patricia Churchland,Female
Paul Churchland,Male
Paul Weiss (philosopher),Male
Paul de Man,Male
Quentin Skinner,Male
Randall Auxier,Male
Raymond Geuss,Male
Richard McKeon,Male
Richard Rorty: Contemporary American Thinkers,Male
Robert Brandom,Male
Robert P. Harrison,Male
Roger Scruton,Male
Rudolf Carnap,Male
Santiago Zabala,Male
Simon Critchley,Male
Stephen Yablo,Male
Susan Haack,Female
Terry Eagleton,Male
Thomas Aquinas,Male
"Thomas Jefferson Medal for Distinguished Achievement in the Arts, Humanities, and Social Sciences",Male
Thomas Nagel,Male
Thomas S. Kuhn,Male
Vladimir Nabokov,Male
Walt Whitman,Male
Walter Rauschenbusch,Male
Walter Savage Landor,Male
Willard Van Orman Quine,Male
William James,Male
"William R. Kenan, Jr.",Male
Zhuang Zhou,Unknown
Template:Richard Rorty,Unknown
Template talk:Richard Rorty,Unknown
