Name,Gender
Aldehyde-stabilized cryopreservation,Unknown
Brian Wowk,Male
Charles Platt (author),Male
David Frost,Male
Der Spiegel,Unknown
Dora Kent,Female
Ed Regis (author),Male
Fred and Linda Chamberlain,Male
Isaac Asimov,Male
James Bedford,Male
Jerry Leaf,Male
Johnny Carson,Male
Marquis Who's Who,Male
Max More,Male
Mike Darwin,Male
Neil R. Jones,Male
Project Gutenberg,Unknown
Purple Heart,Unknown
Raymond and Monique Martinot,Male
Robert Prehoda,Male
Saul Kent,Male
Steve Allen,Male
Thomas K. Donaldson,Male
