Name,Gender
Abd al-Latif al-Baghdadi,Male
Abraham ibn Daud,Male
Abu Bakr al-Razi,Male
Abu Bishr Matta ibn Yunus,Male
Abu Sulayman Sijistani,Male
Abu Ya'qub al-Sijistani,Male
Abu al-Hassan al-Amiri,Male
Adam Marsh,Male
Aidan Nichols,Male
Al-Andalus,Unknown
Al-Biruni,Unknown
Al-Farabi,Unknown
Al-Ghazali,Unknown
Al-Jildaki,Unknown
Al-Kindi,Unknown
Al-Simawi,Unknown
Al-Tughrai,Unknown
Al-Zahrawi,Unknown
Albert of Saxony (philosopher),Male
Alexander the Great,Male
Alexandre Koyré,Male
Alfonso Muzzarelli,Male
Alfred Delp,Male
Alfred North Whitehead,Male
Alice von Hildebrand,Female
Alistair Cameron Crombie,Male
Alphonsus Liguori,Male
Andreas Libavius,Male
Anthony Wood (antiquary),Male
Anthony of Padua,Male
Antonio Rosmini,Male
António Vieira,Male
Armillary sphere,Unknown
Athanasius of Alexandria,Unknown
Athir al-Din al-Abhari,Unknown
Augustine of Hippo,Female
Aurora consurgens,Female
Ayn al-Quzat Hamadani,Female
Baco (crater),Unknown
Bas van Fraassen,Male
Basil Valentine,Male
Basil of Caesarea,Male
Benjamin Wooley,Male
Bernard Lonergan,Male
Bernard Trevisan,Male
Bernard of Chartres,Male
Bernard of Clairvaux,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Brazen Head,Unknown
Brian Clegg (writer),Male
Bruno Lanteri,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Carl Jung,Male
Carlo Maria Martini,Male
Catherine of Siena,Female
Catholic Bible,Unknown
Charles Sanders Peirce,Male
Christopher Columbus,Male
Chronica Majora,Unknown
Chymical Wedding of Christian Rosenkreutz,Unknown
Clement Mary Hofbauer,Male
Cleopatra the Alchemist,Female
Cornelius Jansen,Male
Daniel Defoe,Male
Dante Alighieri,Male
Dark Ages (historiography),Unknown
David C. Lindberg,Male
David Eugene Smith,Male
David Hume,Male
De Alchemia,Unknown
Decretum Gratiani,Unknown
Devotio Moderna,Unknown
Dietrich von Hildebrand,Male
Doctor Mirabilis,Unknown
Doctor Mirabilis (novel),Unknown
Dorothy Day,Female
Désiré-Joseph Mercier,Unknown
Edgar Wilson Nye,Male
Edith Stein,Female
Edmond Nolan,Male
Edmund F. Robertson,Male
Edmund Husserl,Male
Edmund Oscar von Lippmann,Male
Edward N. Zalta,Male
Edward Schillebeeckx,Male
Emerald Tablet,Female
Emmanuel Mounier,Male
Ephrem the Syrian,Male
Eva Hovdhaugen,Female
Fakhr al-Din al-Razi,Unknown
Francesc Eiximenis,Male
Francis Bacon,Male
Francis Xavier,Male
Francis de Sales,Male
Francis of Assisi,Male
Francisco Suárez,Male
Francisco de Osuna,Male
Francisco de Vitoria,Male
François Fénelon,Male
Frater Albertus,Unknown
Frederick Copleston,Male
Frederick Mayer,Male
Friar Bacon and Friar Bungay,Unknown
Friedrich von Hügel,Male
Félicité de La Mennais,Female
G. K. Chesterton,Unknown
Gabriel Marcel,Male
Gaetano Sanseverino,Male
George Ripley (alchemist),Male
George Sarton,Male
George Starkey,Male
George Tyrrell,Male
Georges Bernanos,Male
Gerhard Dorn,Male
Giambattista Vico,Male
Gilbert de la Porrée,Male
Giordano Bruno,Male
Giovanni Mercurio da Correggio,Male
Giovanni Pico della Mirandola,Male
Giuseppe Pecci,Male
Grammar,Unknown
Grammatica Graeca,Unknown
Grammatica Hebraica,Unknown
Gregory of Narek,Male
Gustavo Gutiérrez,Male
H. G. Wells,Unknown
Hamid al-Din al-Kirmani,Male
Hans Küng,Male
Hans Reichenbach,Male
Hans Urs von Balthasar,Male
Henri Daniel-Rops,Male
Henri Nouwen,Male
Henri Poincaré,Male
Henri de Lubac,Male
Henry III of England,Male
Henry Suso,Male
Henry William Lovett Hime,Male
Hugh Chisholm,Male
Ian Hacking,Male
Ibn Arabi,Unknown
Ibn Arfa' Ra's,Unknown
Ibn Hazm,Unknown
Ibn Khaldun,Unknown
Ibn Masarra,Unknown
Ibn Sab'in,Unknown
Ibn Sahl (mathematician),Unknown
Ibn Taymiyya,Unknown
Ibn Tufayl,Unknown
Ibn Umayl,Unknown
Ibn Wahshiyya,Unknown
Ibn al-Haytham,Unknown
Ibn al-Nafis,Unknown
Ibrahim al-Nazzam,Male
Ignaz von Döllinger,Male
Imre Lakatos,Male
Isaac Israeli ben Solomon,Male
Isaac Newton,Male
Jabir ibn Hayyan,Unknown
Jacques Maritain,Male
James Baldwin (editor and author),Male
James Blish,Male
James J. Murphy,Male
Jan Baptist van Helmont,Male
Jean-Jacques Olier,Unknown
Jean Buridan,Male
Jean Daniélou,Male
Jean Guitton,Male
Jean Vanier,Male
Jean de Roquetaillade,Male
Jerome,Male
Johann Baptist Metz,Male
Johann Eck,Male
Johann Michael Sailer,Male
Johann Rudolf Glauber,Male
Johann of Laz,Male
Johannes Tauler,Male
John Cassian,Male
John Chrysostom,Male
John Climacus,Male
John Cowper Powys,Male
John Dastin,Male
John Dee,Male
John Erskine (educator),Male
John Fisher,Male
John Hennon,Male
John Henry Newman,Male
John Maxson Stillman,Male
John Pecham,Male
John Peckham,Male
John Scotus Eriugena,Male
John William Cousin,Male
John of Bordeaux,Male
John of Damascus,Male
John of London,Male
John of St Amand,Male
John of the Cross,Male
John of Ávila,Male
John van Ruysbroeck,Male
Joseph Albo,Male
Joseph Görres,Male
Joseph Hergenröther,Male
Joseph Maréchal,Male
Joseph Needham,Male
Judah Halevi,Male
Julian of Norwich,Male
Karl Pearson,Male
Karl Popper,Male
Karl Rahner,Male
Khalid ibn Yazid,Male
Larry Laudan,Male
Lawrence of Brindisi,Male
Liber Hermetis de alchemia,Unknown
Liber de compositione alchemiae,Unknown
Liber lucis,Unknown
Louis Thomassin,Male
Luigi Taparelli,Male
Luis de León,Male
Luis de Molina,Male
Lynn Thorndike,Female
M. M. Pattison Muir,Unknown
Marcel Lefebvre,Male
Maria Gaetana Agnesi,Female
Marie-Dominique Chenu,Unknown
Marie-Joseph Lagrange,Female
Marsilio Ficino,Male
Martin Heidegger,Male
Mary Anne Atwood,Female
Mary of Jesus of Ágreda,Female
