Name,Gender
A. J. Ayer,Unknown
Albert Einstein,Male
Alciphron (book),Unknown
Alexander Pruss,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Aloysius Martinich,Male
Alvin Plantinga,Male
Arif Ahmed (philosopher),Male
Arthur Pap,Male
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Lee Whorf,Male
Bernard Williams,Male
Bertrand Russell,Male
Bruno Bauch,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Catarina Dutilh Novaes,Female
Charles Hartshorne,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Charles W. Morris,Male
Christine Korsgaard,Female
Chrysippus,Unknown
Claude Lancelot,Male
Cora Diamond,Female
Daniel Dennett,Male
David Chalmers,Male
David Hume,Male
David Kaplan (philosopher),Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Sosa,Male
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Düsseldorf (region),Unknown
Edmund Gettier,Male
Edmund Husserl,Male
Edward N. Zalta,Male
Edward Sapir,Male
Ernest Nagel,Male
Ernest Sosa,Male
Formula,Unknown
Francis Bacon,Male
Frank P. Ramsey,Male
Franz Boas,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
George Berkeley,Male
Gilbert Ryle,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hannes Leitgeb,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Henri Poincaré,Male
Herbert A. Simon,Male
Herbert Feigl,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Immanuel Kant,Male
Imre Lakatos,Male
Isaac Levi,Male
Isaac Newton,Male
Ivor Grattan-Guinness,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Jerry Fodor,Male
Jim Holt (philosopher),Male
Johann Gottfried Herder,Male
John Dupré,Male
John McDowell,Male
John Rawls,Male
John Searle,Male
John Wilkins,Male
Kant-Studien,Unknown
Karl Pearson,Male
Karl Popper,Male
Karl Sigmund,Male
Keith Donnellan,Male
Kurt Gödel,Male
Larry Laudan,Male
Leonard Bloomfield,Male
Lev Vygotsky,Male
Ludwig Wittgenstein,Male
Martin Gardner,Male
Michael Dummett,Male
Michael Friedman (philosopher),Male
Michael Polanyi,Male
Michael Walzer,Male
Mill's Methods,Unknown
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Arthur Schilpp,Male
Paul Benacerraf,Male
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Paul Weiss (philosopher),Male
Peter G. Ossorio,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Pierre Duhem,Male
R. M. Hare,Unknown
Random House Webster's Unabridged Dictionary,Unknown
Raymond Smullyan,Male
Richard Jeffrey,Male
Richard McKeon,Male
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Roger Bacon,Male
Ronsdorf,Unknown
Rose Rand,Female
Rudolf Steiner,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Stathis Psillos,Male
Steve Awodey,Male
Susan Haack,Female
Thomas Hobbes,Male
Thomas Kuhn,Male
Thomas Mormann,Male
Thomas Nagel,Male
Timothy Williamson,Male
Vienna Circle,Female
W. V. Quine,Unknown
Wilhelm Dörpfeld,Male
Wilhelm Windelband,Male
Wilhelm von Humboldt,Male
Willard Quine,Male
Willard Van Orman Quine,Male
William Lane Craig,Male
Yehoshua Bar-Hillel,Male
Zhuang Zhou,Unknown
