Name,Gender
Adolf Hitler,Male
Albert Schweitzer,Male
Albert Steffen,Male
Aleister Crowley,Unknown
Alfred Heidenreich,Male
Alfred Meebold,Male
Alfred Percy Sinnett,Male
Alfred Rexroth,Male
Alice Bailey,Female
Andrei Bely,Male
Andrei Tarkovsky,Male
Andrej Belyj,Male
Annie Besant,Female
Anthony Storr,Male
Anton Lavey,Male
Archibald Keightley,Male
Arnold Freeman,Male
Arthur E. Powell,Male
Arthur Edward Waite,Male
Arthur Schopenhauer,Male
Arthur Zajonc,Male
Ascended Master Teachings,Unknown
Associação Comunitária Monte Azul,Unknown
Benito Mussolini,Male
Bernard Lievegoed,Male
Bertram Keightley,Male
Brian Stonehouse,Male
Bruno Walter,Male
Buddhism and Theosophy,Unknown
C.G. Jung,Unknown
C. W. Leadbeater,Unknown
Carl Jung,Male
Carlo Pietzner,Male
Charles Darwin,Male
Charles Webster Leadbeater,Male
Clive Robbins,Male
Colin Wilson,Male
Daniel Nicol Dunlop,Male
David Spangler,Male
Dietrich Eckart,Male
Donji Kraljevec,Unknown
"Donji Kraljevec, Međimurje County",Unknown
Douglas M. Sloan,Male
Edith Maryon,Female
Edith Rigby,Female
Edouard Schuré,Male
Eduard von Hartmann,Male
Egil Tynæs,Male
Eileen Hutchins,Female
Eleanor Merry,Female
Elisabeth Förster-Nietzsche,Female
Elisabeth Vreede,Female
Else Klink,Female
Emil Bock,Male
Ernest Wood,Male
Ernst Lehrs,Male
Ernst Weissert,Male
Esoteric Neo-Nazism,Unknown
Ewige Wiederkunft,Unknown
F. W. J. Schelling,Unknown
Francis Edmunds,Male
Francis X. King,Male
Franz Brentano,Male
Friedrich Fröbel,Male
Friedrich Nietzsche,Male
Friedrich Rittelmeyer,Male
Frithjof Schuon,Male
G. R. S. Mead,Unknown
Gary Lachman,Male
Geoffrey Hodson,Male
George Adams Kaufmann,Male
George Gurdjieff,Male
George Trevelyan (New Age spiritualist),Male
Giovanni Antonio Colonna di Cesarò,Male
Giuliano Kremmerz,Male
Gospel of Matthew,Unknown
H. P. Blavatsky,Unknown
Hans Schauder,Male
Harduf,Unknown
Harry Oldmeadow,Male
Hegel,Unknown
Heinrich von Stein,Male
Helmut Zander,Male
Helmuth von Moltke the Younger,Male
Henri Bortoft,Male
Herbert Hahn,Male
Herbert Witzenmann,Male
Hermann Hesse,Male
Hermann Poppelbaum,Male
Hinduism and Theosophy,Unknown
Hitler,Unknown
House of Hoyos,Unknown
Ibn Arabi,Unknown
Immanuel Kant,Male
Isaac Newton,Male
Ita Wegman,Female
Jacob Needleman,Male
Jacques Lusseyran,Male
Jakob Streit,Male
James Morgan Pryse,Male
Jean-Jacques Rousseau,Unknown
Jean Paul,Male
Jean Piaget,Male
Jens Bjørneboe,Male
Johann Friedrich Herbart,Male
Johann Gottlieb Fichte,Male
Johann Heinrich Pestalozzi,Male
Johann Wolfgang Goethe,Male
Johann Wolfgang von Goethe,Male
John Davy (journalist),Male
John Dee,Male
John Dewey,Male
John Fentress Gardner,Male
John Henry Mackay,Male
John Locke,Male
Jonathan Harvey (composer),Male
Joseph Beuys,Male
Julian Sleigh,Male
Karl Heise,Male
Karl Julius Schröer,Male
Karl König,Male
Katherine Tingley,Female
Kuthumi,Unknown
Kuusankoski,Unknown
LCCN (identifier),Unknown
Leonard Read,Male
Lev Vygotsky,Male
Liane Collot d'Herbois,Female
Lucifer,Unknown
Lucifer (magazine),Unknown
Margaret Bennell,Female
Margaret Cross,Female
Margaret McMillan,Female
Marguerite Lundgren,Female
Maria Montessori,Female
Maria Schüppel,Female
Marie Steiner-von Sivers,Female
Marie von Sivers,Female
Marjorie Spock,Female
Martin Gardner,Male
Martinus Thomsen,Male
Massimo Scaligero,Male
Master Jesus,Unknown
Maurice Maeterlinck,Male
Michael Chekhov,Male
Michael Ende,Male
Michael Henry Wilson,Male
Millicent Mackenzie,Female
Moon,Unknown
Murray Griffin,Male
Nathan (son of David),Male
Nestorianism,Unknown
Nicanor Perlas,Male
Nicholas Goodrick-Clarke,Male
Olav Hammer,Male
Oskar Schmiedel,Male
Owen Barfield,Male
Paul Nordoff,Male
Paulo Freire,Male
Peter Selg,Male
Project Gutenberg,Unknown
Rachel Carson,Female
Raghavan N. Iyer,Unknown
Renate Künast,Female
René Guénon,Male
Richard Tarnas,Male
Robert A. McDermott,Male
Robert Crosbie,Male
Robert Todd Carroll,Male
Robert von Zimmermann,Male
Ross Rentea,Male
Rowohlt Verlag,Unknown
Rudi Lissau,Male
Rudolf Hauschka,Male
Rudolf Steiner's Mystery Dramas,Male
Rudolf Steiner's exercises for spiritual development,Male
Rudolf Steiner (disambiguation),Male
Rudolf Steiner and the Theosophical Society,Male
Russell Davenport,Male
Samuel Liddell Mathers,Male
Saul Bellow,Male
Selma Lagerlöf,Female
Sergei O. Prokofieff,Male
Seyyed Hossein Nasr,Unknown
Solomon,Male
Soul (spirit),Unknown
TU Wien,Unknown
The Last Judgment (Michelangelo),Female
Theodor Schwenk,Male
Theosophy (Blavatskian),Unknown
Thomas Weihs,Male
Threefold Social Order,Unknown
Titus Burckhardt,Male
Typhonian Order,Unknown
Valborg Werbeck-Svärdström,Female
Viktor Ullmann,Male
Vladimir Solovyov (philosopher),Male
Walter Burley Griffin,Male
Walter Johannes Stein,Male
Wassily Kandinsky,Male
Weimar,Unknown
Wilhelm Dilthey,Male
Wilhelm Ernst Barkhoff,Male
Wilhelm Rath,Male
Wilhelm von Humboldt,Male
Willem Zeylmans van Emmichoven,Male
