Name,Gender
Adam D'Angelo,Male
Adebayo Ogunlesi,Unknown
Andrew Yang,Male
Apple Macintosh,Unknown
Bilderberg Meeting,Unknown
Bret Taylor,Male
Daniel Lurie,Male
Dario Amodei,Male
Deep Learning (South Park),Female
Donald Trump,Male
Dropbox (service),Unknown
Emmanuel Macron,Male
Emmett Shear,Male
GPT-4,Unknown
GPT Store,Unknown
Greg Brockman,Male
Helen Toner,Female
Holden Karnofsky,Male
Isaac Herzog,Male
Jessica Livingston,Female
Joe Betts-LaCroix,Male
Joe Biden,Male
John Burroughs School,Male
Lawrence Summers,Male
Loopt,Unknown
Nancy Pelosi,Female
Narendra Modi,Unknown
Nicole Seligman,Female
OpenAI Codex,Unknown
Paul Graham (computer programmer),Male
Paul Nakasone,Male
Pedro Sánchez,Male
Peter Thiel,Male
Reid Hoffman,Male
Removal of Sam Altman from OpenAI,Unknown
Rishi Sunak,Unknown
Sarah Friar,Female
Satya Nadella,Male
Scott Schools,Male
Simon and Schuster,Male
Steve Huffman,Male
Sue Desmond-Hellmann,Female
The Harvard Crimson,Female
Ursula von der Leyen,Female
Walter Isaacson,Male
Will Hurd,Male
Yishan Wong,Unknown
Yoon Suk-yeol,Unknown
Category:OpenAI,Unknown
