Name,Gender
A. C. Grayling,Unknown
Abu Ghraib torture and prisoner abuse,Male
Alan Yuille,Male
Albert Camus,Male
Albert Mohler,Male
Alexander Saxton,Male
Alina Chan,Female
Andrew Anthony,Male
Andrew Sullivan,Male
Andrew Yang,Male
Annaka Harris,Unknown
Athena Aktipis,Female
Ayaan Hirsi Ali,Unknown
Barack Obama,Male
Barbara N. Horowitz,Female
Bari Weiss,Unknown
Ben Affleck,Male
Ben Shapiro,Male
Bernie Sanders,Female
Bertrand Russell,Male
Bibcode (identifier),Unknown
Bill Gates,Male
Bill Joy,Male
Bill Maher,Male
Breaking the Spell (Dennett book),Unknown
Bret Weinstein,Male
Cenk Uygur,Male
Charles Murray (political scientist),Male
Chris Hedges,Male
Christopher Hitchens,Male
Dan Barker,Male
Dan Harris (journalist),Male
Dan Hendrycks,Male
Daniel Dennett,Male
Darwin's Angel,Unknown
Dave Rubin,Male
David Chalmers,Male
David M. Buss,Male
David Samuels (writer),Male
David Segal (reporter),Male
David Sloan Wilson,Male
David Wolpe,Male
Denis Diderot,Male
Dilgo Khyentse,Unknown
Donald Trump,Male
Douglas Murray (author),Male
Eliezer Yudkowsky,Male
Eric Turkheimer,Male
Ezra Klein,Male
Frank Bruni,Male
Frank Wilczek,Male
Friedrich Nietzsche,Male
Geoffrey Hinton,Male
George W. Bush,Male
Glenn Greenwald,Male
Greta Christina,Female
Hillary Clinton,Female
Hunter Biden,Male
Hunter Biden laptop controversy,Male
Jaan Tallinn,Male
Janna Levin,Female
Jean Houston,Male
Jean Meslier,Male
Jerry Coyne,Male
Joe Rogan,Male
Johann Hari,Male
John McCain,Male
Jordan Peterson,Male
Julian Baggini,Male
K. Eric Drexler,Unknown
Kamala Harris,Female
Karl Marx,Male
Kathryn Paige Harden,Female
Kenan Malik,Male
Kirkus Reviews,Unknown
Kwame Anthony Appiah,Unknown
Kyle Smith (critic),Female
Lawrence Krauss,Male
Lisa Miller (psychologist),Female
Lying (Harris book),Unknown
Maajid Nawaz,Unknown
Mario Bunge,Male
Mark S. Cohen,Male
Martie Haselton,Unknown
Martin Rees,Male
Matt Ridley,Male
Max Tegmark,Male
Michael Lou Martin,Male
Michael Novak,Male
Michael Ruse,Male
Michael Schmidt-Salomon,Male
Michael Shermer,Male
Michel Onfray,Male
Michele Gelfand,Female
Mikhail Bakunin,Male
Nathan J. Robinson,Male
Nathan Schneider,Male
Nellie Bowles,Female
Nick Bostrom,Male
Noam Chomsky,Male
Occam's razor,Unknown
Patt Morrison,Unknown
Paul Bloom (psychologist),Male
Paul Christiano (researcher),Male
Paul Tillich,Male
Peter Boghossian,Male
Peter Clothier,Male
Peter Singer,Male
Presidency of George W. Bush,Unknown
Real Time with Bill Maher,Unknown
Rebecca Goldstein,Female
Rebecca Watson,Female
Reza Aslan,Male
Richard Dawkins,Male
Richard Dawkins Foundation for Reason and Science,Male
Richard E. Nisbett,Male
Rick Warren,Male
Robert Wright (journalist),Male
Roman Yampolskiy,Male
Russell's teapot,Unknown
Sam Altman,Male
Sam Harris (disambiguation),Male
Scott Atran,Male
Stephanie Merritt,Female
Stephen Hawking,Male
Steve Omohundro,Male
Steve Padilla,Male
Steven Pinker,Male
Steven Salzberg,Male
Stuart J. Russell,Male
Susan Bookheimer,Female
Susan Harris,Female
TED (conference),Unknown
TED talk,Unknown
Tara Sonenshine,Female
Thomas W. Flynn,Male
Timothy Madigan,Male
Victor J. Stenger,Male
Warren Buffett,Male
Webby Award,Unknown
William Lane Craig,Male
William Saletan,Male
Yoshua Bengio,Unknown
Talk:Sam Harris,Unknown
Template:Sam Harris,Unknown
Template talk:Sam Harris,Unknown
