Name,Gender
Aldous Huxley,Male
Alfred Russel Wallace,Male
Basil Willey,Male
Benjamin Hall Kennedy,Male
Butlerian Jihad,Unknown
C. E. M. Joad,Unknown
Carol Cleland,Female
Charles Darwin,Male
Clifford's Inn,Unknown
Darwin among the Machines,Male
Erasmus Darwin,Male
Erewhon Revisited,Unknown
Eric Blom,Male
Frank Herbert,Male
G. D. H. Cole,Unknown
George Frideric Handel,Male
George Romanes,Male
"Georges-Louis Leclerc, Comte de Buffon",Unknown
Gregory Bateson,Male
Henry Festing Jones,Male
Henry James,Male
Island (Huxley novel),Unknown
Jacques Barzun,Male
Johann Sebastian Bach,Male
Jonathan Cape,Male
Malcolm Muggeridge,Male
Oscar Wilde,Male
P. N. Furbank,Unknown
Peter J. Bowler,Male
Phyllis Greenacre,Female
Project Gutenberg,Unknown
R. A. Streatfeild,Unknown
Robert Graves,Male
Sacri Monti of Piedmont and Lombardy,Unknown
Samuel Butler (schoolmaster),Male
Samuel Butler Room Society,Male
Shakespeare's Sonnets,Unknown
"St John's College, Cambridge",Unknown
Steven Mintz,Male
Thomas Lloyd (priest),Male
Trapani,Unknown
Vernon Lyman Kellogg,Male
W. S. Rockstro,Unknown
Walter Pater,Male
Template:Samuel Butler,Unknown
Template talk:Samuel Butler,Unknown
